['CO', 215, 'BO', 17, 'fmt', 'codeblocks', 'O2', 'O2', 0.18790041147976455, 11.045183897018433]
['CO', 361, 'BO', 2, 'nice', 'perl', 'O0', 'O1', 0.07542290132742191, 2.6681456565856934]
['UO', 11, 'CO', 210, 'ld', 'stat', 'O1', 'O2', 0.13454709430133582, 2.4493486881256104]
['UO', 38, 'BO', 72, 'elfedit', 'make', 'O2', 'O2', 0.121747042766151, 0.24721550941467285]
['UO', 14, 'BO', 82, 'ar', 'cp', 'O1', 'O3', 0.11724137931034484, 1.5463738441467285]
['UO', 15, 'CO', 97, 'elfedit', 'uniq', 'O1', 'O3', 0.035151515151515156, 0.03875088691711426]
['UO', 60, 'CO', 82, 'xargs', 'shuf', 'O3', 'O3', 0.06409168081494054, 0.09061193466186523]
['CO', 390, 'UO', 11, 'chcon', 'ld', 'O0', 'O1', 0.12627572129971865, 2.6221747398376465]
['CO', 128, 'UO', 1, 'tee', 'xargs', 'O1', 'O1', 0.10029069767441856, 0.08271622657775879]
['CO', 70, 'UO', 59, 'b2sum', 'locate', 'O3', 'O3', 0.1053506148222001, 0.11938977241516113]
['BO', 32, 'CO', 289, 'ruby', 'cat', 'O2', 'O2', 0.12581030365063117, 15.275456666946411]
['UO', 31, 'BO', 80, 'c++filt', 'ssh', 'O2', 'O3', 0.027014255335906068, 5.3565802574157715]
['CO', 247, 'BO', 58, 'paste', 'svn', 'O2', 'O1', 0.22751149047931718, 0.49562501907348633]
['CO', 353, 'UO', 22, 'echo', 'diff3', 'O0', 'O2', 0.0552665799739922, 0.04573869705200195]
['CO', 241, 'UO', 53, 'chown', 'gprof', 'O2', 'O3', 0.12046408294248334, 1.0415277481079102]
['CO', 34, 'BO', 26, 'tail', 'gvmap', 'O3', 'O3', 0.09261083743842369, 0.15656614303588867]
['CO', 250, 'UO', 24, 'sum', 'diff', 'O2', 'O2', 0.12137296532200992, 0.10679340362548828]
['CO', 137, 'BO', 59, 'chown', 'libgeany.so.0.0.0', 'O1', 'O3', 0.16498175324171127, 28.96845817565918]
['BO', 14, 'CO', 263, 'cmp', 'cp', 'O0', 'O2', 0.09189757979656266, 0.1234595775604248]
