['BV', 31, 'CV', 347, 'codeblocks', 'ln', 'V0', 'V1', 0.18699478577537454, 9.053508281707764]
['UV', 3, 'CV', 269, 'diff3', 'du', 'V2', 'V1', 0.04880382775119618, 0.05945754051208496]
['BV', 48, 'CV', 79, 'gvmap', 'fold', 'V3', 'V2', 0.1360741169658367, 0.10887384414672852]
['CV', 256, 'BV', 77, 'sort', 'perl', 'V0', 'V2', 0.08793396923274566, 2.3501157760620117]
['UV', 19, 'CV', 55, 'elfedit', 'nohup', 'V2', 'V2', 0.06129032258064515, 0.024329662322998047]
['BV', 61, 'UV', 38, 'cmp', 'xargs', 'V0', 'V3', 0.16946107784431141, 0.050672054290771484]
['BV', 29, 'CV', 337, 'perl', 'comm', 'V3', 'V1', 0.10454464444840494, 2.2691237926483154]
['UV', 1, 'CV', 270, 'xargs', 'users', 'V2', 'V1', 0.11665699361578641, 0.03975725173950195]
['BV', 74, 'CV', 230, 'git', 'yes', 'V1', 'V0', 0.09534900134095559, 4.360579490661621]
['CV', 211, 'BV', 64, 'seq', 'openssl', 'V0', 'V2', 0.29044286369894445, 4.381544589996338]
['CV', 263, 'UV', 21, 'unlink', 'objdump', 'V1', 'V2', 0.1430291677816431, 1.326608657836914]
['UV', 2, 'CV', 311, 'find', 'cksum', 'V2', 'V1', 0.16257187663355988, 0.13442492485046387]
['BV', 77, 'CV', 76, 'perl', 'comm', 'V2', 'V2', 0.09108608884706493, 2.1388418674468994]
['BV', 58, 'CV', 77, 'ruby', 'nl', 'V3', 'V2', 0.1840796019900497, 0.018065690994262695]
['BV', 32, 'CV', 138, 'perl', 'printf', 'V0', 'V3', 0.10668492468567159, 1.9217300415039062]
['CV', 338, 'BV', 46, 'nl', 'cluster', 'V1', 'V3', 0.09748667174409753, 0.14163541793823242]
['CV', 282, 'UV', 20, 'chgrp', 'size', 'V1', 'V2', 0.13918517223290783, 0.9445064067840576]
['BV', 32, 'UV', 53, 'perl', 'readelf', 'V0', 'V1', 0.08834043200486763, 2.4433040618896484]
['UV', 57, 'BV', 22, 'strings', 'cmp', 'V1', 'V3', 0.1378917877779724, 0.9027268886566162]
['BV', 22, 'CV', 146, 'cmp', 'head', 'V3', 'V3', 0.03523382447149259, 0.033316612243652344]
['BV', 62, 'CV', 71, 'diff', '[', 'V0', 'V2', 0.10119047619047616, 0.043424129486083984]
['UV', 36, 'CV', 80, 'objdump', 'uniq', 'V3', 'V2', 0.1353732035234121, 1.6768195629119873]
['CV', 172, 'UV', 57, 'mknod', 'strings', 'V3', 'V1', 0.14099400775467041, 0.8771669864654541]
['CV', 322, 'BV', 68, 'ginstall', 'dot', 'V1', 'V0', 0.20791415157612336, 0.03591585159301758]
['BV', 49, 'CV', 4, 'make', 'basename', 'V3', 'V2', 0.1412752959144712, 0.19402289390563965]
['CV', 138, 'UV', 2, 'printf', 'find', 'V3', 'V2', 0.128, 0.1701667308807373]
['BV', 4, 'UV', 86, 'geany', 'size', 'V3', 'V0', 0.13076341647770218, 33.557432651519775]
['CV', 152, 'UV', 29, 'env', 'objcopy', 'V3', 'V3', 0.1390867511434355, 1.13482666015625]
['BV', 30, 'CV', 267, 'bash', 'fmt', 'V0', 'V1', 0.13123006379585322, 1.8815796375274658]
['CV', 165, 'UV', 28, 'rm', 'strings', 'V3', 'V3', 0.1304012345679012, 0.9844732284545898]
['UV', 70, 'CV', 325, 'locate', 'md5sum', 'V0', 'V1', 0.11601941747572819, 0.055443525314331055]
['BV', 46, 'CV', 206, 'cluster', 'paste', 'V3', 'V0', 0.15288860517076286, 0.09812068939208984]
['CV', 72, 'UV', 27, 'id', 'c++filt', 'V2', 'V3', 0.1490203293165302, 0.8571932315826416]
['UV', 16, 'CV', 50, 'gprof', 'cksum', 'V2', 'V2', 0.1458839293191525, 0.9203147888183594]
['CV', 346, 'BV', 30, 'mknod', 'bash', 'V1', 'V0', 0.1315933928838764, 1.926600456237793]
['BV', 25, 'CV', 45, 'git', 'cp', 'V3', 'V2', 0.08291782931552383, 9.73970341682434]
['UV', 32, 'CV', 31, 'addr2line', 'sha1sum', 'V3', 'V2', 0.14709618874773134, 0.8720650672912598]
['BV', 45, 'CV', 249, 'svn', 'tr', 'V3', 'V0', 0.22145572293397153, 0.559945821762085]
['CV', 155, 'UV', 36, 'cat', 'objdump', 'V3', 'V3', 0.13457640859343334, 1.715254545211792]
['CV', 306, 'BV', 52, 'cp', 'libSDL2-2.0.so', 'V1', 'V2', 0.182304008066549, 4.217493295669556]
['CV', 188, 'BV', 39, 'dirname', 'svn', 'V0', 'V1', 0.2300113679424024, 0.33287525177001953]
['CV', 254, 'UV', 71, 'uniq', 'xargs', 'V0', 'V0', 0.04947916666666663, 0.023862123489379883]
['BV', 19, 'CV', 90, 'cp', 'test', 'V3', 'V3', 0.10620099786172488, 0.08328723907470703]
['CV', 270, 'BV', 6, 'users', 'libvlc.so', 'V1', 'V0', 0.19559902200489, 0.21549773216247559]
['BV', 33, 'CV', 92, 'openssl', 'mkdir', 'V0', 'V3', 0.10083288617222319, 5.655602693557739]
['CV', 58, 'UV', 15, 'readlink', 'ld', 'V2', 'V2', 0.1333373830640262, 1.5331335067749023]
['UV', 18, 'CV', 337, 'ar', 'comm', 'V2', 'V1', 0.14842284739982947, 0.929980993270874]
['BV', 39, 'CV', 53, 'svn', 'tty', 'V1', 'V2', 0.22279888785912882, 0.3410458564758301]
['BV', 25, 'UV', 9, 'git', 'readelf', 'V3', 'V2', 0.07821212480721318, 10.29210090637207]
['BV', 71, 'CV', 281, 'ruby', 'tee', 'V1', 'V1', 0.24524714828897332, 0.006577491760253906]
['BV', 71, 'CV', 54, 'ruby', 'false', 'V1', 'V2', 0.2076190476190476, 0.005631685256958008]
['UV', 30, 'CV', 115, 'ld', 'chown', 'V3', 'V3', 0.13180978762696216, 1.8866345882415771]
['CV', 243, 'UV', 32, 'csplit', 'addr2line', 'V0', 'V3', 0.12826783606004388, 1.0127620697021484]
['UV', 38, 'CV', 347, 'xargs', 'ln', 'V3', 'V1', 0.1271495570609693, 0.06149172782897949]
['CV', 176, 'BV', 4, 'unlink', 'geany', 'V0', 'V3', 0.1833027683171775, 23.242867469787598]
['CV', 262, 'BV', 25, 'stat', 'git', 'V1', 'V3', 0.08748330174904473, 8.67825984954834]
['BV', 27, 'CV', 137, 'libSDL2-2.0.so', 'cksum', 'V1', 'V3', 0.19271206032916832, 3.5549213886260986]
['BV', 46, 'CV', 234, 'cluster', 'hostid', 'V3', 'V0', 0.1572306696861857, 0.09585452079772949]
['UV', 43, 'CV', 219, 'sdiff', 'cp', 'V3', 'V0', 0.042965061378659075, 0.06000018119812012]
['UV', 66, 'BV', 40, 'diff3', 'lua', 'V0', 'V2', 0.11745558117455579, 0.37862467765808105]
['BV', 36, 'CV', 4, 'libvlc.so', 'basename', 'V2', 'V2', 0.19554263565891472, 0.31043243408203125]
['UV', 7, 'CV', 93, 'nm', 'fmt', 'V2', 'V3', 0.14350125726177054, 0.9553143978118896]
['CV', 154, 'BV', 45, 'uname', 'svn', 'V3', 'V3', 0.22071188340807169, 0.5770092010498047]
['BV', 54, 'CV', 340, 'lua', 'fold', 'V3', 'V1', 0.13748290013679887, 0.34478211402893066]
['BV', 11, 'CV', 154, 'bash', 'uname', 'V1', 'V3', 0.1290594291062237, 2.135861873626709]
['BV', 19, 'CV', 202, 'cp', 'chown', 'V3', 'V0', 0.09820485744456176, 0.0891122817993164]
['CV', 309, 'UV', 73, 'df', 'nm', 'V1', 'V0', 0.13915945165945165, 0.8807039260864258]
['UV', 31, 'CV', 310, 'gprof', 'tsort', 'V3', 'V1', 0.1472696245733789, 0.9010272026062012]
['BV', 20, 'CV', 75, 'sort', 'tr', 'V1', 'V2', 0.07834359261331847, 0.041100502014160156]
['CV', 132, 'BV', 63, 'cp', 'ruby', 'V3', 'V0', 0.107398197078023, 10.678951025009155]
['CV', 301, 'BV', 7, 'ls', 'libSDL2-2.0.so', 'V1', 'V0', 0.19619547392587733, 3.410247325897217]
['CV', 183, 'UV', 18, 'users', 'ar', 'V0', 'V2', 0.14967091204376448, 0.9555690288543701]
['CV', 346, 'BV', 13, 'mknod', 'cp', 'V1', 'V2', 0.13336452971455315, 0.0554347038269043]
['UV', 5, 'BV', 71, 'diff', 'ruby', 'V2', 'V1', 0.21283929340801377, 0.050201416015625]
['UV', 65, 'CV', 300, 'objdump', 'whoami', 'V1', 'V1', 0.13987325400931194, 1.3240351676940918]
['BV', 76, 'CV', 48, 'diff', 'df', 'V2', 'V2', 0.07466666666666666, 0.11801028251647949]
['BV', 70, 'UV', 11, 'ssh', 'ranlib', 'V0', 'V2', 0.043834442427908904, 7.849700927734375]
['BV', 38, 'CV', 56, 'ruby', 'yes', 'V2', 'V2', 0.20545454545454545, 0.0059146881103515625]
['UV', 29, 'CV', 138, 'objcopy', 'printf', 'V3', 'V3', 0.13595255744996293, 1.1375632286071777]
['BV', 74, 'CV', 178, 'git', 'basename', 'V1', 'V0', 0.09521121460156179, 4.271155834197998]
['CV', 32, 'UV', 14, 'paste', 'objcopy', 'V2', 'V2', 0.1412256475330298, 1.1189093589782715]
['UV', 54, 'CV', 194, 'as', 'tee', 'V1', 'V0', 0.1320379257871942, 1.4701426029205322]
['BV', 29, 'UV', 31, 'perl', 'gprof', 'V3', 'V3', 0.03365063030614868, 6.276605844497681]
['UV', 30, 'CV', 242, 'ld', 'cat', 'V3', 'V0', 0.14588762955330625, 1.680633306503296]
