['UV', 62, 'CV', 164, 'ar', 'nl', 'V1', 'V3', 0.13965231788079469, 1.0266811847686768]
['BV', 65, 'CV', 97, 'ssh', 'ptx', 'V1', 'V3', 0.11262384357981758, 3.7443718910217285]
['CV', 212, 'UV', 51, 'split', 'nm', 'V0', 'V1', 0.14523621702164957, 0.9599533081054688]
['BV', 30, 'CV', 292, 'bash', 'sha1sum', 'V0', 'V1', 0.1301795751877829, 1.9951729774475098]
['CV', 310, 'UV', 75, 'tsort', 'readelf', 'V1', 'V0', 0.10741531888922795, 0.07984352111816406]
['CV', 333, 'UV', 24, 'id', 'readelf', 'V1', 'V3', 0.12035541195476573, 0.23474383354187012]
['CV', 29, 'BV', 75, 'tail', 'cmp', 'V2', 'V2', 0.04310833806012482, 0.04411172866821289]
['CV', 221, 'UV', 49, 'od', 'xargs', 'V0', 'V1', 0.041933191186922514, 0.029593944549560547]
['UV', 28, 'CV', 8, 'strings', 'du', 'V3', 'V2', 0.12011637572734823, 1.1456053256988525]
['CV', 344, 'BV', 35, 'tac', 'libvlccore.so', 'V1', 'V2', 0.1563605885639784, 3.591935634613037]
['UV', 56, 'BV', 2, 'c++filt', 'cmp', 'V1', 'V1', 0.13836366849266657, 0.9130306243896484]
['CV', 139, 'UV', 25, 'logname', 'as', 'V3', 'V3', 0.1319360240198626, 1.6919875144958496]
['UV', 8, 'BV', 30, 'strip', 'bash', 'V2', 'V0', 0.025160714834978948, 6.497543096542358]
['CV', 27, 'BV', 75, 'expr', 'cmp', 'V2', 'V2', 0.04500703234880454, 0.050032615661621094]
['CV', 213, 'UV', 7, 'whoami', 'nm', 'V0', 'V2', 0.15353625783348257, 0.9278168678283691]
['UV', 1, 'CV', 22, 'xargs', 'kill', 'V2', 'V2', 0.10236653824986242, 0.04449582099914551]
['CV', 137, 'UV', 85, 'cksum', 'elfedit', 'V3', 'V0', 0.05182926829268297, 0.02702617645263672]
['CV', 298, 'UV', 38, 'seq', 'xargs', 'V1', 'V3', 0.1553899082568807, 0.05642247200012207]
