['BV', 78, 'CV', 340, 'make', 'fold', 'V2', 'V1', 0.14262428687856565, 0.18750405311584473]
['UV', 60, 'CV', 114, 'gprof', 'expr', 'V1', 'V3', 0.1340181365861488, 1.02242112159729]
['BV', 62, 'UV', 20, 'diff', 'size', 'V0', 'V2', 0.1278942493895765, 1.1337623596191406]
['UV', 78, 'CV', 9, 'c++filt', 'users', 'V0', 'V2', 0.14556782781081845, 0.7970993518829346]
['BV', 5, 'UV', 38, 'libvlccore.so', 'xargs', 'V0', 'V3', 0.15292818841341604, 3.193699836730957]
['CV', 27, 'BV', 79, 'expr', 'bash', 'V2', 'V3', 0.11828135368281356, 2.757493495941162]
['CV', 169, 'BV', 38, 'sort', 'ruby', 'V3', 'V2', 0.2171762589928058, 0.050307512283325195]
['CV', 10, 'UV', 67, 'ptx', 'cmp', 'V2', 'V0', 0.054365733113673764, 0.05997204780578613]
['BV', 0, 'CV', 187, 'bash', 'join', 'V2', 'V0', 0.12679692020116606, 2.3822848796844482]
['UV', 81, 'CV', 226, 'ld', 'logname', 'V0', 'V0', 0.13922135998947782, 1.3106741905212402]
['CV', 204, 'BV', 61, 'pinky', 'cmp', 'V0', 'V0', 0.09670329670329669, 0.01853489875793457]
['CV', 7, 'UV', 72, 'dir', 'find', 'V2', 'V0', 0.05933395872420266, 0.22638535499572754]
['BV', 21, 'UV', 77, 'cp', 'ranlib', 'V1', 'V0', 0.12832524677932078, 1.0481300354003906]
['CV', 216, 'UV', 27, 'dircolors', 'c++filt', 'V0', 'V3', 0.15062645011600928, 0.8909189701080322]
['CV', 162, 'BV', 19, 'tr', 'cp', 'V3', 'V3', 0.10059586400280407, 0.09079265594482422]
['CV', 141, 'UV', 44, 'false', 'diff3', 'V3', 'V1', 0.0825747724317295, 0.03252291679382324]
['CV', 314, 'UV', 50, 'tty', 'find', 'V1', 'V1', 0.16097942172440738, 0.1413578987121582]
['CV', 118, 'BV', 56, 'sha1sum', 'ssh', 'V3', 'V3', 0.14280165717244953, 1.3575618267059326]
['CV', 7, 'BV', 29, 'dir', 'perl', 'V2', 'V3', 0.09270547945205476, 2.9894917011260986]
['UV', 70, 'BV', 33, 'locate', 'openssl', 'V0', 'V0', 0.09663122603164398, 6.706938982009888]
['UV', 52, 'CV', 115, 'strip', 'chown', 'V1', 'V3', 0.12164318000531771, 1.379582405090332]
['CV', 266, 'BV', 31, 'mkdir', 'codeblocks', 'V1', 'V0', 0.18709623985423218, 9.755326986312866]
['UV', 84, 'CV', 231, 'ar', 'who', 'V0', 'V0', 0.1437851123595506, 0.9172780513763428]
['BV', 35, 'UV', 42, 'libvlccore.so', 'diff', 'V2', 'V3', 0.14087072412261215, 4.117906808853149]
['CV', 211, 'BV', 59, 'seq', 'make', 'V0', 'V1', 0.1428571428571428, 0.18808531761169434]
['CV', 41, 'UV', 51, 'nice', 'nm', 'V2', 'V1', 0.14640133251512233, 0.9498574733734131]
['UV', 87, 'CV', 294, 'objdump', 'sync', 'V0', 'V1', 0.14006558254701196, 1.296445369720459]
['CV', 282, 'UV', 5, 'chgrp', 'diff', 'V1', 'V2', 0.10423560555923228, 0.10316920280456543]
['CV', 68, 'UV', 70, 'cat', 'locate', 'V2', 'V0', 0.07377049180327866, 0.07272958755493164]
['BV', 16, 'CV', 178, 'libvlc.so', 'basename', 'V3', 'V0', 0.20349414333928928, 0.3095741271972656]
['UV', 38, 'CV', 184, 'xargs', 'ptx', 'V3', 'V0', 0.06633435582822089, 0.08848142623901367]
['BV', 43, 'CV', 122, 'lua', 'sum', 'V0', 'V3', 0.12662440570522981, 0.30460476875305176]
['UV', 27, 'CV', 74, 'c++filt', 'pathchk', 'V3', 'V2', 0.15056450120303533, 0.859011173248291]
['UV', 44, 'CV', 260, 'diff3', 'ln', 'V1', 'V0', 0.08076923076923082, 0.03561973571777344]
['CV', 190, 'BV', 41, 'dd', 'libvlccore.so', 'V0', 'V1', 0.15893160577740018, 2.77705717086792]
['UV', 56, 'CV', 195, 'c++filt', 'chgrp', 'V1', 'V0', 0.13816895179124278, 0.9406492710113525]
['CV', 337, 'UV', 50, 'comm', 'find', 'V1', 'V1', 0.15078560567663457, 0.15368151664733887]
['CV', 2, 'UV', 20, 'unlink', 'size', 'V2', 'V2', 0.1502697841726619, 0.9062223434448242]
['CV', 207, 'UV', 56, 'sync', 'c++filt', 'V0', 'V1', 0.1511595929966083, 0.8467905521392822]
['CV', 79, 'UV', 8, 'fold', 'strip', 'V2', 'V2', 0.14012359466904922, 1.1835706233978271]
['UV', 74, 'CV', 254, 'strip', 'uniq', 'V0', 'V0', 0.13515862668405043, 1.123344898223877]
['UV', 30, 'BV', 71, 'ld', 'ruby', 'V3', 'V1', 0.1545353435491844, 1.6350550651550293]
['BV', 29, 'CV', 317, 'perl', 'yes', 'V3', 'V1', 0.10578299456054963, 2.345944404602051]
['CV', 261, 'UV', 77, 'touch', 'ranlib', 'V1', 'V0', 0.14122270742358078, 0.9583685398101807]
['UV', 3, 'CV', 232, 'diff3', 'readlink', 'V2', 'V0', 0.1063829787234043, 0.02984333038330078]
['UV', 63, 'CV', 281, 'elfedit', 'tee', 'V1', 'V1', 0.07699275362318836, 0.02260446548461914]
['UV', 61, 'CV', 80, 'addr2line', 'uniq', 'V1', 'V2', 0.141676920372649, 0.920665979385376]
['BV', 53, 'CV', 0, 'ssh', 'touch', 'V2', 'V2', 0.11722012328494735, 3.7989120483398438]
['BV', 54, 'CV', 112, 'lua', 'expand', 'V3', 'V3', 0.12755303729081569, 0.39777326583862305]
['CV', 343, 'BV', 13, 'sort', 'cp', 'V1', 'V2', 0.06407079646017699, 0.10673642158508301]
['CV', 101, 'BV', 33, 'dirname', 'openssl', 'V3', 'V0', 0.10290280879069225, 5.863785028457642]
['CV', 9, 'BV', 82, 'users', 'gvmap', 'V2', 'V1', 0.13573487031700293, 0.11916995048522949]
['CV', 163, 'UV', 61, 'comm', 'addr2line', 'V3', 'V1', 0.13929350196249457, 0.9749066829681396]
['CV', 102, 'UV', 65, 'uptime', 'objdump', 'V3', 'V1', 0.13059841926985327, 1.5978026390075684]
['CV', 170, 'BV', 19, 'tac', 'cp', 'V3', 'V3', 0.09734822051639913, 0.09394264221191406]
['CV', 257, 'UV', 48, 'tac', 'locate', 'V0', 'V1', 0.05893845652881802, 0.09560847282409668]
['CV', 149, 'UV', 70, 'unexpand', 'locate', 'V3', 'V0', 0.09261686325906515, 0.06600189208984375]
['UV', 73, 'BV', 50, 'nm', 'sort', 'V0', 'V0', 0.13432571327308174, 0.9252502918243408]
['UV', 45, 'CV', 240, 'cmp', 'link', 'V1', 'V0', 0.11392405063291133, 0.0219724178314209]
['CV', 17, 'BV', 8, 'mkfifo', 'cluster', 'V2', 'V2', 0.14448903982710715, 0.10925722122192383]
['BV', 40, 'UV', 19, 'lua', 'elfedit', 'V2', 'V2', 0.12454057110545658, 0.35684633255004883]
['BV', 16, 'CV', 230, 'libvlc.so', 'yes', 'V3', 'V0', 0.20445505171042166, 0.31534409523010254]
['UV', 68, 'CV', 196, 'diff', 'kill', 'V0', 'V0', 0.13247863247863245, 0.06638979911804199]
['CV', 136, 'UV', 19, 'tsort', 'elfedit', 'V3', 'V2', 0.036402569593147804, 0.03184366226196289]
['CV', 75, 'BV', 60, 'tr', 'codeblocks', 'V2', 'V1', 0.18504727974069812, 10.313695192337036]
['BV', 0, 'CV', 189, 'bash', 'uptime', 'V2', 'V0', 0.1285023722137678, 2.3909971714019775]
['CV', 258, 'UV', 78, 'rmdir', 'c++filt', 'V0', 'V0', 0.15127020785219403, 0.7693586349487305]
['UV', 68, 'CV', 153, 'diff', 'link', 'V0', 'V3', 0.11621405750798719, 0.06809329986572266]
['UV', 42, 'CV', 324, 'diff', 'mv', 'V3', 'V1', 0.0673429134967597, 0.14429211616516113]
['UV', 46, 'CV', 3, 'diff', 'test', 'V1', 'V2', 0.11563568542119984, 0.09279465675354004]
['UV', 30, 'CV', 145, 'ld', 'readlink', 'V3', 'V3', 0.13907637655417404, 1.882721185684204]
['UV', 23, 'CV', 52, 'strip', 'logname', 'V3', 'V2', 0.14362752544432633, 1.1350858211517334]
['CV', 144, 'UV', 27, 'who', 'c++filt', 'V3', 'V3', 0.14031939709312757, 0.9575564861297607]
['CV', 101, 'UV', 60, 'dirname', 'gprof', 'V3', 'V1', 0.14040279490341145, 1.0061602592468262]
['BV', 26, 'CV', 42, 'geany', 'dircolors', 'V2', 'V2', 0.1833658683084316, 21.147059440612793]
['UV', 70, 'CV', 311, 'locate', 'cksum', 'V0', 'V1', 0.13554987212276215, 0.049883365631103516]
['CV', 262, 'UV', 35, 'stat', 'size', 'V1', 'V3', 0.14933527590602802, 0.9392342567443848]
['UV', 64, 'BV', 4, 'size', 'geany', 'V1', 'V3', 0.1317100575094987, 40.283303022384644]
['CV', 309, 'UV', 63, 'df', 'elfedit', 'V1', 'V1', 0.053122756640344604, 0.03434896469116211]
['CV', 56, 'BV', 71, 'yes', 'ruby', 'V2', 'V1', 0.20545454545454545, 0.006246805191040039]
['CV', 217, 'UV', 26, 'chmod', 'ranlib', 'V0', 'V3', 0.14278433704238513, 1.052595853805542]
['BV', 59, 'CV', 152, 'make', 'env', 'V1', 'V3', 0.12672993277975486, 0.19911623001098633]
['CV', 200, 'UV', 14, 'date', 'objcopy', 'V0', 'V2', 0.13642071053992177, 1.2391948699951172]
['BV', 28, 'UV', 74, 'openssl', 'strip', 'V1', 'V0', 0.04986994971388936, 13.631355047225952]
['BV', 56, 'CV', 49, 'ssh', 'tsort', 'V3', 'V2', 0.1475947044173549, 1.2870368957519531]
['CV', 14, 'UV', 85, 'dirname', 'elfedit', 'V2', 'V0', 0.07910576096302668, 0.02252650260925293]
['CV', 83, 'UV', 76, 'tac', 'as', 'V2', 'V0', 0.11988895957434509, 1.7229294776916504]
['CV', 8, 'BV', 7, 'du', 'libSDL2-2.0.so', 'V2', 'V0', 0.1919165915819282, 3.62736439704895]
['CV', 89, 'UV', 31, 'unlink', 'gprof', 'V3', 'V3', 0.14374736842105262, 1.017143964767456]
['CV', 111, 'BV', 54, 'factor', 'lua', 'V3', 'V3', 0.11725271945357951, 0.42957568168640137]
['BV', 81, 'CV', 130, 'dot', 'chmod', 'V1', 'V3', 0.15852742299023292, 0.024895429611206055]
