['CO', 197, 'UO', 70, 'nl', 'ranlib', 'O1', 'O0', 0.15043399842182392, 2.31282377243042]
['BO', 9, 'CO', 401, 'git', 'pathchk', 'O0', 'O0', 0.09224593694928529, 6.23326849937439]
['BO', 53, 'UO', 71, 'bash', 'c++filt', 'O0', 'O0', 0.02379585180421251, 11.397360801696777]
['UO', 39, 'BO', 16, 'size', 'make', 'O2', 'O0', 0.0637616148670298, 1.7585620880126953]
['CO', 184, 'BO', 72, 'uname', 'make', 'O1', 'O2', 0.13102409638554213, 0.22048687934875488]
['BO', 42, 'UO', 67, 'cmp', 'strip', 'O1', 'O0', 0.14328343363007912, 2.7215542793273926]
['CO', 397, 'BO', 50, '[', 'perl', 'O0', 'O2', 0.08355972176612836, 2.5988080501556396]
['CO', 197, 'UO', 71, 'nl', 'c++filt', 'O1', 'O0', 0.150820061801759, 2.1392087936401367]
['BO', 29, 'CO', 221, 'libvlc.so.12.0.0', 'printenv', 'O2', 'O2', 0.2330811694949908, 0.36780691146850586]
['CO', 230, 'UO', 12, 'pwd', 'gprof', 'O2', 'O1', 0.14594374235629837, 1.0981121063232422]
['UO', 54, 'CO', 41, 'addr2line', 'echo', 'O3', 'O3', 0.14074693422519513, 0.7479245662689209]
['BO', 67, 'UO', 21, 'libSDL2-2.0.so.0.16.0', 'sdiff', 'O1', 'O1', 0.19874536641003704, 5.25615382194519]
['CO', 65, 'BO', 33, 'false', 'sort', 'O3', 'O2', 0.1476810414971521, 0.08186960220336914]
['BO', 63, 'CO', 210, 'cluster', 'stat', 'O0', 'O2', 0.09805770318687534, 0.2628500461578369]
['BO', 46, 'CO', 60, 'ruby', 'base64', 'O3', 'O3', 0.10434862133613787, 12.553016185760498]
['BO', 62, 'CO', 339, 'bash', 'wc', 'O1', 'O0', 0.12013871686896205, 2.905810594558716]
['UO', 19, 'CO', 96, 'cmp', 'fold', 'O1', 'O3', 0.05625000000000002, 0.03371858596801758]
['CO', 199, 'BO', 82, 'sha224sum', 'cp', 'O1', 'O3', 0.09068100358422937, 0.09743642807006836]
['BO', 75, 'CO', 212, 'gvmap', 'test', 'O1', 'O2', 0.1283783783783784, 0.1242220401763916]
['CO', 21, 'UO', 5, 'mktemp', 'readelf', 'O3', 'O1', 0.10857810901651321, 0.3118612766265869]
['CO', 86, 'BO', 31, 'timeout', 'bash', 'O3', 'O2', 0.12160234728391539, 2.774522304534912]
['UO', 26, 'CO', 320, 'nm', 'dir', 'O2', 'O0', 0.08979318553786642, 1.6095707416534424]
['CO', 303, 'BO', 11, 'sha224sum', 'ssh', 'O2', 'O1', 0.1465402843601895, 1.4655869007110596]
['CO', 258, 'UO', 16, 'dircolors', 'size', 'O2', 'O1', 0.1491631254878154, 1.054443120956421]
['CO', 85, 'UO', 21, '[', 'sdiff', 'O3', 'O1', 0.07473508087005021, 0.04376864433288574]
['BO', 50, 'CO', 238, 'perl', 'expand', 'O2', 'O2', 0.08731570536979527, 2.352078437805176]
