['UV', 87, 'CV', 95, 'objdump', 'du', 'V0', 'V3', 0.11234109847332885, 1.6670916080474854]
['BV', 57, 'UV', 77, 'svn', 'ranlib', 'V2', 'V0', 0.06494825725350772, 2.173917293548584]
['UV', 83, 'CV', 313, 'addr2line', 'logname', 'V0', 'V1', 0.15093444644720622, 0.7783277034759521]
['CV', 315, 'UV', 42, 'false', 'diff', 'V1', 'V3', 0.15746815901196443, 0.07029175758361816]
['BV', 12, 'CV', 188, 'sort', 'dirname', 'V2', 'V0', 0.13826530612244903, 0.045783281326293945]
['UV', 25, 'BV', 9, 'as', 'dot', 'V3', 'V2', 0.13873990687805737, 1.517634630203247]
['CV', 216, 'UV', 32, 'dircolors', 'addr2line', 'V0', 'V3', 0.15051300842799564, 0.860248327255249]
['CV', 50, 'BV', 54, 'cksum', 'lua', 'V2', 'V3', 0.1362649294245386, 0.3398711681365967]
['UV', 45, 'BV', 4, 'cmp', 'geany', 'V1', 'V3', 0.1806861146761941, 23.926970958709717]
['CV', 20, 'UV', 77, 'tee', 'ranlib', 'V2', 'V0', 0.14486886111600072, 0.8715815544128418]
['CV', 63, 'UV', 79, 'mv', 'strings', 'V2', 'V0', 0.11703754034312897, 1.0401766300201416]
['BV', 42, 'CV', 347, 'libvlc.so', 'ln', 'V1', 'V1', 0.17267876200640342, 0.2378075122833252]
['CV', 325, 'BV', 6, 'md5sum', 'libvlc.so', 'V1', 'V0', 0.1929229277750848, 0.22205471992492676]
['UV', 83, 'CV', 16, 'addr2line', 'dd', 'V0', 'V2', 0.1339670014347203, 0.8676083087921143]
['BV', 17, 'CV', 266, 'codeblocks', 'mkdir', 'V2', 'V1', 0.18626748414151872, 9.730539560317993]
['UV', 3, 'BV', 50, 'diff3', 'sort', 'V2', 'V0', 0.03134796238244508, 0.04687333106994629]
['CV', 188, 'BV', 20, 'dirname', 'sort', 'V0', 'V1', 0.1259360108917631, 0.03072977066040039]
['UV', 43, 'CV', 270, 'sdiff', 'users', 'V3', 'V1', 0.10973936899862824, 0.031019926071166992]
['CV', 10, 'UV', 26, 'ptx', 'ranlib', 'V2', 'V3', 0.12365970102527979, 1.196488857269287]
['CV', 78, 'BV', 17, 'rm', 'codeblocks', 'V2', 'V2', 0.18248806839041276, 10.329938173294067]
['CV', 133, 'UV', 53, 'cut', 'readelf', 'V3', 'V1', 0.08377659574468088, 0.0988311767578125]
['CV', 334, 'UV', 37, 'shred', 'locate', 'V1', 'V3', 0.10560492139439503, 0.12113142013549805]
['UV', 59, 'CV', 169, 'ld', 'sort', 'V1', 'V3', 0.10887051726064123, 1.941756010055542]
['CV', 218, 'UV', 35, 'true', 'size', 'V0', 'V3', 0.15547113870100993, 0.8404607772827148]
['UV', 73, 'CV', 182, 'nm', 'du', 'V0', 'V0', 0.12840262582056894, 0.9376511573791504]
['BV', 13, 'CV', 233, 'cp', 'head', 'V2', 'V0', 0.12172367836517106, 0.0578153133392334]
['UV', 5, 'CV', 115, 'diff', 'chown', 'V2', 'V3', 0.07532467532467535, 0.11977338790893555]
['CV', 53, 'BV', 55, 'tty', 'codeblocks', 'V2', 'V3', 0.1893727631338331, 10.292353391647339]
['UV', 6, 'BV', 30, 'sdiff', 'bash', 'V2', 'V0', 0.12248557995249865, 2.163288116455078]
['BV', 40, 'CV', 87, 'lua', 'touch', 'V2', 'V3', 0.1106834771068348, 0.3840348720550537]
['CV', 91, 'BV', 48, 'basename', 'gvmap', 'V3', 'V3', 0.13185564080704748, 0.11579537391662598]
['BV', 13, 'CV', 181, 'cp', 'dir', 'V2', 'V0', 0.04163912756113686, 0.11536216735839844]
['BV', 20, 'CV', 44, 'sort', 'true', 'V1', 'V2', 0.11600777705767984, 0.03246641159057617]
['BV', 51, 'CV', 30, 'cp', 'pinky', 'V0', 'V2', 0.07540799099606077, 0.043753623962402344]
['CV', 141, 'BV', 60, 'false', 'codeblocks', 'V3', 'V1', 0.1860383850330627, 9.490402460098267]
['CV', 94, 'UV', 83, 'dir', 'addr2line', 'V3', 'V0', 0.10569501990413521, 1.1981596946716309]
['CV', 235, 'UV', 29, 'ginstall', 'objcopy', 'V0', 'V3', 0.1249460509279241, 1.3281145095825195]
['BV', 35, 'CV', 260, 'libvlccore.so', 'ln', 'V2', 'V0', 0.1648335814802363, 3.1889171600341797]
['CV', 223, 'BV', 18, 'tsort', 'sort', 'V0', 'V3', 0.14620797498045346, 0.06995940208435059]
['CV', 28, 'BV', 31, 'chown', 'codeblocks', 'V2', 'V0', 0.18316156824254315, 9.626610279083252]
['CV', 235, 'BV', 6, 'ginstall', 'libvlc.so', 'V0', 'V0', 0.14309244389540865, 0.3202364444732666]
['UV', 26, 'BV', 31, 'ranlib', 'codeblocks', 'V3', 'V0', 0.11169347937703233, 17.11814022064209]
['CV', 252, 'BV', 31, 'rm', 'codeblocks', 'V0', 'V0', 0.18551377482352294, 9.529788494110107]
['BV', 78, 'CV', 108, 'make', 'chgrp', 'V2', 'V3', 0.10107224468272102, 0.24718666076660156]
