['UO', 82, 'CO', 240, 'cmp', 'expr', 'O0', 'O2', 0.06073113207547165, 0.050443410873413086]
['UO', 84, 'CO', 252, 'sdiff', 'seq', 'O0', 'O2', 0.10681198910081746, 0.05937528610229492]
['CO', 188, 'UO', 31, 'vdir', 'c++filt', 'O1', 'O2', 0.10682828282828283, 1.3683252334594727]
['CO', 178, 'BO', 20, 'unexpand', 'sort', 'O1', 'O1', 0.1251840942562592, 0.1169743537902832]
['CO', 260, 'UO', 79, 'sha256sum', 'size', 'O2', 'O0', 0.15240956757393664, 2.2645459175109863]
['CO', 343, 'UO', 40, 'date', 'objdump', 'O0', 'O2', 0.12187761944677289, 2.2117013931274414]
['CO', 21, 'UO', 51, 'mktemp', 'objcopy', 'O3', 'O3', 0.12469071005473498, 1.101179599761963]
['UO', 82, 'BO', 18, 'cmp', 'libvlc.so.12.0.0', 'O0', 'O1', 0.1968721251149954, 0.5115163326263428]
['CO', 363, 'UO', 28, 'realpath', 'readelf', 'O0', 'O2', 0.08932038834951461, 0.33443403244018555]
['BO', 23, 'UO', 13, 'git', 'addr2line', 'O2', 'O1', 0.05042907951838682, 13.464472532272339]
['BO', 30, 'CO', 98, 'libvlccore.so.9.0.0', 'sleep', 'O2', 'O3', 0.16156523826671465, 4.754417896270752]
['CO', 178, 'BO', 43, 'unexpand', 'diff', 'O1', 'O1', 0.12487309644670053, 0.13018155097961426]
['BO', 34, 'CO', 226, 'cp', 'uptime', 'O2', 'O2', 0.10973782771535578, 0.1094059944152832]
['UO', 75, 'CO', 60, 'gprof', 'base64', 'O0', 'O3', 0.14930984176860063, 2.375845193862915]
['UO', 15, 'CO', 270, 'elfedit', 'printf', 'O1', 'O2', 0.0470505617977528, 0.03644704818725586]
['BO', 57, 'UO', 28, 'libvlccore.so.9.0.0', 'readelf', 'O3', 'O2', 0.1076851667661296, 6.445642948150635]
['CO', 378, 'UO', 17, 'runcon', 'objdump', 'O0', 'O1', 0.13621428969204208, 2.229062080383301]
['UO', 1, 'CO', 239, 'xargs', 'date', 'O1', 'O2', 0.07259073842302877, 0.09902787208557129]
['BO', 61, 'UO', 81, 'git', 'diff3', 'O1', 'O0', 0.08906788521860354, 7.418866872787476]
['UO', 85, 'CO', 207, 'locate', 'ln', 'O0', 'O1', 0.09772209567198176, 0.2983548641204834]
['BO', 74, 'UO', 8, 'dot', 'c++filt', 'O1', 'O1', 0.16367447370819277, 0.9688796997070312]
