['CO', 181, 'BO', 39, 'env', 'codeblocks', 'O1', 'O3', 0.18531747051417113, 11.262539863586426]
['UO', 63, 'CO', 319, 'cmp', 'fmt', 'O3', 'O0', 0.06134185303514372, 0.049997568130493164]
['CO', 25, 'BO', 69, 'chgrp', 'cmp', 'O3', 'O3', 0.05518650996423102, 0.05078911781311035]
['CO', 7, 'UO', 62, 'fmt', 'diff3', 'O3', 'O3', 0.05728871242200795, 0.04073953628540039]
['CO', 168, 'BO', 62, 'tty', 'bash', 'O1', 'O1', 0.12685406949871847, 2.847399950027466]
['CO', 22, 'BO', 57, 'pwd', 'libvlccore.so.9.0.0', 'O3', 'O3', 0.15472733781472492, 4.565854787826538]
['CO', 276, 'BO', 79, 'yes', 'bash', 'O2', 'O3', 0.11551430044825262, 2.5582070350646973]
['CO', 375, 'UO', 0, 'logname', 'locate', 'O0', 'O1', 0.13196581196581203, 0.1405467987060547]
['CO', 219, 'UO', 44, 'groups', 'nm', 'O2', 'O3', 0.1399158125915081, 0.8603353500366211]
['BO', 13, 'UO', 73, 'ruby', 'objcopy', 'O1', 'O0', 0.047728135979489106, 29.94413113594055]
['BO', 71, 'UO', 77, 'libSDL2-2.0.so.0.16.0', 'ar', 'O0', 'O0', 0.05418215381545144, 18.15600275993347]
['CO', 50, 'BO', 57, 'dircolors', 'libvlccore.so.9.0.0', 'O3', 'O3', 0.15437495032981008, 4.46605920791626]
['CO', 31, 'BO', 51, 'date', 'lua', 'O3', 'O1', 0.11457345971563981, 0.49979496002197266]
['CO', 330, 'BO', 68, 'uptime', 'git', 'O0', 'O3', 0.0906114813515726, 7.373925447463989]
['UO', 53, 'BO', 60, 'gprof', 'openssl', 'O3', 'O0', 0.15244258060932592, 16.81560254096985]
['BO', 83, 'UO', 5, 'lua', 'readelf', 'O2', 'O1', 0.022036002482929806, 1.1124141216278076]
['UO', 78, 'CO', 157, 'elfedit', 'chmod', 'O0', 'O1', 0.05894736842105264, 0.05954575538635254]
['UO', 26, 'CO', 32, 'nm', 'expr', 'O2', 'O3', 0.14116931630614193, 0.9897327423095703]
['UO', 65, 'CO', 348, 'sdiff', 'pinky', 'O3', 'O0', 0.055762081784386575, 0.06449651718139648]
['CO', 319, 'UO', 39, 'fmt', 'size', 'O0', 'O2', 0.13710892493131266, 1.038527488708496]
['CO', 208, 'BO', 31, 'sha384sum', 'bash', 'O2', 'O2', 0.1237833175900448, 2.8196492195129395]
['UO', 12, 'CO', 349, 'gprof', 'truncate', 'O1', 'O0', 0.1407747443021664, 1.219081163406372]
['UO', 84, 'CO', 354, 'sdiff', 'sum', 'O0', 'O0', 0.04973183812774251, 0.08171200752258301]
['UO', 16, 'CO', 216, 'size', 'dir', 'O1', 'O2', 0.11644900497512434, 1.4752459526062012]
['BO', 13, 'CO', 148, 'ruby', 'seq', 'O1', 'O1', 0.10393844747467051, 13.348994493484497]
['UO', 42, 'CO', 303, 'xargs', 'sha224sum', 'O2', 'O2', 0.10944759938048532, 0.07440686225891113]
['BO', 43, 'CO', 299, 'diff', 'comm', 'O1', 'O2', 0.13428174878556565, 0.1142885684967041]
