['BV', 78, 'CV', 165, 'make', 'rm', 'V2', 'V3', 0.0991319444444444, 0.24326157569885254]
['CV', 146, 'BV', 75, 'head', 'cmp', 'V3', 'V2', 0.03514376996805113, 0.03279542922973633]
['CV', 276, 'UV', 10, 'uptime', 'as', 'V1', 'V2', 0.13262999246420493, 1.6154823303222656]
['UV', 41, 'CV', 40, 'cmp', 'ls', 'V3', 'V2', 0.09885931558935357, 0.08865475654602051]
['BV', 8, 'CV', 30, 'cluster', 'pinky', 'V2', 'V2', 0.12811492231017296, 0.12017250061035156]
['UV', 22, 'CV', 21, 'nm', 'chgrp', 'V3', 'V2', 0.13588730458684073, 0.9736523628234863]
['CV', 209, 'UV', 53, 'sum', 'readelf', 'V0', 'V1', 0.10037281330656722, 0.08587241172790527]
['UV', 45, 'BV', 47, 'cmp', 'dot', 'V1', 'V3', 0.18219037871033783, 0.01840949058532715]
['UV', 73, 'CV', 37, 'nm', 'seq', 'V0', 'V2', 0.1437807321070843, 0.8098092079162598]
['BV', 31, 'CV', 59, 'codeblocks', 'head', 'V0', 'V2', 0.1866442601724565, 9.1417715549469]
['BV', 13, 'CV', 196, 'cp', 'kill', 'V2', 'V0', 0.13706293706293704, 0.05483365058898926]
['UV', 19, 'CV', 220, 'elfedit', 'cut', 'V2', 'V0', 0.06598114824335899, 0.02281045913696289]
['CV', 87, 'UV', 80, 'touch', 'objcopy', 'V3', 'V0', 0.12297757100201379, 1.2400355339050293]
['CV', 310, 'BV', 17, 'tsort', 'codeblocks', 'V1', 'V2', 0.18747335890878092, 9.693426609039307]
['CV', 339, 'UV', 58, 'rm', 'objcopy', 'V1', 'V1', 0.13001781065899443, 1.242710828781128]
['CV', 14, 'BV', 54, 'dirname', 'lua', 'V2', 'V3', 0.13619099294628323, 0.3443124294281006]
['BV', 28, 'CV', 245, 'openssl', '[', 'V1', 'V0', 0.1037870349743818, 6.007834196090698]
['BV', 81, 'CV', 1, 'dot', 'stat', 'V1', 'V2', 0.15966386554621848, 0.014299154281616211]
['CV', 261, 'BV', 56, 'touch', 'ssh', 'V1', 'V3', 0.14378956987141833, 1.3186445236206055]
['UV', 44, 'CV', 206, 'diff3', 'paste', 'V1', 'V0', 0.10789283128167992, 0.026845455169677734]
['BV', 78, 'CV', 102, 'make', 'uptime', 'V2', 'V3', 0.11619190404797597, 0.2204909324645996]
['CV', 336, 'BV', 71, 'tr', 'ruby', 'V1', 'V1', 0.22070015220700157, 0.0077419281005859375]
['CV', 222, 'UV', 48, 'df', 'locate', 'V0', 'V1', 0.09108602569093027, 0.07548403739929199]
['BV', 31, 'CV', 127, 'codeblocks', 'ls', 'V0', 'V3', 0.17360228716645487, 10.544353723526001]
['CV', 145, 'BV', 47, 'readlink', 'dot', 'V3', 'V3', 0.15738025415444767, 0.017569541931152344]
['CV', 76, 'UV', 58, 'comm', 'objcopy', 'V2', 'V1', 0.1341522659448955, 1.1979150772094727]
['CV', 17, 'UV', 28, 'mkfifo', 'strings', 'V2', 'V3', 0.15073022871314412, 0.86456298828125]
['CV', 279, 'UV', 14, 'pwd', 'objcopy', 'V1', 'V2', 0.14115620787778949, 1.0933258533477783]
['CV', 190, 'UV', 85, 'dd', 'elfedit', 'V0', 'V0', 0.05692729766803839, 0.033243656158447266]
['BV', 23, 'CV', 331, 'diff', 'vdir', 'V3', 'V1', 0.047698280643372115, 0.1470346450805664]
['BV', 79, 'UV', 19, 'bash', 'elfedit', 'V3', 'V2', 0.1248131220366494, 2.437346935272217]
['CV', 143, 'UV', 68, 'yes', 'diff', 'V3', 'V0', 0.11533840608730472, 0.06507158279418945]
['BV', 71, 'CV', 100, 'ruby', 'join', 'V1', 'V3', 0.19999999999999996, 0.013184309005737305]
['CV', 54, 'UV', 53, 'false', 'readelf', 'V2', 'V1', 0.10923390620448592, 0.07681155204772949]
['BV', 1, 'CV', 311, 'libSDL2-2.0.so', 'cksum', 'V3', 'V1', 0.19611614912521758, 4.85114598274231]
['BV', 73, 'CV', 209, 'geany', 'sum', 'V0', 'V0', 0.1855454238432962, 14.128096103668213]
['BV', 30, 'CV', 262, 'bash', 'stat', 'V0', 'V1', 0.1295771848760372, 1.9481046199798584]
['CV', 138, 'BV', 63, 'printf', 'ruby', 'V3', 'V0', 0.11509200987811674, 9.121505975723267]
['CV', 47, 'BV', 27, 'od', 'libSDL2-2.0.so', 'V2', 'V1', 0.18795481698707506, 3.6627562046051025]
['CV', 242, 'BV', 72, 'cat', 'perl', 'V0', 'V1', 0.09318120985010703, 2.0872652530670166]
['BV', 35, 'CV', 221, 'libvlccore.so', 'od', 'V2', 'V0', 0.1645108747724442, 3.200057029724121]
['BV', 49, 'CV', 205, 'make', 'sha1sum', 'V3', 'V0', 0.13709063214013706, 0.2047879695892334]
['UV', 6, 'BV', 65, 'sdiff', 'ssh', 'V2', 'V1', 0.11325793794717931, 3.7401483058929443]
['CV', 65, 'BV', 78, 'env', 'make', 'V2', 'V2', 0.13982622752071128, 0.1879584789276123]
['UV', 78, 'CV', 207, 'c++filt', 'sync', 'V0', 'V0', 0.15192678227360312, 0.7188875675201416]
['CV', 103, 'UV', 12, 'dd', 'c++filt', 'V3', 'V2', 0.12880006774494035, 0.9985795021057129]
['CV', 3, 'BV', 49, 'test', 'make', 'V2', 'V3', 0.13514526710402996, 0.21121644973754883]
['UV', 69, 'CV', 293, 'sdiff', 'paste', 'V0', 'V1', 0.1133802816901408, 0.028850317001342773]
['CV', 222, 'UV', 71, 'df', 'xargs', 'V0', 'V0', 0.04668674698795183, 0.03055095672607422]
['BV', 61, 'CV', 120, 'cmp', 'sync', 'V0', 'V3', 0.07926829268292679, 0.01705336570739746]
['CV', 145, 'UV', 18, 'readlink', 'ar', 'V3', 'V2', 0.14004975124378105, 1.0096511840820312]
['BV', 54, 'CV', 124, 'lua', 'seq', 'V3', 'V3', 0.12544146500981035, 0.378720760345459]
['CV', 246, 'BV', 79, 'id', 'bash', 'V0', 'V3', 0.127711882682769, 2.4291422367095947]
['UV', 42, 'BV', 13, 'diff', 'cp', 'V3', 'V2', 0.04076497232008047, 0.16108083724975586]
['CV', 324, 'BV', 6, 'mv', 'libvlc.so', 'V1', 'V0', 0.1394971613949716, 0.31924891471862793]
['CV', 121, 'BV', 34, 'echo', 'svn', 'V3', 'V0', 0.21195652173913038, 0.3114502429962158]
['UV', 5, 'CV', 19, 'diff', 'pr', 'V2', 'V2', 0.09489993544222075, 0.09805989265441895]
['CV', 322, 'BV', 39, 'ginstall', 'svn', 'V1', 'V1', 0.1739692805173807, 0.4977254867553711]
['UV', 55, 'CV', 260, 'ranlib', 'ln', 'V1', 'V0', 0.14308479409544583, 0.9432497024536133]
['UV', 75, 'CV', 0, 'readelf', 'touch', 'V0', 'V2', 0.08698092031425364, 0.09459209442138672]
['CV', 170, 'BV', 14, 'tac', 'openssl', 'V3', 'V3', 0.28342080889163324, 5.5304553508758545]
['CV', 147, 'UV', 36, 'hostid', 'objdump', 'V3', 'V3', 0.13721147120540922, 1.6888060569763184]
