['CV', 189, 'BV', 50, 'uptime', 'sort', 'V0', 'V0', 0.08404558404558404, 0.03001999855041504]
['CV', 104, 'BV', 29, 'mkfifo', 'perl', 'V3', 'V3', 0.1031658808097281, 2.3679118156433105]
['BV', 40, 'CV', 213, 'lua', 'whoami', 'V2', 'V0', 0.14095547995858604, 0.2921559810638428]
['UV', 33, 'CV', 4, 'ar', 'basename', 'V3', 'V2', 0.1501682920514369, 0.9142916202545166]
['BV', 12, 'CV', 44, 'sort', 'true', 'V2', 'V2', 0.12831858407079644, 0.0465703010559082]
['CV', 155, 'UV', 35, 'cat', 'size', 'V3', 'V3', 0.1444703351855171, 0.8975675106048584]
['BV', 17, 'CV', 340, 'codeblocks', 'fold', 'V2', 'V1', 0.18760160976519813, 9.678691625595093]
['BV', 51, 'CV', 160, 'cp', 'shred', 'V0', 'V3', 0.030477031802120136, 0.06419086456298828]
['UV', 35, 'CV', 87, 'size', 'touch', 'V3', 'V3', 0.13302317566985433, 0.9817538261413574]
['UV', 6, 'CV', 245, 'sdiff', '[', 'V2', 'V0', 0.10599999999999998, 0.03191852569580078]
['CV', 219, 'UV', 63, 'cp', 'elfedit', 'V0', 'V1', 0.08155230596175478, 0.04292607307434082]
['BV', 78, 'CV', 2, 'make', 'unlink', 'V2', 'V2', 0.14089901229590807, 0.1782534122467041]
['UV', 22, 'CV', 118, 'nm', 'sha1sum', 'V3', 'V3', 0.1431331225851774, 0.9101498126983643]
['UV', 4, 'CV', 217, 'cmp', 'chmod', 'V2', 'V0', 0.049615653389238346, 0.030771255493164062]
['CV', 30, 'BV', 26, 'pinky', 'geany', 'V2', 'V2', 0.18227274429753926, 20.22639799118042]
['UV', 66, 'CV', 304, 'diff3', 'chmod', 'V0', 'V1', 0.03683342495876851, 0.04317426681518555]
['CV', 75, 'BV', 67, 'tr', 'cluster', 'V2', 'V0', 0.12463861227112116, 0.09683513641357422]
['UV', 58, 'BV', 25, 'objcopy', 'git', 'V1', 'V3', 0.04866367990112774, 17.457212448120117]
['CV', 70, 'BV', 61, 'vdir', 'cmp', 'V2', 'V0', 0.1596339603457041, 0.0547177791595459]
['UV', 31, 'CV', 142, 'gprof', 'nohup', 'V3', 'V3', 0.14067329379333393, 0.9628250598907471]
['CV', 313, 'BV', 31, 'logname', 'codeblocks', 'V1', 'V0', 0.1891246389691179, 9.041926383972168]
['UV', 85, 'CV', 59, 'elfedit', 'head', 'V0', 'V2', 0.05547226386806592, 0.025970458984375]
['UV', 12, 'CV', 205, 'c++filt', 'sha1sum', 'V2', 'V0', 0.1481279037988521, 0.8545095920562744]
['CV', 247, 'BV', 34, 'shred', 'svn', 'V0', 'V0', 0.20003777861730265, 0.3465757369995117]
['UV', 24, 'CV', 79, 'readelf', 'fold', 'V3', 'V2', 0.11662412252712184, 0.22054123878479004]
['CV', 290, 'UV', 14, 'tail', 'objcopy', 'V1', 'V2', 0.13453374322939537, 1.1623833179473877]
['UV', 43, 'CV', 169, 'sdiff', 'sort', 'V3', 'V3', 0.07924888605983449, 0.10761117935180664]
['UV', 68, 'BV', 4, 'diff', 'geany', 'V0', 'V3', 0.17437431991294883, 26.509526252746582]
['CV', 5, 'UV', 54, 'mkdir', 'as', 'V2', 'V1', 0.12626146788990822, 1.6269283294677734]
['CV', 151, 'BV', 71, 'md5sum', 'ruby', 'V3', 'V1', 0.22523584905660377, 0.010953664779663086]
['CV', 263, 'UV', 56, 'unlink', 'c++filt', 'V1', 'V1', 0.15026997346023607, 0.812192440032959]
['CV', 42, 'BV', 30, 'dircolors', 'bash', 'V2', 'V0', 0.13043047014481257, 1.932126760482788]
['CV', 83, 'BV', 12, 'tac', 'sort', 'V2', 'V2', 0.0438626317579055, 0.08580517768859863]
['CV', 70, 'UV', 15, 'vdir', 'ld', 'V2', 'V2', 0.11575987144168964, 1.9305601119995117]
['CV', 95, 'BV', 54, 'du', 'lua', 'V3', 'V3', 0.09051378876301641, 0.5439753532409668]
['UV', 12, 'CV', 202, 'c++filt', 'chown', 'V2', 'V0', 0.13986138261951309, 0.9082691669464111]
['UV', 16, 'CV', 62, 'gprof', 'unexpand', 'V2', 'V2', 0.14487190186096965, 0.9120733737945557]
['UV', 33, 'CV', 318, 'ar', 'who', 'V3', 'V1', 0.14632056883406153, 0.9390435218811035]
['UV', 62, 'CV', 180, 'ar', 'fmt', 'V1', 'V0', 0.14708626685893633, 0.8991875648498535]
['UV', 58, 'BV', 37, 'objcopy', 'geany', 'V1', 'V1', 0.11794058667164109, 32.89840745925903]
['CV', 161, 'UV', 72, 'pathchk', 'find', 'V3', 'V0', 0.13748495788206982, 0.1190958023071289]
['UV', 43, 'CV', 325, 'sdiff', 'md5sum', 'V3', 'V1', 0.09638554216867468, 0.034305572509765625]
