['BV', 45, 'UV', 74, 'svn', 'strip', 'V3', 'V0', 0.051375220792329035, 3.3474996089935303]
['BV', 37, 'CV', 165, 'geany', 'rm', 'V1', 'V3', 0.1802490587894584, 20.761410236358643]
['CV', 251, 'BV', 17, 'nl', 'codeblocks', 'V0', 'V2', 0.1817066165335004, 10.683688640594482]
['UV', 42, 'BV', 70, 'diff', 'ssh', 'V3', 'V0', 0.10182920864716816, 4.353198289871216]
['UV', 11, 'BV', 67, 'ranlib', 'cluster', 'V2', 'V0', 0.10461381223536281, 1.470015287399292]
['BV', 73, 'UV', 10, 'geany', 'as', 'V0', 'V2', 0.09970012522243454, 28.410215377807617]
['BV', 71, 'CV', 201, 'ruby', 'expr', 'V1', 'V0', 0.17172464840858626, 0.016178369522094727]
['CV', 87, 'BV', 57, 'touch', 'svn', 'V3', 'V2', 0.18295904887714665, 0.4476199150085449]
['CV', 88, 'UV', 52, 'stat', 'strip', 'V3', 'V1', 0.12004244594773839, 1.491530418395996]
['BV', 62, 'CV', 52, 'diff', 'logname', 'V0', 'V2', 0.12331969608416127, 0.03954339027404785]
['BV', 66, 'CV', 192, 'lua', 'pwd', 'V1', 'V0', 0.13867822318526546, 0.2934572696685791]
['CV', 62, 'BV', 58, 'unexpand', 'ruby', 'V2', 'V3', 0.21172638436482083, 0.007050275802612305]
['UV', 35, 'CV', 296, 'size', 'sum', 'V3', 'V1', 0.1484958979033728, 0.8952775001525879]
['CV', 211, 'BV', 57, 'seq', 'svn', 'V0', 'V2', 0.22601199400299854, 0.35735559463500977]
['BV', 64, 'CV', 284, 'openssl', 'wc', 'V2', 'V1', 0.2875235324319698, 4.6259377002716064]
['UV', 71, 'CV', 203, 'xargs', 'tail', 'V0', 'V0', 0.03363228699551568, 0.029650449752807617]
['UV', 19, 'CV', 281, 'elfedit', 'tee', 'V2', 'V1', 0.0767148014440433, 0.021790742874145508]
['BV', 71, 'CV', 132, 'ruby', 'cp', 'V1', 'V3', 0.21577726218097448, 0.04783964157104492]
['CV', 277, 'BV', 39, 'dd', 'svn', 'V1', 'V1', 0.19989506820566638, 0.4238460063934326]
['CV', 266, 'BV', 78, 'mkdir', 'make', 'V1', 'V2', 0.13171406003159558, 0.20946431159973145]
['CV', 300, 'UV', 12, 'whoami', 'c++filt', 'V1', 'V2', 0.153023598820059, 0.8768191337585449]
['CV', 292, 'BV', 16, 'sha1sum', 'libvlc.so', 'V1', 'V3', 0.1944659442724458, 0.3356049060821533]
['CV', 128, 'UV', 46, 'nice', 'diff', 'V3', 'V1', 0.1132716049382716, 0.09394288063049316]
['BV', 0, 'UV', 55, 'bash', 'ranlib', 'V2', 'V1', 0.03661327231121281, 6.498515367507935]
['UV', 71, 'CV', 248, 'xargs', 'pathchk', 'V0', 'V0', 0.08734939759036142, 0.019533395767211914]
['UV', 42, 'BV', 56, 'diff', 'ssh', 'V3', 'V3', 0.11562499999999998, 1.8857264518737793]
['BV', 43, 'CV', 283, 'lua', 'kill', 'V0', 'V1', 0.14276139410187672, 0.2680079936981201]
['BV', 8, 'CV', 164, 'cluster', 'nl', 'V2', 'V3', 0.12366676275583743, 0.1417555809020996]
['BV', 13, 'UV', 20, 'cp', 'size', 'V2', 'V2', 0.11844660194174761, 1.2370078563690186]
['CV', 329, 'BV', 69, 'cat', 'gvmap', 'V1', 'V0', 0.14543630892678028, 0.09650015830993652]
['UV', 13, 'CV', 14, 'strings', 'dirname', 'V2', 'V2', 0.15028064457722246, 0.869016170501709]
['CV', 319, 'BV', 17, 'readlink', 'codeblocks', 'V1', 'V2', 0.18762491006475335, 10.302869319915771]
['CV', 302, 'UV', 20, 'nice', 'size', 'V1', 'V2', 0.15148496921405286, 0.9175193309783936]
['UV', 23, 'CV', 152, 'strip', 'env', 'V3', 'V3', 0.1390867511434355, 1.1655185222625732]
['CV', 107, 'BV', 42, 'tee', 'libvlc.so', 'V3', 'V1', 0.16497619540467812, 0.26418161392211914]
['BV', 30, 'CV', 295, 'bash', 'echo', 'V0', 'V1', 0.13286608260325405, 1.9697842597961426]
['UV', 35, 'CV', 115, 'size', 'chown', 'V3', 'V3', 0.13050905363853782, 1.0392916202545166]
['BV', 26, 'CV', 194, 'geany', 'tee', 'V2', 'V0', 0.1838689042745334, 21.011338472366333]
['CV', 303, 'BV', 69, 'dircolors', 'gvmap', 'V1', 'V0', 0.1363339856490542, 0.09986305236816406]
['CV', 189, 'BV', 75, 'uptime', 'cmp', 'V0', 'V2', 0.08783239323126513, 0.02822279930114746]
['UV', 7, 'CV', 161, 'nm', 'pathchk', 'V2', 'V3', 0.14518376589444348, 0.9699938297271729]
['CV', 99, 'UV', 2, 'stty', 'find', 'V3', 'V2', 0.12151256629006224, 0.19202947616577148]
['CV', 39, 'BV', 26, 'whoami', 'geany', 'V2', 'V2', 0.18370414912808175, 21.248353242874146]
['UV', 26, 'CV', 50, 'ranlib', 'cksum', 'V3', 'V2', 0.15008635578583762, 0.9590668678283691]
['BV', 58, 'CV', 4, 'ruby', 'basename', 'V3', 'V2', 0.20034542314335058, 0.006502628326416016]
['CV', 195, 'UV', 40, 'chgrp', 'diff3', 'V0', 'V3', 0.05458638154192463, 0.044110774993896484]
['BV', 40, 'CV', 304, 'lua', 'chmod', 'V2', 'V1', 0.1218603367375104, 0.37055253982543945]
['CV', 85, 'UV', 16, 'mknod', 'gprof', 'V2', 'V2', 0.14433419494705246, 0.9993495941162109]
['CV', 232, 'BV', 28, 'readlink', 'openssl', 'V0', 'V1', 0.10425916423105241, 6.472295045852661]
['CV', 129, 'BV', 55, 'dircolors', 'codeblocks', 'V3', 'V3', 0.18711401733354094, 11.0702805519104]
