['CO', 201, 'UO', 36, 'uniq', 'addr2line', 'O1', 'O2', 0.13850390902629706, 1.015561819076538]
['UO', 20, 'CO', 238, 'diff', 'expand', 'O1', 'O2', 0.1401475237091676, 0.1096498966217041]
['CO', 380, 'UO', 42, 'yes', 'xargs', 'O0', 'O2', 0.0993788819875776, 0.07721972465515137]
['UO', 32, 'CO', 369, 'strings', 'od', 'O2', 'O0', 0.12917208495882093, 1.1181063652038574]
['UO', 85, 'CO', 386, 'locate', 'unexpand', 'O0', 'O0', 0.13274105043114715, 0.22044682502746582]
['CO', 145, 'UO', 51, 'echo', 'objcopy', 'O1', 'O3', 0.131099669561208, 1.0406994819641113]
['BO', 58, 'CO', 267, 'svn', 'tsort', 'O1', 'O2', 0.22175256055925863, 0.4910256862640381]
['CO', 47, 'UO', 13, 'numfmt', 'addr2line', 'O3', 'O1', 0.1451133565424132, 1.1127173900604248]
['BO', 76, 'CO', 304, 'openssl', 'fold', 'O2', 'O2', 0.28025313186103573, 7.77729058265686]
['UO', 82, 'CO', 232, 'cmp', 'tee', 'O0', 'O2', 0.08614976805831676, 0.04562854766845703]
['CO', 356, 'BO', 41, 'seq', 'libSDL2-2.0.so.0.16.0', 'O0', 'O2', 0.20363778222070517, 5.591152191162109]
['CO', 4, 'BO', 70, 'test', 'diff', 'O3', 'O3', 0.11392405063291133, 0.09718179702758789]
['CO', 280, 'UO', 69, 'head', 'as', 'O2', 'O0', 0.13852022570134315, 3.834717035293579]
['UO', 57, 'CO', 400, 'size', 'shred', 'O3', 'O0', 0.11482381530984198, 1.067760705947876]
['CO', 86, 'UO', 16, 'timeout', 'size', 'O3', 'O1', 0.1454483522098271, 1.1259238719940186]
['BO', 50, 'CO', 117, 'perl', 'printenv', 'O2', 'O1', 0.08727810650887569, 2.4088757038116455]
['BO', 17, 'CO', 206, 'codeblocks', 'mknod', 'O2', 'O1', 0.18746096189881323, 10.899805545806885]
['BO', 54, 'CO', 110, 'lua', 'mkdir', 'O3', 'O1', 0.10763751483973094, 0.38219690322875977]
['BO', 24, 'CO', 265, 'cluster', 'od', 'O3', 'O2', 0.10398661834402012, 0.13584589958190918]
['UO', 55, 'CO', 175, 'ar', 'readlink', 'O3', 'O1', 0.13064071650017217, 0.953655481338501]
['BO', 75, 'CO', 315, 'gvmap', 'unlink', 'O1', 'O0', 0.12146092865232161, 0.13892889022827148]
['UO', 36, 'CO', 109, 'addr2line', 'basename', 'O2', 'O1', 0.14612660067205518, 0.9349977970123291]
['BO', 5, 'CO', 277, 'libgeany.so.0.0.0', 'who', 'O1', 'O2', 0.1739780975423405, 28.401565074920654]
['BO', 74, 'CO', 280, 'dot', 'head', 'O1', 'O2', 0.1674008810572687, 0.01723170280456543]
