['BV', 26, 'CV', 187, 'geany', 'join', 'V2', 'V0', 0.1827743302274134, 21.747586727142334]
['CV', 326, 'UV', 83, 'env', 'addr2line', 'V1', 'V0', 0.1507733181516273, 0.8172235488891602]
['UV', 79, 'CV', 43, 'strings', 'chmod', 'V0', 'V2', 0.13429191535539875, 0.8852734565734863]
['BV', 27, 'UV', 25, 'libSDL2-2.0.so', 'as', 'V1', 'V3', 0.03874431088808494, 10.736417293548584]
['CV', 144, 'BV', 42, 'who', 'libvlc.so', 'V3', 'V1', 0.1580121703853955, 0.29001402854919434]
['CV', 72, 'BV', 49, 'id', 'make', 'V2', 'V3', 0.13730277986476336, 0.22118711471557617]
['UV', 67, 'BV', 41, 'cmp', 'libvlccore.so', 'V0', 'V1', 0.15964688364177837, 2.8214828968048096]
['UV', 40, 'CV', 220, 'diff3', 'cut', 'V3', 'V0', 0.08746736292428203, 0.034094810485839844]
['CV', 10, 'UV', 60, 'ptx', 'gprof', 'V2', 'V1', 0.11885740126620437, 1.227431297302246]
['BV', 16, 'CV', 198, 'libvlc.so', 'factor', 'V3', 'V0', 0.19929384072185174, 0.315096378326416]
['CV', 143, 'UV', 38, 'yes', 'xargs', 'V3', 'V3', 0.1261166579085654, 0.0619356632232666]
['UV', 16, 'CV', 213, 'gprof', 'whoami', 'V2', 'V0', 0.14870580274065304, 0.9447417259216309]
['CV', 87, 'UV', 68, 'touch', 'diff', 'V3', 'V0', 0.0630541871921182, 0.10108375549316406]
['CV', 344, 'BV', 63, 'tac', 'ruby', 'V1', 'V0', 0.11314531737567646, 10.026289701461792]
['UV', 48, 'CV', 337, 'locate', 'comm', 'V1', 'V1', 0.1253769926755709, 0.06290841102600098]
['UV', 0, 'CV', 5, 'locate', 'mkdir', 'V2', 'V2', 0.08716248223590717, 0.0644676685333252]
['UV', 75, 'CV', 260, 'readelf', 'ln', 'V0', 'V0', 0.09882697947214081, 0.08780503273010254]
['CV', 12, 'UV', 1, 'stty', 'xargs', 'V2', 'V2', 0.0725209669462259, 0.05371904373168945]
['UV', 62, 'CV', 118, 'ar', 'sha1sum', 'V1', 'V3', 0.1390082644628099, 1.027984380722046]
['UV', 63, 'BV', 83, 'elfedit', 'git', 'V1', 'V2', 0.09268647331604185, 6.732306241989136]
['CV', 299, 'BV', 3, 'split', 'diff', 'V1', 'V1', 0.11653672548215022, 0.0687863826751709]
['UV', 5, 'CV', 162, 'diff', 'tr', 'V2', 'V3', 0.10599536270288179, 0.09705328941345215]
['CV', 252, 'UV', 78, 'rm', 'c++filt', 'V0', 'V0', 0.138598277937228, 0.8808541297912598]
['CV', 105, 'UV', 43, 'pwd', 'sdiff', 'V3', 'V3', 0.07325581395348835, 0.04371190071105957]
['CV', 72, 'BV', 4, 'id', 'geany', 'V2', 'V3', 0.18208389150820303, 25.20272421836853]
['UV', 50, 'CV', 223, 'find', 'tsort', 'V1', 'V0', 0.1552254098360656, 0.1475214958190918]
['CV', 276, 'BV', 55, 'uptime', 'codeblocks', 'V1', 'V3', 0.18918777748759463, 10.792369365692139]
['CV', 249, 'BV', 33, 'tr', 'openssl', 'V0', 'V0', 0.10290417401528518, 5.869668245315552]
['BV', 21, 'UV', 38, 'cp', 'xargs', 'V1', 'V3', 0.06270491803278688, 0.09611892700195312]
['CV', 209, 'BV', 34, 'sum', 'svn', 'V0', 'V0', 0.21577909270216966, 0.3277773857116699]
['CV', 21, 'BV', 30, 'chgrp', 'bash', 'V2', 'V0', 0.12314482491027257, 2.1963489055633545]
