['CV', 103, 'UV', 8, 'dd', 'strip', 'V3', 'V2', 0.12427075279398325, 1.3543152809143066]
['UV', 72, 'CV', 219, 'find', 'cp', 'V0', 'V0', 0.10109071561585525, 0.16712236404418945]
['BV', 41, 'CV', 291, 'libvlccore.so', 'pinky', 'V1', 'V1', 0.16305048335123518, 2.6656877994537354]
['BV', 75, 'CV', 193, 'cmp', 'pr', 'V2', 'V0', 0.02990897269180759, 0.04035615921020508]
['CV', 159, 'BV', 44, 'id', 'make', 'V3', 'V0', 0.11647254575707155, 0.19612336158752441]
['CV', 339, 'BV', 37, 'rm', 'geany', 'V1', 'V1', 0.1830601625382472, 20.579313039779663]
['BV', 34, 'CV', 321, 'svn', 'hostid', 'V0', 'V1', 0.2269876593162048, 0.30571484565734863]
['UV', 40, 'CV', 138, 'diff3', 'printf', 'V3', 'V3', 0.04940282301845822, 0.04367256164550781]
['CV', 153, 'UV', 48, 'link', 'locate', 'V3', 'V1', 0.11565181855333062, 0.06586694717407227]
['CV', 4, 'BV', 39, 'basename', 'svn', 'V2', 'V1', 0.22216056233814285, 0.3563406467437744]
['BV', 53, 'CV', 226, 'ssh', 'logname', 'V2', 'V0', 0.12156494312653088, 3.6756439208984375]
['UV', 53, 'CV', 310, 'readelf', 'tsort', 'V1', 'V1', 0.10619726505673555, 0.08482193946838379]
['CV', 308, 'BV', 75, 'od', 'cmp', 'V1', 'V2', 0.053160919540229834, 0.03290867805480957]
['UV', 55, 'BV', 9, 'ranlib', 'dot', 'V1', 'V2', 0.15451718776990842, 0.9204237461090088]
['CV', 191, 'BV', 1, 'mkfifo', 'libSDL2-2.0.so', 'V0', 'V3', 0.19599761872052024, 5.354669094085693]
['UV', 40, 'CV', 341, 'diff3', 'uniq', 'V3', 'V1', 0.07600502512562812, 0.03597378730773926]
['UV', 77, 'CV', 145, 'ranlib', 'readlink', 'V0', 'V3', 0.13777089783281737, 0.9602358341217041]
['CV', 6, 'BV', 48, 'fmt', 'gvmap', 'V2', 'V3', 0.1336590974417936, 0.12051820755004883]
['CV', 113, 'BV', 58, 'date', 'ruby', 'V3', 'V3', 0.2121457489878542, 0.018205881118774414]
['BV', 72, 'CV', 1, 'perl', 'stat', 'V1', 'V2', 0.0912958223935657, 2.2610888481140137]
['CV', 20, 'UV', 1, 'tee', 'xargs', 'V2', 'V2', 0.10127282789153291, 0.044698476791381836]
['BV', 28, 'UV', 87, 'openssl', 'objdump', 'V1', 'V0', 0.04553005390378684, 14.849819898605347]
['BV', 65, 'CV', 184, 'ssh', 'ptx', 'V1', 'V0', 0.11235991766589337, 4.009860515594482]
['CV', 216, 'UV', 30, 'dircolors', 'ld', 'V0', 'V3', 0.14502987506789788, 1.858051061630249]
['CV', 57, 'BV', 16, 'who', 'libvlc.so', 'V2', 'V3', 0.17963850977499074, 0.3695807456970215]
['UV', 19, 'CV', 114, 'elfedit', 'expr', 'V2', 'V3', 0.044689119170984504, 0.03380894660949707]
['UV', 5, 'CV', 330, 'diff', 'csplit', 'V2', 'V1', 0.06330501507262265, 0.13291597366333008]
['UV', 29, 'CV', 0, 'objcopy', 'touch', 'V3', 'V2', 0.13652971441354111, 1.2257530689239502]
['CV', 309, 'BV', 83, 'df', 'git', 'V1', 'V2', 0.09259004809107862, 6.901243448257446]
['CV', 125, 'UV', 65, 'split', 'objdump', 'V3', 'V1', 0.12615061469080124, 1.682079792022705]
['BV', 60, 'UV', 4, 'codeblocks', 'cmp', 'V1', 'V2', 0.18411204960975092, 10.311012506484985]
['CV', 321, 'BV', 82, 'hostid', 'gvmap', 'V1', 'V1', 0.15236641221374048, 0.10732841491699219]
['CV', 273, 'UV', 12, 'stty', 'c++filt', 'V1', 'V2', 0.14624649098976727, 0.9543521404266357]
['BV', 35, 'UV', 46, 'libvlccore.so', 'diff', 'V2', 'V1', 0.1376070617024996, 4.285021781921387]
['BV', 29, 'CV', 119, 'perl', 'paste', 'V3', 'V3', 0.1030614050610511, 2.5000340938568115]
['CV', 10, 'UV', 42, 'ptx', 'diff', 'V2', 'V3', 0.051575203252032464, 0.14707064628601074]
['CV', 301, 'BV', 8, 'ls', 'cluster', 'V1', 'V2', 0.0775250672536072, 0.20121479034423828]
['CV', 33, 'UV', 77, 'sync', 'ranlib', 'V2', 'V0', 0.14808578518255944, 0.8959531784057617]
['BV', 59, 'CV', 154, 'make', 'uname', 'V1', 'V3', 0.13153153153153152, 0.19553065299987793]
['UV', 39, 'BV', 49, 'find', 'make', 'V3', 'V3', 0.02780649162704152, 0.8104627132415771]
['BV', 38, 'UV', 39, 'ruby', 'find', 'V2', 'V3', 0.19760717846460618, 0.236100435256958]
['BV', 53, 'CV', 285, 'ssh', 'factor', 'V2', 'V1', 0.12079526056833012, 3.691563844680786]
['CV', 187, 'UV', 31, 'join', 'gprof', 'V0', 'V3', 0.14243672748675695, 1.0332839488983154]
['CV', 244, 'UV', 27, 'vdir', 'c++filt', 'V0', 'V3', 0.12593677319321217, 1.1729552745819092]
['UV', 28, 'CV', 236, 'strings', 'unexpand', 'V3', 'V0', 0.15296296296296297, 0.8802711963653564]
['BV', 6, 'CV', 282, 'libvlc.so', 'chgrp', 'V0', 'V1', 0.17023675310033826, 0.26584744453430176]
['CV', 263, 'UV', 78, 'unlink', 'c++filt', 'V1', 'V0', 0.1509905751105982, 0.7913558483123779]
['BV', 29, 'CV', 155, 'perl', 'cat', 'V3', 'V3', 0.10242988009761966, 2.5633633136749268]
['CV', 27, 'UV', 17, 'expr', 'addr2line', 'V2', 'V2', 0.12994161801501247, 1.060189962387085]
['CV', 45, 'UV', 18, 'cp', 'ar', 'V2', 'V2', 0.11867149572320257, 1.3557345867156982]
['BV', 36, 'CV', 90, 'libvlc.so', 'test', 'V2', 'V3', 0.1798375184638109, 0.3506929874420166]
['CV', 121, 'UV', 71, 'echo', 'xargs', 'V3', 'V0', 0.04487722269263339, 0.025104045867919922]
['CV', 280, 'UV', 20, 'pr', 'size', 'V1', 'V2', 0.14041845399632324, 1.0001423358917236]
['BV', 24, 'CV', 337, 'git', 'comm', 'V0', 'V1', 0.09563749251130116, 3.559420108795166]
['UV', 36, 'CV', 309, 'objdump', 'df', 'V3', 'V1', 0.13330636773373394, 1.8180129528045654]
['CV', 124, 'UV', 16, 'seq', 'gprof', 'V3', 'V2', 0.13807497135374036, 1.0778779983520508]
['UV', 30, 'BV', 1, 'ld', 'libSDL2-2.0.so', 'V3', 'V3', 0.05254747383279623, 14.321042537689209]
['UV', 1, 'CV', 236, 'xargs', 'unexpand', 'V2', 'V0', 0.12581602373887235, 0.04000353813171387]
['BV', 25, 'CV', 43, 'git', 'chmod', 'V3', 'V2', 0.08610232271008567, 9.323089838027954]
['UV', 43, 'CV', 327, 'sdiff', 'link', 'V3', 'V1', 0.13018181818181818, 0.0294649600982666]
['CV', 98, 'BV', 19, 'printenv', 'cp', 'V3', 'V3', 0.12390392680137252, 0.07769346237182617]
['CV', 68, 'BV', 80, 'cat', 'cluster', 'V2', 'V1', 0.11508596783139213, 0.14682364463806152]
