['CO', 280, 'UO', 66, 'head', 'nm', 'O2', 'O0', 0.15165217391304342, 2.316544532775879]
['UO', 59, 'CO', 140, 'locate', 'pinky', 'O3', 'O1', 0.11161811161811164, 0.12446308135986328]
['UO', 17, 'BO', 58, 'objdump', 'svn', 'O1', 'O1', 0.07851058224290863, 4.307998180389404]
['UO', 47, 'CO', 38, 'as', 'sha1sum', 'O3', 'O3', 0.12103174603174605, 1.5748014450073242]
['BO', 6, 'CO', 84, 'codeblocks', 'vdir', 'O0', 'O3', 0.19711816603991905, 32.05955719947815]
['CO', 402, 'BO', 4, 'tr', 'libgeany.so.0.0.0', 'O0', 'O2', 0.17557517642963383, 29.500781059265137]
['BO', 13, 'CO', 395, 'ruby', 'csplit', 'O1', 'O0', 0.10143196286271605, 14.246890544891357]
['UO', 6, 'BO', 25, 'as', 'dot', 'O1', 'O3', 0.14143189161612157, 1.7886478900909424]
['BO', 77, 'CO', 327, 'libSDL2-2.0.so.0.16.0', 'join', 'O3', 'O0', 0.18280828082808287, 5.332094430923462]
['CO', 344, 'BO', 4, 'expr', 'libgeany.so.0.0.0', 'O0', 'O2', 0.1754139059757428, 30.884570121765137]
['BO', 12, 'CO', 165, 'libgeany.so.0.0.0', 'cksum', 'O0', 'O1', 0.19239830987012485, 29.115492820739746]
['CO', 9, 'UO', 54, 'du', 'addr2line', 'O3', 'O3', 0.10841773202722893, 1.1292800903320312]
['UO', 70, 'CO', 79, 'ranlib', 'link', 'O0', 'O3', 0.15424295674848365, 2.2930142879486084]
['UO', 53, 'BO', 8, 'gprof', 'cp', 'O3', 'O0', 0.07861279841785562, 1.5718903541564941]
['CO', 181, 'BO', 70, 'env', 'diff', 'O1', 'O3', 0.11584089323098401, 0.09692955017089844]
['BO', 60, 'CO', 237, 'openssl', 'nproc', 'O0', 'O2', 0.27246013399678715, 9.174881219863892]
['UO', 66, 'CO', 409, 'nm', 'uniq', 'O0', 'O0', 0.14435170363594785, 2.4275012016296387]
['CO', 97, 'BO', 40, 'uniq', 'lua', 'O3', 'O0', 0.1351972041937094, 0.751370906829834]
['CO', 364, 'UO', 55, 'sha256sum', 'ar', 'O0', 'O3', 0.12645831559226772, 1.0103511810302734]
['CO', 382, 'UO', 39, 'b2sum', 'size', 'O0', 'O2', 0.13047247507585613, 1.1482446193695068]
['UO', 81, 'CO', 267, 'diff3', 'tsort', 'O0', 'O2', 0.10888407367280606, 0.06129121780395508]
['UO', 14, 'CO', 133, 'ar', 'nproc', 'O1', 'O1', 0.14735805710534955, 1.169522762298584]
['CO', 227, 'UO', 64, 'dd', 'diff', 'O2', 'O3', 0.07195735860230978, 0.12861847877502441]
['CO', 26, 'UO', 2, 'kill', 'find', 'O3', 'O1', 0.16227996647108134, 0.40001893043518066]
['CO', 148, 'BO', 55, 'seq', 'make', 'O1', 'O1', 0.12436115843270867, 0.24294757843017578]
['BO', 32, 'UO', 30, 'ruby', 'ranlib', 'O2', 'O2', 0.08310929956927704, 25.162509202957153]
['CO', 279, 'UO', 85, 'readlink', 'locate', 'O2', 'O0', 0.14900484131253355, 0.2065722942352295]
['UO', 54, 'CO', 389, 'addr2line', 'env', 'O3', 'O0', 0.13170865279299016, 0.8822829723358154]
['BO', 61, 'CO', 386, 'git', 'unexpand', 'O1', 'O0', 0.09173684519041014, 6.805752754211426]
['CO', 75, 'BO', 64, 'mv', 'dot', 'O3', 'O0', 0.18479532163742696, 0.07204246520996094]
['CO', 330, 'UO', 85, 'uptime', 'locate', 'O0', 'O0', 0.11875945537065058, 0.2596406936645508]
['CO', 387, 'UO', 76, 'mv', 'addr2line', 'O0', 'O0', 0.10836628832622874, 3.4521360397338867]
['CO', 330, 'UO', 51, 'uptime', 'objcopy', 'O0', 'O3', 0.12084795103381352, 1.2432281970977783]
['UO', 40, 'CO', 258, 'objdump', 'dircolors', 'O2', 'O2', 0.13476744186046508, 1.8157641887664795]
['CO', 3, 'UO', 84, 'unlink', 'sdiff', 'O3', 'O0', 0.1257720381807973, 0.04992485046386719]
['CO', 56, 'UO', 2, 'cut', 'find', 'O3', 'O1', 0.15671395579016822, 0.39722180366516113]
['BO', 54, 'CO', 53, 'lua', 'chmod', 'O3', 'O3', 0.1039275694975772, 0.3649756908416748]
['UO', 76, 'CO', 200, 'addr2line', 'fold', 'O0', 'O1', 0.1520606347702511, 2.212480306625366]
['BO', 3, 'CO', 115, 'openssl', 'groups', 'O1', 'O1', 0.2794130303812721, 7.903167009353638]
['CO', 213, 'BO', 17, 'basename', 'codeblocks', 'O2', 'O2', 0.18894635114663327, 10.952845811843872]
['CO', 73, 'BO', 79, 'hostid', 'bash', 'O3', 'O3', 0.11502152703716872, 2.5308494567871094]
['BO', 20, 'CO', 292, 'sort', 'vdir', 'O1', 'O2', 0.030896759608138646, 0.23696422576904297]
['CO', 191, 'UO', 80, 'id', 'objdump', 'O1', 'O0', 0.14066142478960053, 4.176696300506592]
['UO', 31, 'CO', 260, 'c++filt', 'sha256sum', 'O2', 'O2', 0.14428088141172168, 0.9542362689971924]
['BO', 58, 'CO', 6, 'svn', 'mkdir', 'O1', 'O3', 0.2076875387476751, 0.518134593963623]
['CO', 241, 'BO', 59, 'chown', 'libgeany.so.0.0.0', 'O2', 'O3', 0.16555241145558008, 26.967849016189575]
['CO', 162, 'UO', 35, 'df', 'gprof', 'O1', 'O2', 0.12024221453287198, 1.3119425773620605]
['UO', 71, 'BO', 37, 'c++filt', 'gvmap', 'O0', 'O2', 0.11775553213909373, 2.8993606567382812]
['UO', 0, 'CO', 224, 'locate', 'dirname', 'O1', 'O2', 0.15816141874773793, 0.11362004280090332]
['CO', 171, 'UO', 49, 'nohup', 'c++filt', 'O1', 'O3', 0.13557737260402059, 0.8438236713409424]
['BO', 27, 'CO', 297, 'perl', 'pathchk', 'O3', 'O2', 0.08402915056206295, 2.329209804534912]
['UO', 11, 'CO', 130, 'ld', 'kill', 'O1', 'O1', 0.14460570029725472, 2.0791916847229004]
['BO', 66, 'CO', 48, 'svn', 'ls', 'O2', 'O3', 0.15061568373298773, 0.7501354217529297]
