['BO', 69, 'CO', 336, 'cmp', 'tee', 'O3', 'O0', 0.060625814863103034, 0.04408550262451172]
['UO', 26, 'CO', 179, 'nm', 'mv', 'O2', 'O1', 0.10278866098179307, 1.3694138526916504]
['UO', 66, 'BO', 12, 'nm', 'libgeany.so.0.0.0', 'O0', 'O0', 0.11027282313278775, 48.92620515823364]
['BO', 27, 'CO', 269, 'perl', 'cksum', 'O3', 'O2', 0.08414220386487681, 2.2460038661956787]
['UO', 77, 'CO', 131, 'ar', 'wc', 'O0', 'O1', 0.14708680808193875, 2.3682899475097656]
['CO', 115, 'UO', 34, 'groups', 'ld', 'O1', 'O2', 0.1407912035377077, 1.8355872631072998]
['BO', 74, 'CO', 398, 'dot', 'timeout', 'O1', 'O0', 0.2220309810671257, 0.03178048133850098]
['BO', 56, 'CO', 77, 'libvlc.so.12.0.0', 'env', 'O3', 'O3', 0.2108046845485455, 0.3828749656677246]
['CO', 266, 'UO', 81, 'df', 'diff3', 'O2', 'O0', 0.03288718929254297, 0.10532522201538086]
['CO', 299, 'UO', 50, 'comm', 'strings', 'O2', 'O3', 0.1370780247372826, 0.8038284778594971]
['CO', 213, 'UO', 7, 'basename', 'ranlib', 'O2', 'O1', 0.15261410788381746, 1.1069624423980713]
['CO', 225, 'BO', 78, 'stdbuf', 'ssh', 'O2', 'O0', 0.14072386737534803, 2.0441298484802246]
['UO', 79, 'CO', 411, 'size', 'sort', 'O0', 'O0', 0.11561363756125842, 2.9757893085479736]
['UO', 17, 'CO', 147, 'objdump', 'chroot', 'O1', 'O1', 0.13686730887020437, 2.0030858516693115]
['BO', 38, 'UO', 7, 'acyclic', 'ranlib', 'O2', 'O1', 0.16087287490484647, 1.0143847465515137]
['BO', 47, 'CO', 374, 'libvlc.so.12.0.0', 'printf', 'O0', 'O0', 0.21174728529121423, 0.618018627166748]
['CO', 191, 'BO', 5, 'id', 'libgeany.so.0.0.0', 'O1', 'O1', 0.17383695029593327, 27.79517412185669]
