['CO', 93, 'BO', 29, 'nl', 'libvlc.so.12.0.0', 'O3', 'O2', 0.21447876447876446, 0.43438720703125]
['CO', 164, 'BO', 5, 'base64', 'libgeany.so.0.0.0', 'O1', 'O1', 0.17411105272376948, 30.099276542663574]
['CO', 349, 'BO', 75, 'truncate', 'gvmap', 'O0', 'O1', 0.1116598079561042, 0.15759778022766113]
['CO', 385, 'UO', 80, 'hostid', 'objdump', 'O0', 'O0', 0.1413198856416773, 4.223028182983398]
['CO', 272, 'BO', 14, 'tty', 'cmp', 'O2', 'O0', 0.11265544989027065, 0.0393834114074707]
['UO', 1, 'CO', 161, 'xargs', 'od', 'O1', 'O1', 0.06971860562788745, 0.09996914863586426]
['UO', 70, 'CO', 34, 'ranlib', 'tail', 'O0', 'O3', 0.14340490797546013, 2.5117971897125244]
['UO', 46, 'CO', 160, 'readelf', 'cut', 'O3', 'O1', 0.09675947056138745, 0.26607394218444824]
['CO', 202, 'BO', 71, 'sleep', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.20125253893026407, 6.736189365386963]
['CO', 224, 'UO', 19, 'dirname', 'cmp', 'O2', 'O1', 0.08496732026143794, 0.030942916870117188]
['UO', 6, 'CO', 391, 'as', 'link', 'O1', 'O0', 0.13207651788189634, 1.9826233386993408]
['UO', 86, 'BO', 1, 'xargs', 'ssh', 'O0', 'O2', 0.12036430739924997, 2.013977527618408]
['BO', 12, 'CO', 145, 'libgeany.so.0.0.0', 'echo', 'O0', 'O1', 0.19269523865208837, 29.281078100204468]
['CO', 298, 'BO', 77, 'tr', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.18910036971107758, 5.302172422409058]
['CO', 39, 'UO', 50, 'paste', 'strings', 'O3', 'O3', 0.13831066703672867, 0.8299136161804199]
['CO', 332, 'BO', 37, 'mkfifo', 'gvmap', 'O0', 'O2', 0.05524365596227265, 0.24711155891418457]
['UO', 58, 'CO', 254, 'objdump', 'whoami', 'O3', 'O2', 0.12855970936364702, 1.5482909679412842]
