['CV', 262, 'UV', 28, 'stat', 'strings', 'V1', 'V3', 0.14954128440366976, 0.917266845703125]
['CV', 6, 'UV', 5, 'fmt', 'diff', 'V2', 'V2', 0.12970261554998208, 0.08374595642089844]
['CV', 254, 'BV', 7, 'uniq', 'libSDL2-2.0.so', 'V0', 'V0', 0.21817426236320814, 3.014397621154785]
['CV', 117, 'UV', 23, 'pinky', 'strip', 'V3', 'V3', 0.13543365455893253, 1.2262229919433594]
['UV', 61, 'CV', 288, 'addr2line', 'expr', 'V1', 'V1', 0.13065662902551234, 0.9755673408508301]
['CV', 313, 'UV', 25, 'logname', 'as', 'V1', 'V3', 0.13550800888577108, 1.5954608917236328]
['CV', 207, 'BV', 2, 'sync', 'cmp', 'V0', 'V1', 0.11253430924062213, 0.0206449031829834]
['BV', 36, 'CV', 222, 'libvlc.so', 'df', 'V2', 'V0', 0.17851178326220074, 0.3587503433227539]
['CV', 269, 'UV', 67, 'du', 'cmp', 'V1', 'V0', 0.07088744588744589, 0.05254507064819336]
['CV', 228, 'UV', 62, 'false', 'ar', 'V0', 'V1', 0.1506767174918623, 0.9320740699768066]
['CV', 22, 'UV', 20, 'kill', 'size', 'V2', 'V2', 0.14749262536873153, 0.9287378787994385]
['CV', 334, 'BV', 32, 'shred', 'perl', 'V1', 'V0', 0.10488350883011355, 2.1204280853271484]
['UV', 74, 'CV', 8, 'strip', 'du', 'V0', 'V2', 0.11310881524218441, 1.4016544818878174]
['BV', 57, 'CV', 43, 'svn', 'chmod', 'V2', 'V2', 0.1937414500683995, 0.4049232006072998]
['UV', 18, 'CV', 193, 'ar', 'pr', 'V2', 'V0', 0.1400930078060123, 1.0329630374908447]
['CV', 134, 'BV', 47, 'od', 'dot', 'V3', 'V3', 0.15613099771515615, 0.023945093154907227]
['CV', 231, 'BV', 33, 'who', 'openssl', 'V0', 'V0', 0.10272024075423791, 5.820739507675171]
['BV', 62, 'UV', 83, 'diff', 'addr2line', 'V0', 'V0', 0.12516434393899556, 1.0334324836730957]
['CV', 157, 'BV', 67, 'vdir', 'cluster', 'V3', 'V0', 0.03743432574430827, 0.22722697257995605]
['CV', 345, 'BV', 51, 'rmdir', 'cp', 'V1', 'V0', 0.11820013431833443, 0.033371925354003906]
['UV', 18, 'CV', 150, 'ar', 'mv', 'V2', 'V3', 0.10710872601631993, 1.4201686382293701]
['UV', 0, 'BV', 75, 'locate', 'cmp', 'V2', 'V2', 0.0807839388145315, 0.06378960609436035]
['CV', 87, 'UV', 19, 'touch', 'elfedit', 'V3', 'V2', 0.07352128247650636, 0.043903350830078125]
['UV', 43, 'CV', 28, 'sdiff', 'chown', 'V3', 'V2', 0.03864970645792565, 0.05486631393432617]
['CV', 328, 'BV', 42, 'uname', 'libvlc.so', 'V1', 'V1', 0.18915879442195238, 0.22244548797607422]
['UV', 40, 'CV', 224, 'diff3', 'cksum', 'V3', 'V0', 0.11727078891257992, 0.027696609497070312]
['CV', 202, 'UV', 55, 'chown', 'ranlib', 'V0', 'V1', 0.13700436897205504, 1.0504124164581299]
['BV', 46, 'CV', 32, 'cluster', 'paste', 'V3', 'V2', 0.14329738058551622, 0.1079721450805664]
