['CV', 226, 'BV', 11, 'logname', 'bash', 'V0', 'V1', 0.13238077214231647, 2.063826560974121]
['CV', 189, 'UV', 23, 'uptime', 'strip', 'V0', 'V3', 0.14282460136674258, 1.0947141647338867]
['BV', 64, 'CV', 63, 'openssl', 'mv', 'V2', 'V2', 0.2609324758842444, 5.051712989807129]
['CV', 155, 'BV', 42, 'cat', 'libvlc.so', 'V3', 'V1', 0.16799496644295298, 0.25078463554382324]
['CV', 166, 'BV', 9, 'fold', 'dot', 'V3', 'V2', 0.15333333333333332, 0.014745712280273438]
['CV', 176, 'UV', 29, 'unlink', 'objcopy', 'V0', 'V3', 0.1462104940165695, 1.0663831233978271]
['CV', 29, 'UV', 37, 'tail', 'locate', 'V2', 'V3', 0.10177133655394521, 0.12055158615112305]
['CV', 250, 'UV', 4, 'comm', 'cmp', 'V0', 'V2', 0.089035449299258, 0.024550676345825195]
['BV', 46, 'CV', 2, 'cluster', 'unlink', 'V3', 'V2', 0.1467205470935654, 0.09947443008422852]
['UV', 14, 'CV', 82, 'objcopy', 'sort', 'V2', 'V2', 0.11790272507761301, 1.3746216297149658]
['CV', 219, 'BV', 81, 'cp', 'dot', 'V0', 'V1', 0.18454613653413354, 0.02671051025390625]
['UV', 81, 'CV', 260, 'ld', 'ln', 'V0', 'V0', 0.134344809699799, 1.328493595123291]
['BV', 77, 'CV', 166, 'perl', 'fold', 'V2', 'V3', 0.09044705577676349, 2.18330454826355]
['BV', 4, 'CV', 23, 'geany', 'wc', 'V3', 'V2', 0.18113941414457124, 23.791245222091675]
['CV', 95, 'BV', 52, 'du', 'libSDL2-2.0.so', 'V3', 'V2', 0.1713354732029958, 4.6656787395477295]
['CV', 211, 'BV', 10, 'seq', 'gvmap', 'V0', 'V2', 0.14654654654654653, 0.10780453681945801]
['UV', 51, 'CV', 117, 'nm', 'pinky', 'V1', 'V3', 0.13808139534883723, 0.9586663246154785]
['UV', 72, 'CV', 108, 'find', 'chgrp', 'V0', 'V3', 0.09314997405293202, 0.1571791172027588]
['CV', 293, 'UV', 0, 'paste', 'locate', 'V1', 'V2', 0.14516129032258063, 0.0430910587310791]
['UV', 46, 'CV', 266, 'diff', 'mkdir', 'V1', 'V1', 0.11304889442541266, 0.09181094169616699]
['UV', 70, 'CV', 119, 'locate', 'paste', 'V0', 'V3', 0.10071301247771836, 0.05764198303222656]
['BV', 74, 'CV', 342, 'git', 'sleep', 'V1', 'V1', 0.09467233323158564, 4.378681898117065]
['CV', 252, 'UV', 66, 'rm', 'diff3', 'V0', 'V0', 0.05069124423963134, 0.04073762893676758]
['CV', 261, 'BV', 74, 'touch', 'git', 'V1', 'V1', 0.09310207802529158, 4.624464988708496]
['BV', 61, 'CV', 131, 'cmp', 'true', 'V0', 'V3', 0.06541019955654104, 0.015199422836303711]
['UV', 75, 'CV', 321, 'readelf', 'hostid', 'V0', 'V1', 0.11593750000000003, 0.0687711238861084]
['CV', 296, 'UV', 60, 'sum', 'gprof', 'V1', 'V1', 0.14120274629828766, 0.9693284034729004]
['CV', 292, 'UV', 63, 'sha1sum', 'elfedit', 'V1', 'V1', 0.06747404844290661, 0.024095535278320312]
['CV', 160, 'BV', 33, 'shred', 'openssl', 'V3', 'V0', 0.09884758967700047, 5.888567686080933]
['BV', 17, 'CV', 103, 'codeblocks', 'dd', 'V2', 'V3', 0.18050062447960036, 10.348514556884766]
['CV', 7, 'UV', 3, 'dir', 'diff3', 'V2', 'V2', 0.07866462010744435, 0.0859062671661377]
['UV', 59, 'CV', 57, 'ld', 'who', 'V1', 'V2', 0.13052695336159903, 1.5123167037963867]
['UV', 54, 'CV', 83, 'as', 'tac', 'V1', 'V2', 0.11875798478031441, 1.6893107891082764]
['CV', 192, 'BV', 60, 'pwd', 'codeblocks', 'V0', 'V1', 0.1869390615314126, 9.632229089736938]
['BV', 46, 'CV', 204, 'cluster', 'pinky', 'V3', 'V0', 0.13644633110976345, 0.11401152610778809]
['BV', 53, 'UV', 87, 'ssh', 'objdump', 'V2', 'V0', 0.036603088101725745, 9.4252188205719]
['CV', 59, 'UV', 31, 'head', 'gprof', 'V2', 'V3', 0.1424861785893785, 0.9635634422302246]
['CV', 250, 'BV', 49, 'comm', 'make', 'V0', 'V3', 0.1413753361505955, 0.19876551628112793]
['UV', 63, 'CV', 328, 'elfedit', 'uname', 'V1', 'V1', 0.0957446808510638, 0.018596410751342773]
['CV', 277, 'UV', 59, 'dd', 'ld', 'V1', 'V1', 0.12903615184984008, 1.5806946754455566]
['CV', 188, 'UV', 26, 'dirname', 'ranlib', 'V0', 'V3', 0.15315472554324105, 0.91385817527771]
['BV', 57, 'CV', 247, 'svn', 'shred', 'V2', 'V0', 0.20454545454545459, 0.3840923309326172]
['UV', 19, 'CV', 73, 'elfedit', 'shred', 'V2', 'V2', 0.07955251709136113, 0.0399165153503418]
['UV', 45, 'CV', 138, 'cmp', 'printf', 'V1', 'V3', 0.03279742765273308, 0.03343343734741211]
['BV', 46, 'UV', 50, 'cluster', 'find', 'V3', 'V1', 0.04324758842443732, 0.3573610782623291]
['BV', 35, 'UV', 65, 'libvlccore.so', 'objdump', 'V2', 'V1', 0.0394137452960982, 9.25798225402832]
['CV', 35, 'BV', 58, 'sum', 'ruby', 'V2', 'V3', 0.23152022315202236, 0.009036064147949219]
['BV', 9, 'CV', 20, 'dot', 'tee', 'V2', 'V2', 0.14398943196829594, 0.012202978134155273]
['CV', 106, 'UV', 49, 'pr', 'xargs', 'V3', 'V1', 0.05489383738995335, 0.04334092140197754]
['CV', 9, 'BV', 72, 'users', 'perl', 'V2', 'V1', 0.09225595951524834, 2.0996835231781006]
['BV', 69, 'CV', 78, 'gvmap', 'rm', 'V0', 'V2', 0.09645232815964522, 0.12838506698608398]
['UV', 1, 'CV', 191, 'xargs', 'mkfifo', 'V2', 'V0', 0.1309595654797827, 0.035962820053100586]
['BV', 77, 'CV', 297, 'perl', 'chroot', 'V2', 'V1', 0.09263254232856122, 2.0574519634246826]
['BV', 19, 'CV', 132, 'cp', 'cp', 'V3', 'V3', 0.0, 0.17487287521362305]
['UV', 51, 'CV', 263, 'nm', 'unlink', 'V1', 'V1', 0.15035990402559318, 0.8342781066894531]
['CV', 99, 'BV', 13, 'stty', 'cp', 'V3', 'V2', 0.08138195777351243, 0.07549571990966797]
['CV', 263, 'UV', 73, 'unlink', 'nm', 'V1', 'V0', 0.15114219114219107, 0.7797055244445801]
['BV', 43, 'CV', 193, 'lua', 'pr', 'V0', 'V0', 0.12541620421753608, 0.2944760322570801]
['BV', 52, 'CV', 189, 'libSDL2-2.0.so', 'uptime', 'V2', 'V0', 0.19459206001875584, 3.7906947135925293]
['CV', 1, 'BV', 21, 'stat', 'cp', 'V2', 'V1', 0.08545034642032334, 0.04152989387512207]
['CV', 14, 'UV', 42, 'dirname', 'diff', 'V2', 'V3', 0.14035727305869483, 0.07401418685913086]
['UV', 31, 'CV', 331, 'gprof', 'vdir', 'V3', 'V1', 0.1231987331749802, 1.1659414768218994]
['BV', 18, 'CV', 314, 'sort', 'tty', 'V3', 'V1', 0.15483353389490573, 0.06625676155090332]
['CV', 61, 'UV', 27, 'ginstall', 'c++filt', 'V2', 'V3', 0.11887234398527691, 1.1478495597839355]
['CV', 227, 'UV', 75, 'tty', 'readelf', 'V0', 'V0', 0.11598746081504707, 0.06919050216674805]
['UV', 72, 'BV', 72, 'find', 'perl', 'V0', 'V1', 0.07413170670982194, 2.9119162559509277]
['UV', 49, 'BV', 69, 'xargs', 'gvmap', 'V1', 'V0', 0.11379207625856425, 0.11065006256103516]
['BV', 11, 'CV', 276, 'bash', 'uptime', 'V1', 'V1', 0.13008932769158443, 2.077085018157959]
['CV', 223, 'BV', 47, 'tsort', 'dot', 'V0', 'V3', 0.1321044546850998, 0.012967824935913086]
['UV', 74, 'BV', 22, 'strip', 'cmp', 'V0', 'V3', 0.12952924393723253, 1.1135761737823486]
['CV', 271, 'UV', 71, 'ptx', 'xargs', 'V1', 'V0', 0.05925537493445199, 0.04044795036315918]
['BV', 6, 'CV', 87, 'libvlc.so', 'touch', 'V0', 'V3', 0.15009420138162022, 0.27280712127685547]
['CV', 49, 'BV', 66, 'tsort', 'lua', 'V2', 'V1', 0.1336580910336429, 0.35652971267700195]
['CV', 6, 'UV', 10, 'fmt', 'as', 'V2', 'V2', 0.13194043633845087, 1.5839192867279053]
['CV', 339, 'BV', 49, 'rm', 'make', 'V1', 'V3', 0.12290200324851108, 0.23929452896118164]
['CV', 293, 'UV', 35, 'paste', 'size', 'V1', 'V3', 0.15284164061063088, 0.8495643138885498]
['UV', 24, 'CV', 75, 'readelf', 'tr', 'V3', 'V2', 0.11142322097378277, 0.22986435890197754]
['CV', 199, 'BV', 54, 'expand', 'lua', 'V0', 'V3', 0.13815789473684215, 0.3379485607147217]
['BV', 8, 'CV', 193, 'cluster', 'pr', 'V2', 'V0', 0.11754684838160134, 0.12434577941894531]
['UV', 44, 'CV', 41, 'diff3', 'nice', 'V1', 'V2', 0.08776595744680848, 0.029935598373413086]
['CV', 286, 'UV', 21, 'expand', 'objdump', 'V1', 'V2', 0.14180049310321852, 1.3508243560791016]
['BV', 55, 'CV', 225, 'codeblocks', 'printf', 'V3', 'V0', 0.18893732543266595, 10.225547313690186]
['CV', 197, 'UV', 77, 'wc', 'ranlib', 'V0', 'V0', 0.14715274081958485, 0.8552138805389404]
['CV', 193, 'BV', 38, 'pr', 'ruby', 'V0', 'V2', 0.23853211009174313, 0.012085914611816406]
['CV', 210, 'BV', 44, 'chroot', 'make', 'V0', 'V0', 0.14046216583597637, 0.1425924301147461]
['CV', 247, 'BV', 43, 'shred', 'lua', 'V0', 'V0', 0.1282462327669125, 0.3006439208984375]
['CV', 25, 'UV', 47, 'expand', 'sdiff', 'V2', 'V1', 0.09862834748530369, 0.03118753433227539]
['CV', 199, 'UV', 67, 'expand', 'cmp', 'V0', 'V0', 0.09663503019844688, 0.021793127059936523]
['BV', 70, 'CV', 180, 'ssh', 'fmt', 'V0', 'V0', 0.11821396380780702, 3.2125070095062256]
['BV', 1, 'UV', 59, 'libSDL2-2.0.so', 'ld', 'V3', 'V1', 0.05829415715245134, 12.466584205627441]
['UV', 26, 'CV', 145, 'ranlib', 'readlink', 'V3', 'V3', 0.1408640107581106, 0.986659049987793]
['CV', 84, 'UV', 50, 'rmdir', 'find', 'V2', 'V1', 0.14068627450980387, 0.1525430679321289]
['CV', 283, 'BV', 77, 'kill', 'perl', 'V1', 'V2', 0.09224646899566169, 2.1719918251037598]
