['BO', 43, 'CO', 215, 'diff', 'fmt', 'O1', 'O2', 0.13542757417102969, 0.11752557754516602]
['CO', 105, 'UO', 76, 'touch', 'addr2line', 'O1', 'O0', 0.14349982696966201, 2.618058919906616]
['UO', 65, 'CO', 161, 'sdiff', 'od', 'O3', 'O1', 0.03566121842496284, 0.06240677833557129]
['BO', 51, 'CO', 79, 'lua', 'link', 'O1', 'O3', 0.13395006969965784, 0.4212362766265869]
['BO', 18, 'CO', 203, 'libvlc.so.12.0.0', 'sort', 'O1', 'O1', 0.13830436108569688, 0.7096915245056152]
['CO', 64, 'UO', 77, 'tty', 'ar', 'O3', 'O0', 0.15420852488790504, 2.3411834239959717]
['CO', 324, 'UO', 19, 'ptx', 'cmp', 'O0', 'O1', 0.08321513002364067, 0.07421445846557617]
['CO', 207, 'BO', 49, 'ln', 'svn', 'O1', 'O0', 0.17292028308185337, 0.7282130718231201]
['UO', 75, 'BO', 15, 'gprof', 'diff', 'O0', 'O0', 0.11429292929292934, 3.2375848293304443]
['UO', 45, 'CO', 337, 'strip', 'chgrp', 'O3', 'O0', 0.10896651062297447, 1.3335611820220947]
['CO', 173, 'BO', 51, 'who', 'lua', 'O1', 'O1', 0.12211384121496482, 0.48372793197631836]
['CO', 26, 'UO', 28, 'kill', 'readelf', 'O3', 'O2', 0.11025961839224274, 0.24834489822387695]
['CO', 266, 'BO', 44, 'df', 'cmp', 'O2', 'O2', 0.08278145695364236, 0.06753778457641602]
['UO', 43, 'BO', 19, 'find', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.11094059068276385, 7.891935586929321]
['CO', 65, 'BO', 60, 'false', 'openssl', 'O3', 'O0', 0.27288029437093875, 9.18224811553955]
['UO', 42, 'BO', 65, 'xargs', 'gvmap', 'O2', 'O0', 0.08717195815746004, 0.3237416744232178]
['BO', 59, 'CO', 216, 'libgeany.so.0.0.0', 'dir', 'O3', 'O2', 0.16129230391253602, 28.59540629386902]
['CO', 364, 'UO', 87, 'sha256sum', 'find', 'O0', 'O0', 0.1526411185914034, 0.7506799697875977]
['UO', 50, 'CO', 382, 'strings', 'b2sum', 'O3', 'O0', 0.12263477329525174, 0.9849450588226318]
['CO', 180, 'UO', 52, 'md5sum', 'ld', 'O1', 'O3', 0.1309082206533445, 1.7377183437347412]
['CO', 148, 'BO', 52, 'seq', 'svn', 'O1', 'O3', 0.20409438974839822, 0.49767422676086426]
['BO', 25, 'UO', 54, 'dot', 'addr2line', 'O3', 'O3', 0.15239923224568142, 0.7491950988769531]
['BO', 3, 'CO', 361, 'openssl', 'nice', 'O1', 'O0', 0.27778255264288787, 8.000019550323486]
['CO', 234, 'BO', 20, 'kill', 'sort', 'O2', 'O1', 0.14612403100775195, 0.11102747917175293]
['CO', 13, 'UO', 25, 'printenv', 'sdiff', 'O3', 'O2', 0.099609375, 0.0386662483215332]
['CO', 49, 'UO', 61, 'nice', 'find', 'O3', 'O3', 0.15352622061482823, 0.317305326461792]
['BO', 25, 'CO', 300, 'dot', 'sha512sum', 'O3', 'O2', 0.18518518518518512, 0.018584489822387695]
['BO', 62, 'CO', 155, 'bash', 'realpath', 'O1', 'O1', 0.12338904132368833, 2.8887901306152344]
['UO', 67, 'BO', 72, 'strip', 'make', 'O0', 'O2', 0.09683310505125975, 4.2218544483184814]
['CO', 117, 'BO', 15, 'printenv', 'diff', 'O1', 'O0', 0.16407706650093223, 0.15785598754882812]
['CO', 73, 'UO', 55, 'hostid', 'ar', 'O3', 'O3', 0.13922719705598885, 0.8984889984130859]
['BO', 78, 'CO', 48, 'ssh', 'ls', 'O0', 'O3', 0.1194500682706342, 2.72171950340271]
['BO', 39, 'CO', 148, 'codeblocks', 'seq', 'O3', 'O1', 0.18425164579010733, 11.248179912567139]
['CO', 277, 'BO', 31, 'who', 'bash', 'O2', 'O2', 0.12250245660006553, 2.8747029304504395]
['CO', 64, 'BO', 56, 'tty', 'libvlc.so.12.0.0', 'O3', 'O3', 0.21543469934890846, 0.40120434761047363]
['UO', 3, 'BO', 29, 'nm', 'libvlc.so.12.0.0', 'O1', 'O2', 0.06568028304921192, 2.5888917446136475]
['UO', 77, 'CO', 100, 'ar', 'tac', 'O0', 'O3', 0.149686169020399, 2.395677328109741]
['BO', 63, 'CO', 147, 'cluster', 'chroot', 'O0', 'O1', 0.12160762378288792, 0.22727298736572266]
['CO', 165, 'BO', 63, 'cksum', 'cluster', 'O1', 'O0', 0.1307511234752835, 0.20422959327697754]
['CO', 126, 'BO', 65, 'pwd', 'gvmap', 'O1', 'O0', 0.12595974268520438, 0.21866607666015625]
['BO', 7, 'CO', 85, 'sort', '[', 'O0', 'O3', 0.1509324009324009, 0.1594223976135254]
['BO', 29, 'CO', 384, 'libvlc.so.12.0.0', 'head', 'O2', 'O0', 0.19142645971914263, 0.48166918754577637]
['UO', 46, 'CO', 331, 'readelf', 'dd', 'O3', 'O0', 0.07074043490228465, 0.3565244674682617]
['CO', 96, 'UO', 43, 'fold', 'find', 'O3', 'O2', 0.16249130132219902, 0.37522315979003906]
['CO', 11, 'BO', 47, 'groups', 'libvlc.so.12.0.0', 'O3', 'O0', 0.23083432052800812, 0.598968505859375]
['CO', 128, 'UO', 26, 'tee', 'nm', 'O1', 'O2', 0.14250419129974412, 1.035616159439087]
['BO', 66, 'CO', 401, 'svn', 'pathchk', 'O2', 'O0', 0.21239220696263172, 0.51889967918396]
['CO', 260, 'BO', 13, 'sha256sum', 'ruby', 'O2', 'O1', 0.1043100160195286, 13.877055168151855]
['CO', 178, 'BO', 17, 'unexpand', 'codeblocks', 'O1', 'O2', 0.18696736645188117, 11.430294752120972]
['BO', 29, 'CO', 257, 'libvlc.so.12.0.0', 'nice', 'O2', 'O2', 0.2289010321797207, 0.4117770195007324]
['CO', 50, 'UO', 86, 'dircolors', 'xargs', 'O3', 'O0', 0.12962962962962965, 0.09930157661437988]
['CO', 390, 'UO', 73, 'chcon', 'objcopy', 'O0', 'O0', 0.1281684089932693, 3.482395887374878]
['BO', 51, 'CO', 366, 'lua', 'true', 'O1', 'O0', 0.12783766645529493, 0.4710092544555664]
['CO', 352, 'UO', 8, 'sync', 'c++filt', 'O0', 'O1', 0.1465124430424115, 1.1123631000518799]
['UO', 74, 'CO', 41, 'ld', 'echo', 'O0', 'O3', 0.1515987460815047, 4.051635503768921]
['UO', 61, 'CO', 344, 'find', 'expr', 'O3', 'O0', 0.1247062772742531, 0.39823126792907715]
['BO', 32, 'CO', 72, 'ruby', 'head', 'O2', 'O3', 0.125091267213421, 15.61236047744751]
['CO', 123, 'BO', 29, 'dd', 'libvlc.so.12.0.0', 'O1', 'O2', 0.1806291975963238, 0.5400793552398682]
['CO', 246, 'UO', 50, 'sha1sum', 'strings', 'O2', 'O3', 0.13718747095454964, 0.8496532440185547]
['CO', 110, 'UO', 29, 'mkdir', 'as', 'O1', 'O2', 0.12554727924034803, 1.866797924041748]
['UO', 45, 'CO', 66, 'strip', 'runcon', 'O3', 'O3', 0.13294442738716605, 0.9943263530731201]
['CO', 133, 'UO', 75, 'nproc', 'gprof', 'O1', 'O0', 0.14912330157298304, 2.4523422718048096]
['CO', 337, 'UO', 15, 'chgrp', 'elfedit', 'O0', 'O1', 0.10533578656853726, 0.08221745491027832]
['UO', 59, 'BO', 65, 'locate', 'gvmap', 'O3', 'O0', 0.05919052951527759, 0.39353442192077637]
['BO', 16, 'CO', 326, 'make', 'stty', 'O0', 'O0', 0.10507364975450084, 0.3072073459625244]
['CO', 79, 'BO', 36, 'link', 'cluster', 'O3', 'O2', 0.14014687882496935, 0.11246514320373535]
['BO', 34, 'CO', 248, 'cp', 'sync', 'O2', 'O2', 0.13582273286828062, 0.08513498306274414]
['CO', 132, 'UO', 49, 'factor', 'c++filt', 'O1', 'O3', 0.1268305912131622, 0.8918743133544922]
['UO', 43, 'BO', 32, 'find', 'ruby', 'O2', 'O2', 0.10375401763802472, 21.286853551864624]
['CO', 347, 'BO', 52, 'base32', 'svn', 'O0', 'O3', 0.1943076923076923, 0.5411763191223145]
['UO', 56, 'CO', 343, 'elfedit', 'date', 'O3', 'O0', 0.1051332675222112, 0.07044744491577148]
['BO', 14, 'CO', 76, 'cmp', 'md5sum', 'O0', 'O3', 0.07451923076923073, 0.04775881767272949]
['UO', 11, 'CO', 1, 'ld', 'touch', 'O1', 'O3', 0.13775134522798071, 2.170806646347046]
['UO', 80, 'CO', 305, 'objdump', 'uniq', 'O0', 'O2', 0.14104946814820674, 4.10816764831543]
['CO', 112, 'BO', 50, 'dir', 'perl', 'O1', 'O2', 0.07491274122364211, 3.2973570823669434]
['CO', 308, 'BO', 73, 'tac', 'cluster', 'O2', 'O1', 0.1309348274845179, 0.1342611312866211]
['BO', 50, 'CO', 297, 'perl', 'pathchk', 'O2', 'O2', 0.0878778718258767, 2.415203094482422]
['CO', 15, 'UO', 13, 'join', 'addr2line', 'O3', 'O1', 0.1426647588586819, 1.1422178745269775]
