['CV', 341, 'BV', 83, 'uniq', 'git', 'V1', 'V2', 0.09356967011324469, 6.307087421417236]
['CV', 20, 'UV', 53, 'tee', 'readelf', 'V2', 'V1', 0.10135900339750847, 0.08340287208557129]
['CV', 320, 'BV', 24, 'head', 'git', 'V1', 'V0', 0.09513328442161895, 3.4118170738220215]
['CV', 197, 'BV', 41, 'wc', 'libvlccore.so', 'V0', 'V1', 0.16559442071687303, 2.5236990451812744]
['CV', 47, 'BV', 34, 'od', 'svn', 'V2', 'V0', 0.19256818597840009, 0.34763622283935547]
['CV', 119, 'UV', 78, 'paste', 'c++filt', 'V3', 'V0', 0.14263030076592564, 0.7852990627288818]
['UV', 78, 'CV', 222, 'c++filt', 'df', 'V0', 'V0', 0.13883206248837643, 0.8068945407867432]
['UV', 25, 'CV', 245, 'as', '[', 'V3', 'V0', 0.13338750870675642, 1.5433638095855713]
['UV', 20, 'CV', 41, 'size', 'nice', 'V2', 'V2', 0.14884846312393585, 0.8650491237640381]
['CV', 189, 'BV', 63, 'uptime', 'ruby', 'V0', 'V0', 0.11685240118656304, 9.055778741836548]
['UV', 66, 'CV', 73, 'diff3', 'shred', 'V0', 'V2', 0.036163522012578664, 0.04987597465515137]
['CV', 155, 'UV', 76, 'cat', 'as', 'V3', 'V0', 0.12916992246198233, 1.497427225112915]
['UV', 77, 'CV', 290, 'ranlib', 'tail', 'V0', 'V1', 0.13821348508363507, 0.894773006439209]
['CV', 84, 'UV', 11, 'rmdir', 'ranlib', 'V2', 'V2', 0.14548213081591366, 0.9615523815155029]
['UV', 35, 'CV', 152, 'size', 'env', 'V3', 'V3', 0.14583707966193127, 0.8653812408447266]
['CV', 324, 'UV', 68, 'mv', 'diff', 'V1', 'V0', 0.05218750000000005, 0.11396002769470215]
['UV', 20, 'BV', 82, 'size', 'gvmap', 'V2', 'V1', 0.09483775811209438, 1.3678033351898193]
['CV', 90, 'UV', 68, 'test', 'diff', 'V3', 'V0', 0.10177157934413872, 0.07279849052429199]
['BV', 74, 'CV', 116, 'git', 'tail', 'V1', 'V3', 0.0903158865575282, 4.633141040802002]
['CV', 317, 'BV', 6, 'yes', 'libvlc.so', 'V1', 'V0', 0.20430107526881724, 0.21218442916870117]
['CV', 272, 'UV', 12, 'printenv', 'c++filt', 'V1', 'V2', 0.1536258660508083, 0.8352622985839844]
['BV', 33, 'CV', 150, 'openssl', 'mv', 'V0', 'V3', 0.09272883191911896, 6.4446234703063965]
['UV', 23, 'CV', 150, 'strip', 'mv', 'V3', 'V3', 0.10606867181261648, 1.5276176929473877]
['BV', 18, 'CV', 258, 'sort', 'rmdir', 'V3', 'V0', 0.15567176186645215, 0.06510353088378906]
['CV', 228, 'BV', 80, 'false', 'cluster', 'V0', 'V1', 0.15899444988573297, 0.09389090538024902]
['UV', 84, 'CV', 63, 'ar', 'mv', 'V0', 'V2', 0.11745369999198263, 1.1179966926574707]
['CV', 63, 'BV', 53, 'mv', 'ssh', 'V2', 'V2', 0.10951017913999939, 4.277166366577148]
['BV', 72, 'CV', 229, 'perl', 'nohup', 'V1', 'V0', 0.09278695099939838, 2.0513646602630615]
['CV', 293, 'BV', 2, 'paste', 'cmp', 'V1', 'V1', 0.09627059843885521, 0.022196531295776367]
['BV', 46, 'CV', 275, 'cluster', 'dirname', 'V3', 'V1', 0.15281329923273657, 0.09692239761352539]
['CV', 317, 'UV', 42, 'yes', 'diff', 'V1', 'V3', 0.154434250764526, 0.06956171989440918]
['CV', 297, 'BV', 73, 'chroot', 'geany', 'V1', 'V0', 0.18670157540739407, 14.38728928565979]
['CV', 94, 'BV', 50, 'dir', 'sort', 'V3', 'V0', 0.09171306911234856, 0.10366368293762207]
['CV', 197, 'UV', 52, 'wc', 'strip', 'V0', 'V1', 0.1369632332304238, 1.1591062545776367]
['BV', 41, 'UV', 53, 'libvlccore.so', 'readelf', 'V1', 'V1', 0.1300527240773286, 3.205477237701416]
['BV', 51, 'CV', 152, 'cp', 'env', 'V0', 'V3', 0.07963594994311718, 0.04009103775024414]
['BV', 13, 'CV', 280, 'cp', 'pr', 'V2', 'V1', 0.09145607701564384, 0.0724647045135498]
['BV', 15, 'CV', 157, 'libvlccore.so', 'vdir', 'V3', 'V3', 0.14162325809180354, 3.987656831741333]
['CV', 18, 'UV', 30, 'pwd', 'ld', 'V2', 'V3', 0.14284000959462695, 1.7430438995361328]
['UV', 81, 'CV', 25, 'ld', 'expand', 'V0', 'V2', 0.136260162601626, 1.3012406826019287]
['BV', 25, 'UV', 82, 'git', 'gprof', 'V3', 'V0', 0.05448867655105227, 15.411374807357788]
['CV', 314, 'UV', 64, 'tty', 'size', 'V1', 'V1', 0.149873828406633, 0.8304052352905273]
