['CV', 185, 'BV', 12, 'printenv', 'sort', 'V0', 'V2', 0.1438886023723569, 0.045332908630371094]
['CV', 114, 'BV', 74, 'expr', 'git', 'V3', 'V1', 0.09223582998303548, 4.789890289306641]
['UV', 59, 'CV', 123, 'ld', 'chroot', 'V1', 'V3', 0.13029552184686044, 1.590989351272583]
['BV', 68, 'CV', 277, 'dot', 'dd', 'V0', 'V1', 0.1845703125, 0.02037644386291504]
['CV', 212, 'BV', 14, 'split', 'openssl', 'V0', 'V3', 0.2898104141640988, 5.7008445262908936]
['BV', 16, 'UV', 8, 'libvlc.so', 'strip', 'V3', 'V2', 0.06759217114246696, 2.5387771129608154]
['CV', 313, 'UV', 19, 'logname', 'elfedit', 'V1', 'V2', 0.09537572254335258, 0.0195314884185791]
['BV', 42, 'CV', 99, 'libvlc.so', 'stty', 'V1', 'V3', 0.1562751407884151, 0.2733926773071289]
['BV', 32, 'UV', 63, 'perl', 'elfedit', 'V0', 'V1', 0.1076107819410832, 1.9856727123260498]
['BV', 58, 'CV', 311, 'ruby', 'cksum', 'V3', 'V1', 0.22080679405520165, 0.005450010299682617]
['UV', 44, 'CV', 228, 'diff3', 'false', 'V1', 'V0', 0.1258581235697941, 0.02557086944580078]
['CV', 206, 'UV', 23, 'paste', 'strip', 'V0', 'V3', 0.14520568894326347, 1.1162633895874023]
['CV', 21, 'UV', 51, 'chgrp', 'nm', 'V2', 'V1', 0.13284008743904496, 1.0211694240570068]
['UV', 61, 'CV', 168, 'addr2line', 'sleep', 'V1', 'V3', 0.14341256516744716, 0.9168365001678467]
['BV', 36, 'UV', 27, 'libvlc.so', 'c++filt', 'V2', 'V3', 0.061318549195110594, 2.1186165809631348]
['CV', 111, 'BV', 75, 'factor', 'cmp', 'V3', 'V2', 0.02421171171171166, 0.04181361198425293]
['BV', 67, 'UV', 76, 'cluster', 'as', 'V0', 'V0', 0.10181106216348512, 2.1459176540374756]
['CV', 146, 'BV', 49, 'head', 'make', 'V3', 'V3', 0.12360561353004673, 0.23607373237609863]
['UV', 52, 'BV', 43, 'strip', 'lua', 'V1', 'V0', 0.06340832686837339, 2.4952392578125]
['UV', 22, 'CV', 276, 'nm', 'uptime', 'V3', 'V1', 0.1502516175413372, 0.9233415126800537]
['UV', 69, 'CV', 112, 'sdiff', 'expand', 'V0', 'V3', 0.06864456079115766, 0.04071307182312012]
['UV', 58, 'CV', 160, 'objcopy', 'shred', 'V1', 'V3', 0.12169206094627105, 1.3720715045928955]
['UV', 69, 'BV', 26, 'sdiff', 'geany', 'V0', 'V2', 0.18025192103745324, 22.090895414352417]
['UV', 73, 'CV', 6, 'nm', 'fmt', 'V0', 'V2', 0.14541960281870592, 0.8652880191802979]
['BV', 47, 'UV', 63, 'dot', 'elfedit', 'V3', 'V1', 0.15307262569832403, 0.016580581665039062]
['BV', 2, 'CV', 148, 'cmp', 'ginstall', 'V1', 'V3', 0.1189773844641101, 0.11084556579589844]
['CV', 219, 'UV', 80, 'cp', 'objcopy', 'V0', 'V0', 0.12237373034645893, 1.2996909618377686]
['CV', 145, 'UV', 67, 'readlink', 'cmp', 'V3', 'V0', 0.02840542285345382, 0.03550243377685547]
['CV', 33, 'UV', 69, 'sync', 'sdiff', 'V2', 'V0', 0.109375, 0.030208587646484375]
['CV', 264, 'UV', 30, 'test', 'ld', 'V1', 'V3', 0.14542819181060518, 1.8168678283691406]
