['BO', 55, 'CO', 48, 'make', 'ls', 'O1', 'O3', 0.06610828597068497, 0.39855360984802246]
['BO', 69, 'CO', 258, 'cmp', 'dircolors', 'O3', 'O2', 0.0430342815463165, 0.03480958938598633]
['CO', 381, 'BO', 75, 'who', 'gvmap', 'O0', 'O1', 0.09665716506867061, 0.16680502891540527]
['UO', 34, 'CO', 287, 'ld', 'link', 'O2', 'O2', 0.1448513415518492, 1.7740771770477295]
['CO', 402, 'BO', 51, 'tr', 'lua', 'O0', 'O1', 0.11409962610059099, 0.5162124633789062]
['BO', 34, 'CO', 392, 'cp', 'uname', 'O2', 'O0', 0.11456310679611648, 0.1003713607788086]
['BO', 21, 'CO', 264, 'cp', 'cut', 'O1', 'O2', 0.12650602409638556, 0.10421466827392578]
['CO', 387, 'UO', 29, 'mv', 'as', 'O0', 'O2', 0.08994841488455951, 2.7887089252471924]
['CO', 202, 'BO', 16, 'sleep', 'make', 'O1', 'O0', 0.12886868333624757, 0.2625102996826172]
['BO', 74, 'CO', 294, 'dot', 'timeout', 'O1', 'O2', 0.20425531914893613, 0.021134614944458008]
['BO', 38, 'CO', 415, 'acyclic', 'ln', 'O2', 'O0', 0.2182795698924731, 0.06462359428405762]
['CO', 412, 'BO', 28, 'tac', 'ruby', 'O0', 'O0', 0.10319967353354598, 14.033021450042725]
['CO', 290, 'UO', 57, 'shuf', 'size', 'O2', 'O3', 0.12670373027259685, 0.9311084747314453]
['BO', 60, 'CO', 131, 'openssl', 'wc', 'O0', 'O1', 0.2667673482032218, 9.261628866195679]
['UO', 78, 'CO', 65, 'elfedit', 'false', 'O0', 'O3', 0.08810572687224671, 0.031805992126464844]
['CO', 55, 'UO', 22, 'cp', 'diff3', 'O3', 'O2', 0.08823529411764708, 0.10800909996032715]
['BO', 52, 'CO', 310, 'svn', 'mknod', 'O3', 'O2', 0.21668280090351733, 0.45717692375183105]
['CO', 130, 'UO', 2, 'kill', 'find', 'O1', 'O1', 0.1591176965819161, 0.4054145812988281]
['BO', 67, 'UO', 82, 'libSDL2-2.0.so.0.16.0', 'cmp', 'O1', 'O0', 0.1994080297894687, 5.649744510650635]
['BO', 49, 'CO', 183, 'svn', 'link', 'O0', 'O1', 0.2136982204276956, 0.5344319343566895]
['BO', 65, 'CO', 173, 'gvmap', 'who', 'O0', 'O1', 0.11669695134262059, 0.22613978385925293]
['UO', 8, 'CO', 179, 'c++filt', 'mv', 'O1', 'O1', 0.10720816824138979, 1.5342192649841309]
['BO', 15, 'CO', 180, 'diff', 'md5sum', 'O0', 'O1', 0.14512805416544006, 0.17090630531311035]
['UO', 60, 'CO', 179, 'xargs', 'mv', 'O3', 'O1', 0.06581798483206935, 0.19855165481567383]
['BO', 68, 'CO', 68, 'git', 'yes', 'O3', 'O3', 0.09351092628192559, 6.496257066726685]
['BO', 71, 'CO', 6, 'libSDL2-2.0.so.0.16.0', 'mkdir', 'O0', 'O3', 0.1973431364357925, 6.679325342178345]
['UO', 1, 'CO', 264, 'xargs', 'cut', 'O1', 'O2', 0.1152694610778443, 0.07709980010986328]
['CO', 407, 'UO', 23, 'sha224sum', 'cmp', 'O0', 'O2', 0.06879903439951718, 0.052654266357421875]
['BO', 28, 'CO', 230, 'ruby', 'pwd', 'O0', 'O2', 0.10484189423164547, 13.413419961929321]
['CO', 338, 'UO', 12, 'kill', 'gprof', 'O0', 'O1', 0.1409833427214935, 1.248504877090454]
['CO', 357, 'UO', 18, 'split', 'diff3', 'O0', 'O1', 0.047115808014090765, 0.08575177192687988]
['CO', 64, 'BO', 9, 'tty', 'git', 'O3', 'O0', 0.09350781847789835, 7.045807123184204]
['UO', 34, 'CO', 108, 'ld', 'test', 'O2', 'O1', 0.13868613138686126, 1.9582924842834473]
['CO', 179, 'UO', 17, 'mv', 'objdump', 'O1', 'O1', 0.11143440530883097, 2.80989146232605]
['CO', 174, 'BO', 31, 'b2sum', 'bash', 'O1', 'O2', 0.12066720911310003, 2.962631940841675]
['UO', 46, 'CO', 110, 'readelf', 'mkdir', 'O3', 'O1', 0.09260642270351005, 0.2767813205718994]
['CO', 221, 'UO', 65, 'printenv', 'sdiff', 'O2', 'O3', 0.10497237569060769, 0.03426408767700195]
['UO', 68, 'CO', 296, 'readelf', 'shred', 'O0', 'O2', 0.11395101171458999, 0.6193332672119141]
['CO', 51, 'BO', 38, 'realpath', 'acyclic', 'O3', 'O2', 0.14605734767025091, 0.020726919174194336]
['CO', 374, 'UO', 50, 'printf', 'strings', 'O0', 'O3', 0.1295435911451216, 0.909287691116333]
['CO', 278, 'BO', 8, 'b2sum', 'cp', 'O2', 'O0', 0.14472002045512655, 0.208266019821167]
['CO', 261, 'BO', 80, 'chmod', 'ssh', 'O2', 'O3', 0.1321774794929157, 1.5163803100585938]
['UO', 48, 'CO', 162, 'ranlib', 'df', 'O3', 'O1', 0.11456041717591459, 1.1786129474639893]
['CO', 71, 'BO', 50, 'readlink', 'perl', 'O3', 'O2', 0.0859590271953996, 2.6627767086029053]
['CO', 67, 'BO', 69, 'nohup', 'cmp', 'O3', 'O3', 0.049237170596393875, 0.03407406806945801]
['BO', 45, 'CO', 139, 'diff', 'base32', 'O2', 'O1', 0.11497047585967346, 0.11329412460327148]
['UO', 6, 'CO', 399, 'as', 'id', 'O1', 'O0', 0.12745044503904324, 2.0974462032318115]
['UO', 14, 'CO', 227, 'ar', 'dd', 'O1', 'O2', 0.13677571935356725, 1.2850680351257324]
['CO', 92, 'BO', 17, 'sha512sum', 'codeblocks', 'O3', 'O2', 0.18689068657954777, 11.273842334747314]
['CO', 350, 'BO', 61, 'sha1sum', 'git', 'O0', 'O1', 0.09124778122378918, 7.043946266174316]
['CO', 89, 'UO', 11, 'pathchk', 'ld', 'O3', 'O1', 0.14639678939103118, 2.0883350372314453]
['CO', 62, 'BO', 11, 'printf', 'ssh', 'O3', 'O1', 0.14509975608230663, 1.5491342544555664]
['UO', 37, 'CO', 192, 'ar', 'shred', 'O2', 'O1', 0.12955964508708506, 1.22170090675354]
['BO', 53, 'CO', 239, 'bash', 'date', 'O0', 'O2', 0.12191776003376831, 4.020086765289307]
['UO', 3, 'CO', 155, 'nm', 'realpath', 'O1', 'O1', 0.14328935204639048, 1.1923503875732422]
['CO', 166, 'BO', 42, 'printf', 'cmp', 'O1', 'O1', 0.030203545633617823, 0.04494595527648926]
['UO', 4, 'CO', 347, 'strip', 'base32', 'O1', 'O0', 0.1360539338736284, 1.459080696105957]
['BO', 34, 'CO', 368, 'cp', 'cut', 'O2', 'O0', 0.08848614072494665, 0.12061643600463867]
['UO', 29, 'CO', 14, 'as', 'stty', 'O2', 'O3', 0.1267014519056261, 1.7574739456176758]
['UO', 20, 'CO', 288, 'diff', 'uname', 'O1', 'O2', 0.15303140978816654, 0.1014852523803711]
['BO', 48, 'CO', 326, 'libvlccore.so.9.0.0', 'stty', 'O0', 'O0', 0.17754841702423751, 11.556235551834106]
['CO', 52, 'UO', 33, 'sha256sum', 'objcopy', 'O3', 'O2', 0.1364380300550514, 1.2461936473846436]
