['CV', 30, 'BV', 37, 'pinky', 'geany', 'V2', 'V1', 0.18368822035553822, 20.25544500350952]
['CV', 315, 'UV', 10, 'false', 'as', 'V1', 'V2', 0.13564576509124948, 1.6190407276153564]
['CV', 303, 'BV', 9, 'dircolors', 'dot', 'V1', 'V2', 0.15598885793871864, 0.012883424758911133]
['CV', 56, 'BV', 4, 'yes', 'geany', 'V2', 'V3', 0.1827278432466355, 24.803417921066284]
['CV', 224, 'BV', 72, 'cksum', 'perl', 'V0', 'V1', 0.09390599350061979, 2.2244691848754883]
['UV', 29, 'BV', 34, 'objcopy', 'svn', 'V3', 'V0', 0.0752750434279097, 2.4671883583068848]
['CV', 283, 'BV', 38, 'kill', 'ruby', 'V1', 'V2', 0.24577861163227022, 0.006971120834350586]
['UV', 87, 'CV', 89, 'objdump', 'unlink', 'V0', 'V3', 0.1352917929126597, 1.3700072765350342]
['BV', 66, 'UV', 3, 'lua', 'diff3', 'V1', 'V2', 0.11577444682369742, 0.36559009552001953]
['CV', 302, 'UV', 57, 'nice', 'strings', 'V1', 'V1', 0.14864010120177107, 0.8926365375518799]
['CV', 264, 'UV', 62, 'test', 'ar', 'V1', 'V1', 0.14645909129367962, 0.9940991401672363]
['CV', 345, 'UV', 79, 'rmdir', 'strings', 'V1', 'V0', 0.15011415525114158, 0.8037550449371338]
['UV', 42, 'CV', 271, 'diff', 'ptx', 'V3', 'V1', 0.07512661789532915, 0.1209874153137207]
['BV', 60, 'CV', 41, 'codeblocks', 'nice', 'V1', 'V2', 0.18634309083082223, 9.963714838027954]
['CV', 328, 'BV', 0, 'uname', 'bash', 'V1', 'V2', 0.1305404310849121, 2.4003496170043945]
['CV', 330, 'BV', 18, 'csplit', 'sort', 'V1', 'V3', 0.06306306306306309, 0.12604355812072754]
['UV', 55, 'CV', 49, 'ranlib', 'tsort', 'V1', 'V2', 0.144752308984047, 0.9779722690582275]
['CV', 187, 'BV', 10, 'join', 'gvmap', 'V0', 'V2', 0.12936170212765963, 0.1254119873046875]
['CV', 307, 'UV', 32, 'cut', 'addr2line', 'V1', 'V3', 0.1498674952024125, 0.9322631359100342]
['UV', 42, 'CV', 238, 'diff', 'md5sum', 'V3', 'V0', 0.13224637681159424, 0.08627772331237793]
['UV', 31, 'CV', 249, 'gprof', 'tr', 'V3', 'V0', 0.14463124102390812, 0.9820451736450195]
['UV', 78, 'CV', 189, 'c++filt', 'uptime', 'V0', 'V0', 0.14722935082216515, 0.8194293975830078]
['CV', 178, 'UV', 59, 'basename', 'ld', 'V0', 'V1', 0.13779844961240306, 1.5508158206939697]
['UV', 81, 'CV', 316, 'ld', 'nohup', 'V0', 'V1', 0.13617076832691433, 1.3832099437713623]
['BV', 25, 'UV', 71, 'git', 'xargs', 'V3', 'V0', 0.08684863523573205, 9.096793413162231]
['BV', 35, 'UV', 32, 'libvlccore.so', 'addr2line', 'V2', 'V3', 0.061094819159335234, 7.930372714996338]
