['CV', 123, 'UV', 16, 'chroot', 'gprof', 'V3', 'V2', 0.1384213106716784, 1.0097131729125977]
['BV', 41, 'CV', 220, 'libvlccore.so', 'cut', 'V1', 'V0', 0.16494122721880733, 2.5010604858398438]
['CV', 28, 'BV', 75, 'chown', 'cmp', 'V2', 'V2', 0.05078125, 0.04337596893310547]
['BV', 74, 'CV', 71, 'git', '[', 'V1', 'V2', 0.0938588493816771, 4.399496078491211]
['UV', 2, 'CV', 307, 'find', 'cut', 'V2', 'V1', 0.14907618324474814, 0.1500847339630127]
['BV', 60, 'UV', 44, 'codeblocks', 'diff3', 'V1', 'V1', 0.18244607374349164, 9.977078199386597]
['CV', 278, 'UV', 34, 'mkfifo', 'elfedit', 'V1', 'V3', 0.10079575596816981, 0.022121191024780273]
['BV', 69, 'CV', 42, 'gvmap', 'dircolors', 'V0', 'V2', 0.13461538461538458, 0.09291291236877441]
['UV', 31, 'BV', 54, 'gprof', 'lua', 'V3', 'V3', 0.04650266908810741, 2.266979455947876]
['CV', 10, 'UV', 45, 'ptx', 'cmp', 'V2', 'V1', 0.053931659118979014, 0.05808734893798828]
['BV', 11, 'CV', 162, 'bash', 'tr', 'V1', 'V3', 0.1261298845779446, 2.1693501472473145]
['BV', 59, 'CV', 340, 'make', 'fold', 'V1', 'V1', 0.14140786749482404, 0.17086076736450195]
['UV', 26, 'CV', 161, 'ranlib', 'pathchk', 'V3', 'V3', 0.1452476004416886, 0.9516851902008057]
['CV', 4, 'BV', 57, 'basename', 'svn', 'V2', 'V2', 0.22207840236686394, 0.3403148651123047]
['CV', 323, 'BV', 9, 'unexpand', 'dot', 'V1', 'V2', 0.13931888544891646, 0.010517358779907227]
['UV', 47, 'CV', 336, 'sdiff', 'tr', 'V1', 'V1', 0.08831003811944094, 0.034101009368896484]
['BV', 23, 'CV', 301, 'diff', 'ls', 'V3', 'V1', 0.047698280643372115, 0.14829325675964355]
['CV', 146, 'BV', 18, 'head', 'sort', 'V3', 'V3', 0.10343654304185101, 0.08748626708984375]
['UV', 67, 'BV', 33, 'cmp', 'openssl', 'V0', 'V0', 0.10137634005898599, 5.63401985168457]
['BV', 2, 'CV', 264, 'cmp', 'test', 'V1', 'V1', 0.0829909613804437, 0.024300575256347656]
['CV', 25, 'UV', 19, 'expand', 'elfedit', 'V2', 'V2', 0.0693979933110368, 0.021931171417236328]
['CV', 233, 'UV', 63, 'head', 'elfedit', 'V0', 'V1', 0.06716417910447758, 0.022901535034179688]
['UV', 78, 'CV', 49, 'c++filt', 'tsort', 'V0', 'V2', 0.14572911750825868, 0.7640748023986816]
['CV', 136, 'BV', 21, 'tsort', 'cp', 'V3', 'V1', 0.072933549432739, 0.04543018341064453]
['CV', 41, 'BV', 19, 'nice', 'cp', 'V2', 'V3', 0.13387660069848661, 0.07208704948425293]
['CV', 66, 'BV', 75, 'link', 'cmp', 'V2', 'V2', 0.0898058252427184, 0.023673534393310547]
['CV', 272, 'UV', 42, 'printenv', 'diff', 'V1', 'V3', 0.1549079754601227, 0.07001447677612305]
['UV', 35, 'BV', 31, 'size', 'codeblocks', 'V3', 'V0', 0.11471072946482785, 16.586116313934326]
['UV', 87, 'CV', 236, 'objdump', 'unexpand', 'V0', 'V0', 0.1388666666666667, 1.274845838546753]
['UV', 35, 'BV', 38, 'size', 'ruby', 'V3', 'V2', 0.16480499810677773, 0.7663328647613525]
['CV', 83, 'BV', 5, 'tac', 'libvlccore.so', 'V2', 'V0', 0.15798592880394835, 2.894366979598999]
['CV', 223, 'BV', 43, 'tsort', 'lua', 'V0', 'V0', 0.14379304552326555, 0.25513601303100586]
['BV', 22, 'CV', 221, 'cmp', 'od', 'V3', 'V0', 0.05664488017429192, 0.030795574188232422]
['CV', 244, 'BV', 2, 'vdir', 'cmp', 'V0', 'V1', 0.0945683802133851, 0.06296682357788086]
['UV', 87, 'CV', 346, 'objdump', 'mknod', 'V0', 'V1', 0.13815614175326407, 1.2762198448181152]
['BV', 54, 'UV', 75, 'lua', 'readelf', 'V3', 'V0', 0.07329358552631582, 0.5873456001281738]
['CV', 215, 'BV', 44, 'nice', 'make', 'V0', 'V0', 0.13866967305524236, 0.15268397331237793]
['UV', 67, 'BV', 2, 'cmp', 'cmp', 'V0', 'V1', 0.0, 0.035352468490600586]
['CV', 304, 'BV', 55, 'chmod', 'codeblocks', 'V1', 'V3', 0.18613676938601253, 10.823172807693481]
['UV', 87, 'CV', 185, 'objdump', 'printenv', 'V0', 'V0', 0.14034030010718113, 1.2382652759552002]
['UV', 11, 'CV', 256, 'ranlib', 'sort', 'V2', 'V0', 0.13641960108347695, 1.0601496696472168]
['CV', 260, 'BV', 5, 'ln', 'libvlccore.so', 'V0', 'V0', 0.16929306193915516, 2.6520955562591553]
['BV', 52, 'CV', 237, 'libSDL2-2.0.so', 'mv', 'V2', 'V0', 0.18003698705453086, 4.408256530761719]
['CV', 217, 'UV', 30, 'chmod', 'ld', 'V0', 'V3', 0.14053086787951086, 1.8210511207580566]
['UV', 51, 'CV', 175, 'nm', 'stat', 'V1', 'V0', 0.14489706526500212, 0.8941292762756348]
['CV', 319, 'BV', 50, 'readlink', 'sort', 'V1', 'V0', 0.0934025203854707, 0.027004718780517578]
['BV', 24, 'CV', 309, 'git', 'df', 'V0', 'V1', 0.09346350434053596, 3.471123218536377]
['CV', 322, 'BV', 38, 'ginstall', 'ruby', 'V1', 'V2', 0.25257731958762886, 0.02657318115234375]
['UV', 15, 'CV', 295, 'ld', 'echo', 'V2', 'V1', 0.13866039952996478, 1.4282419681549072]
['CV', 271, 'UV', 72, 'ptx', 'find', 'V1', 'V0', 0.09351241763811458, 0.15365242958068848]
['CV', 86, 'UV', 61, 'ln', 'addr2line', 'V2', 'V1', 0.13499050578284133, 0.932999849319458]
['BV', 83, 'CV', 86, 'git', 'ln', 'V2', 'V2', 0.09193198050995055, 6.336741209030151]
['CV', 50, 'UV', 2, 'cksum', 'find', 'V2', 'V2', 0.15482556659027247, 0.14493680000305176]
['CV', 93, 'BV', 76, 'fmt', 'diff', 'V3', 'V2', 0.112428039282086, 0.0895390510559082]
['UV', 36, 'CV', 274, 'objdump', 'join', 'V3', 'V1', 0.1356503545274904, 1.679150104522705]
['UV', 66, 'CV', 22, 'diff3', 'kill', 'V0', 'V2', 0.07920792079207917, 0.031144380569458008]
['CV', 3, 'BV', 26, 'test', 'geany', 'V2', 'V2', 0.1830885525106447, 20.36256504058838]
