['CV', 295, 'UV', 59, 'echo', 'ld', 'V1', 'V1', 0.13758680555555558, 1.4937593936920166]
['UV', 46, 'CV', 279, 'diff', 'pwd', 'V1', 'V1', 0.1238279987067572, 0.08768343925476074]
['BV', 80, 'CV', 95, 'cluster', 'du', 'V1', 'V3', 0.05900283039407794, 0.21950531005859375]
['CV', 181, 'BV', 57, 'dir', 'svn', 'V0', 'V2', 0.1697689345314506, 0.5187149047851562]
['CV', 305, 'BV', 74, 'true', 'git', 'V1', 'V1', 0.09538041559786314, 4.539110898971558]
['BV', 11, 'UV', 60, 'bash', 'gprof', 'V1', 'V1', 0.03471921912645948, 6.243492126464844]
['UV', 9, 'CV', 73, 'readelf', 'shred', 'V2', 'V2', 0.07490553456323623, 0.14243268966674805]
['CV', 12, 'BV', 6, 'stty', 'libvlc.so', 'V2', 'V0', 0.1743286299499317, 0.25676465034484863]
['UV', 12, 'CV', 114, 'c++filt', 'expr', 'V2', 'V3', 0.14004935660144546, 0.9453043937683105]
['CV', 127, 'UV', 62, 'ls', 'ar', 'V3', 'V1', 0.10804597701149421, 1.4204344749450684]
['UV', 60, 'CV', 241, 'gprof', 'uname', 'V1', 'V0', 0.14634963161419956, 0.9153132438659668]
['UV', 21, 'CV', 114, 'objdump', 'expr', 'V2', 'V3', 0.13358778625954204, 1.4692070484161377]
['CV', 6, 'UV', 43, 'fmt', 'sdiff', 'V2', 'V3', 0.08905852417302795, 0.03634905815124512]
['UV', 6, 'CV', 100, 'sdiff', 'join', 'V2', 'V3', 0.04216867469879515, 0.04944014549255371]
['CV', 247, 'BV', 16, 'shred', 'libvlc.so', 'V0', 'V3', 0.17912108288522155, 0.381453275680542]
['CV', 129, 'UV', 25, 'dircolors', 'as', 'V3', 'V3', 0.12885506665903756, 1.772688388824463]
['BV', 41, 'UV', 58, 'libvlccore.so', 'objcopy', 'V1', 'V1', 0.03750666959605786, 7.8083906173706055]
['UV', 26, 'CV', 336, 'ranlib', 'tr', 'V3', 'V1', 0.14702100300042864, 0.9984092712402344]
['BV', 9, 'CV', 138, 'dot', 'printf', 'V2', 'V3', 0.1566147859922179, 0.01803731918334961]
['CV', 114, 'BV', 31, 'expr', 'codeblocks', 'V3', 'V0', 0.18486060141315663, 9.836424589157104]
['UV', 69, 'CV', 252, 'sdiff', 'rm', 'V0', 'V0', 0.06120157215047728, 0.04591202735900879]
['BV', 33, 'CV', 81, 'openssl', 'sleep', 'V0', 'V2', 0.10326329906124276, 5.7440345287323]
['CV', 259, 'UV', 51, 'mknod', 'nm', 'V0', 'V1', 0.14827586206896548, 0.9334917068481445]
['UV', 68, 'CV', 130, 'diff', 'chmod', 'V0', 'V3', 0.0692970822281167, 0.09585404396057129]
['UV', 13, 'CV', 63, 'strings', 'mv', 'V2', 'V2', 0.12019664072101599, 1.1941115856170654]
['CV', 143, 'UV', 87, 'yes', 'objdump', 'V3', 'V0', 0.13540225340976475, 1.3928954601287842]
['UV', 18, 'CV', 330, 'ar', 'csplit', 'V2', 'V1', 0.127424696420123, 1.1416549682617188]
['CV', 230, 'BV', 34, 'yes', 'svn', 'V0', 'V0', 0.22824102251978085, 0.3021841049194336]
['CV', 130, 'UV', 72, 'chmod', 'find', 'V3', 'V0', 0.10194303965930263, 0.1591038703918457]
['UV', 67, 'CV', 185, 'cmp', 'printenv', 'V0', 'V0', 0.11111111111111116, 0.02108907699584961]
['CV', 206, 'BV', 65, 'paste', 'ssh', 'V0', 'V1', 0.11963913014205885, 3.5837793350219727]
['BV', 15, 'CV', 24, 'libvlccore.so', 'factor', 'V3', 'V2', 0.1657723265619011, 3.3102169036865234]
['CV', 191, 'UV', 49, 'mkfifo', 'xargs', 'V0', 'V1', 0.08490566037735847, 0.022068500518798828]
['UV', 57, 'CV', 194, 'strings', 'tee', 'V1', 'V0', 0.1476873140384095, 0.8711926937103271]
