['BV', 2, 'UV', 8, 'cmp', 'strip', 'V1', 'V2', 0.13418834737999263, 1.2456955909729004]
['UV', 2, 'CV', 132, 'find', 'cp', 'V2', 'V3', 0.06225045372050819, 0.30248403549194336]
['BV', 50, 'CV', 142, 'sort', 'nohup', 'V0', 'V3', 0.055935363579863284, 0.03735947608947754]
['CV', 97, 'BV', 2, 'ptx', 'cmp', 'V3', 'V1', 0.049009384775808185, 0.04790663719177246]
['BV', 28, 'CV', 47, 'openssl', 'od', 'V1', 'V2', 0.10144863527956893, 6.51889443397522]
['UV', 26, 'CV', 259, 'ranlib', 'mknod', 'V3', 'V0', 0.15082052617869235, 0.9575285911560059]
['CV', 154, 'BV', 24, 'uname', 'git', 'V3', 'V0', 0.0949214190711436, 3.6894032955169678]
['CV', 248, 'UV', 64, 'pathchk', 'size', 'V0', 'V1', 0.14929400125910597, 0.886014461517334]
['CV', 217, 'UV', 11, 'chmod', 'ranlib', 'V0', 'V2', 0.14193548387096777, 1.0748240947723389]
['UV', 54, 'CV', 82, 'as', 'sort', 'V1', 'V2', 0.11372098116513363, 2.0029757022857666]
['CV', 319, 'UV', 0, 'readlink', 'locate', 'V1', 'V2', 0.13961407491486943, 0.04766845703125]
['CV', 0, 'BV', 5, 'touch', 'libvlccore.so', 'V2', 'V0', 0.16630493760173626, 2.950906991958618]
['CV', 88, 'UV', 3, 'stat', 'diff3', 'V3', 'V2', 0.055678303137428165, 0.06986856460571289]
['BV', 31, 'CV', 245, 'codeblocks', '[', 'V0', 'V0', 0.18798782175477446, 9.449929475784302]
['CV', 86, 'BV', 48, 'ln', 'gvmap', 'V2', 'V3', 0.11111111111111116, 0.14676308631896973]
['BV', 27, 'CV', 200, 'libSDL2-2.0.so', 'date', 'V1', 'V0', 0.19137466307277629, 3.713613510131836]
['UV', 33, 'CV', 15, 'ar', 'uptime', 'V3', 'V2', 0.14515579771837217, 1.0161173343658447]
['BV', 15, 'CV', 91, 'libvlccore.so', 'basename', 'V3', 'V3', 0.16468396158807508, 3.3615097999572754]
['UV', 63, 'CV', 173, 'elfedit', 'ln', 'V1', 'V3', 0.09671272034302048, 0.05967569351196289]
['CV', 257, 'UV', 43, 'tac', 'sdiff', 'V0', 'V3', 0.027827648114901238, 0.05718040466308594]
['BV', 15, 'CV', 55, 'libvlccore.so', 'nohup', 'V3', 'V2', 0.16520698731754013, 3.363816261291504]
['BV', 34, 'CV', 208, 'svn', 'echo', 'V0', 'V0', 0.22738336713995944, 0.29793667793273926]
['CV', 131, 'BV', 70, 'true', 'ssh', 'V3', 'V0', 0.11730782512604465, 3.436645030975342]
['UV', 40, 'CV', 195, 'diff3', 'chgrp', 'V3', 'V0', 0.05458638154192463, 0.044045209884643555]
['UV', 24, 'CV', 245, 'readelf', '[', 'V3', 'V0', 0.11918931960752777, 0.2327437400817871]
['UV', 48, 'CV', 199, 'locate', 'expand', 'V1', 'V0', 0.1357806280406899, 0.058213233947753906]
['BV', 56, 'CV', 199, 'ssh', 'expand', 'V3', 'V0', 0.15050632073598513, 1.2621164321899414]
['CV', 168, 'BV', 73, 'sleep', 'geany', 'V3', 'V0', 0.1850696003592276, 15.109821319580078]
['BV', 40, 'CV', 186, 'lua', 'stty', 'V2', 'V0', 0.13197239792984472, 0.3401029109954834]
['CV', 109, 'BV', 83, 'kill', 'git', 'V3', 'V2', 0.09307261471946549, 6.6644110679626465]
['BV', 45, 'UV', 22, 'svn', 'nm', 'V3', 'V3', 0.04735311227457828, 2.9144160747528076]
['UV', 1, 'CV', 130, 'xargs', 'chmod', 'V2', 'V3', 0.040739185216295715, 0.06619048118591309]
['BV', 13, 'CV', 75, 'cp', 'tr', 'V2', 'V2', 0.10660535117056857, 0.06619763374328613]
['CV', 141, 'BV', 1, 'false', 'libSDL2-2.0.so', 'V3', 'V3', 0.19320092714629822, 5.303507566452026]
['CV', 255, 'BV', 76, 'sleep', 'diff', 'V0', 'V2', 0.15170042032862052, 0.07621026039123535]
['UV', 61, 'CV', 338, 'addr2line', 'nl', 'V1', 'V1', 0.1308183498571669, 0.9930498600006104]
['UV', 27, 'CV', 238, 'c++filt', 'md5sum', 'V3', 'V0', 0.1491804796740439, 0.8856441974639893]
['UV', 20, 'CV', 99, 'size', 'stty', 'V2', 'V3', 0.1383615084525358, 0.9791085720062256]
['UV', 39, 'BV', 18, 'find', 'sort', 'V3', 'V3', 0.08532955350815019, 0.4911503791809082]
['UV', 26, 'CV', 36, 'ranlib', 'chroot', 'V3', 'V2', 0.14631857350055455, 0.9961402416229248]
['UV', 27, 'CV', 85, 'c++filt', 'mknod', 'V3', 'V2', 0.14939981532779312, 0.8621580600738525]
