['UV', 39, 'CV', 304, 'find', 'chmod', 'V3', 'V1', 0.1367654706188247, 0.31114721298217773]
['UV', 70, 'CV', 238, 'locate', 'md5sum', 'V0', 'V0', 0.11506981222917667, 0.055460453033447266]
['UV', 81, 'CV', 310, 'ld', 'tsort', 'V0', 'V1', 0.1372792674950949, 1.2669408321380615]
['BV', 42, 'CV', 40, 'libvlc.so', 'ls', 'V1', 'V2', 0.11413520632133456, 0.376309871673584]
['BV', 28, 'CV', 216, 'openssl', 'dircolors', 'V1', 'V0', 0.10378556627526125, 6.051847219467163]
['CV', 303, 'UV', 67, 'dircolors', 'cmp', 'V1', 'V0', 0.07154340836012862, 0.026062488555908203]
['UV', 21, 'CV', 251, 'objdump', 'nl', 'V2', 'V0', 0.12890352821942108, 1.5068106651306152]
['CV', 81, 'UV', 54, 'sleep', 'as', 'V2', 'V1', 0.13102646118057582, 1.5547802448272705]
['CV', 31, 'BV', 13, 'sha1sum', 'cp', 'V2', 'V2', 0.11106271777003485, 0.06448221206665039]
['UV', 51, 'CV', 264, 'nm', 'test', 'V1', 'V1', 0.1474601637468087, 0.8997230529785156]
['BV', 10, 'CV', 27, 'gvmap', 'expr', 'V2', 'V2', 0.08834498834498838, 0.15308761596679688]
['UV', 11, 'CV', 122, 'ranlib', 'sum', 'V2', 'V3', 0.1400581154005811, 1.0014610290527344]
['CV', 120, 'BV', 67, 'sync', 'cluster', 'V3', 'V0', 0.12981082844096536, 0.09771132469177246]
['BV', 37, 'UV', 72, 'geany', 'find', 'V1', 'V0', 0.17040923794478302, 21.82481336593628]
['CV', 260, 'BV', 41, 'ln', 'libvlccore.so', 'V0', 'V1', 0.1631316114482092, 2.6058456897735596]
['BV', 74, 'CV', 210, 'git', 'chroot', 'V1', 'V0', 0.09506677953348386, 4.344592571258545]
['BV', 4, 'CV', 245, 'geany', '[', 'V3', 'V0', 0.18242960691385557, 23.100314617156982]
['UV', 22, 'CV', 242, 'nm', 'cat', 'V3', 'V0', 0.15206372194062268, 0.8696653842926025]
['CV', 203, 'UV', 61, 'tail', 'addr2line', 'V0', 'V1', 0.14005773773073216, 0.9052820205688477]
['BV', 9, 'CV', 78, 'dot', 'rm', 'V2', 'V2', 0.18253968253968256, 0.02448582649230957]
['UV', 55, 'CV', 194, 'ranlib', 'tee', 'V1', 'V0', 0.1469938858695652, 0.8990521430969238]
['BV', 65, 'CV', 285, 'ssh', 'factor', 'V1', 'V1', 0.11922533790599155, 3.2930867671966553]
['BV', 53, 'CV', 53, 'ssh', 'tty', 'V2', 'V2', 0.12046381073314172, 3.420170545578003]
['UV', 7, 'CV', 52, 'nm', 'logname', 'V2', 'V2', 0.1506024096385542, 0.8651721477508545]
['CV', 292, 'UV', 28, 'sha1sum', 'strings', 'V1', 'V3', 0.1494115483633689, 0.8565120697021484]
['CV', 345, 'UV', 38, 'rmdir', 'xargs', 'V1', 'V3', 0.16381850324101355, 0.05084490776062012]
['UV', 32, 'BV', 5, 'addr2line', 'libvlccore.so', 'V3', 'V0', 0.054894297388523694, 6.708592176437378]
['BV', 81, 'CV', 258, 'dot', 'rmdir', 'V1', 'V0', 0.11917098445595853, 0.008780479431152344]
['UV', 47, 'CV', 275, 'sdiff', 'dirname', 'V1', 'V1', 0.11899641577060938, 0.028113603591918945]
['CV', 170, 'UV', 4, 'tac', 'cmp', 'V3', 'V2', 0.03331197950032028, 0.0350346565246582]
['CV', 235, 'BV', 76, 'ginstall', 'diff', 'V0', 'V2', 0.06997677119628343, 0.13222360610961914]
['CV', 190, 'UV', 40, 'dd', 'diff3', 'V0', 'V3', 0.04620462046204621, 0.04307198524475098]
['UV', 28, 'CV', 118, 'strings', 'sha1sum', 'V3', 'V3', 0.14303672443207327, 0.8875632286071777]
['CV', 277, 'UV', 87, 'dd', 'objdump', 'V1', 'V0', 0.13035284943791026, 1.4058623313903809]
['BV', 27, 'UV', 74, 'libSDL2-2.0.so', 'strip', 'V1', 'V0', 0.057370129870129905, 8.663819313049316]
['UV', 78, 'CV', 70, 'c++filt', 'vdir', 'V0', 'V2', 0.11535490515835556, 1.028702974319458]
['CV', 47, 'UV', 78, 'od', 'c++filt', 'V2', 'V0', 0.13592233009708732, 0.8159797191619873]
['CV', 316, 'UV', 26, 'nohup', 'ranlib', 'V1', 'V3', 0.14905758256960056, 0.9288721084594727]
['CV', 318, 'BV', 46, 'who', 'cluster', 'V1', 'V3', 0.13453996983408745, 0.11391162872314453]
['UV', 81, 'CV', 339, 'ld', 'rm', 'V0', 'V1', 0.12996228344946625, 1.3682160377502441]
['CV', 135, 'UV', 73, 'df', 'nm', 'V3', 'V0', 0.12186046511627913, 1.0310280323028564]
['CV', 237, 'UV', 49, 'mv', 'xargs', 'V0', 'V1', 0.08125000000000004, 0.054022789001464844]
['CV', 247, 'UV', 28, 'shred', 'strings', 'V0', 'V3', 0.14142870011710662, 0.9216639995574951]
['CV', 18, 'BV', 79, 'pwd', 'bash', 'V2', 'V3', 0.12645255349256035, 2.4460086822509766]
['CV', 201, 'UV', 75, 'expr', 'readelf', 'V0', 'V0', 0.06611368626494263, 0.10712385177612305]
