['CO', 395, 'BO', 0, 'csplit', 'codeblocks', 'O0', 'O1', 0.1804264063704084, 11.213745355606079]
['UO', 77, 'BO', 42, 'ar', 'cmp', 'O0', 'O1', 0.1494440076378749, 2.2846405506134033]
['CO', 336, 'UO', 77, 'tee', 'ar', 'O0', 'O0', 0.14712979069636944, 2.4377987384796143]
['BO', 11, 'UO', 48, 'ssh', 'ranlib', 'O1', 'O3', 0.03273649427495584, 4.319761753082275]
['CO', 220, 'BO', 2, 'ptx', 'perl', 'O2', 'O1', 0.0742609195702747, 2.619694471359253]
['BO', 12, 'CO', 371, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O0', 0.1908420644159876, 27.373276710510254]
['CO', 407, 'BO', 31, 'sha224sum', 'bash', 'O0', 'O2', 0.11985536098809568, 2.8448994159698486]
['CO', 12, 'UO', 2, 'ptx', 'find', 'O3', 'O1', 0.13742464059360027, 0.43289995193481445]
['BO', 12, 'CO', 389, 'libgeany.so.0.0.0', 'env', 'O0', 'O0', 0.19104547130630545, 27.62121081352234]
['CO', 396, 'UO', 3, 'vdir', 'nm', 'O0', 'O1', 0.09544374865039951, 1.7871007919311523]
['CO', 332, 'BO', 3, 'mkfifo', 'openssl', 'O0', 'O1', 0.260102470870176, 8.647681474685669]
['CO', 311, 'BO', 53, 'ln', 'bash', 'O2', 'O0', 0.11859678487986891, 4.137738466262817]
['CO', 338, 'BO', 59, 'kill', 'libgeany.so.0.0.0', 'O0', 'O3', 0.16723512109643912, 24.863062620162964]
['BO', 0, 'CO', 65, 'codeblocks', 'false', 'O1', 'O3', 0.1871062194452433, 10.064770936965942]
['CO', 357, 'UO', 24, 'split', 'diff', 'O0', 'O2', 0.06534422403733953, 0.15705418586730957]
['BO', 7, 'CO', 339, 'sort', 'wc', 'O0', 'O0', 0.10505944152612656, 0.20868253707885742]
['CO', 52, 'BO', 48, 'sha256sum', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.18149985409979574, 10.604992389678955]
['CO', 211, 'UO', 77, 'unlink', 'ar', 'O2', 'O0', 0.15542857142857147, 2.2297022342681885]
['CO', 36, 'BO', 10, 'pinky', 'openssl', 'O3', 'O3', 0.2754296924979742, 7.61507511138916]
['BO', 62, 'CO', 307, 'bash', 'sort', 'O1', 'O2', 0.10971101482688717, 3.3148887157440186]
['BO', 78, 'CO', 370, 'ssh', 'df', 'O0', 'O0', 0.12176290044120464, 2.5522422790527344]
['UO', 54, 'CO', 37, 'addr2line', 'truncate', 'O3', 'O3', 0.13802323437211872, 0.7819952964782715]
['UO', 47, 'CO', 46, 'as', 'whoami', 'O3', 'O3', 0.12413102391893482, 1.3644294738769531]
['CO', 161, 'UO', 70, 'od', 'ranlib', 'O1', 'O0', 0.1454918032786885, 2.4167377948760986]
['CO', 275, 'BO', 73, 'nohup', 'cluster', 'O2', 'O1', 0.13839150227617603, 0.11902070045471191]
['UO', 12, 'CO', 172, 'gprof', 'yes', 'O1', 'O1', 0.14701078079059138, 1.080143928527832]
['UO', 43, 'CO', 99, 'find', 'sort', 'O2', 'O3', 0.09659958362248444, 0.5370488166809082]
['CO', 208, 'UO', 0, 'sha384sum', 'locate', 'O2', 'O1', 0.13523615358477747, 0.12263917922973633]
['CO', 64, 'UO', 6, 'tty', 'as', 'O3', 'O1', 0.1349338668445037, 1.8007245063781738]
['UO', 74, 'CO', 108, 'ld', 'test', 'O0', 'O1', 0.1482479784366577, 3.8991875648498535]
['CO', 263, 'BO', 82, 'cp', 'cp', 'O2', 'O3', 0.003494757863205189, 0.18372416496276855]
['UO', 55, 'CO', 187, 'ar', 'csplit', 'O3', 'O1', 0.12581491829650326, 0.9320743083953857]
['CO', 211, 'BO', 14, 'unlink', 'cmp', 'O2', 'O0', 0.11411850768105336, 0.035970449447631836]
['CO', 164, 'UO', 33, 'base64', 'objcopy', 'O1', 'O2', 0.13584031100478466, 1.1775925159454346]
['CO', 387, 'BO', 34, 'mv', 'cp', 'O0', 'O2', 0.059984520123839036, 0.330578088760376]
['CO', 265, 'UO', 25, 'od', 'sdiff', 'O2', 'O2', 0.0401479133650291, 0.05383777618408203]
['BO', 62, 'UO', 56, 'bash', 'elfedit', 'O1', 'O3', 0.12507825215975965, 2.630180597305298]
['CO', 160, 'BO', 76, 'cut', 'openssl', 'O1', 'O2', 0.27656029732154297, 7.62593150138855]
['UO', 3, 'BO', 65, 'nm', 'gvmap', 'O1', 'O0', 0.08285770517614643, 1.8373630046844482]
['UO', 67, 'CO', 181, 'strip', 'env', 'O0', 'O1', 0.1456714622286831, 2.5994865894317627]
['CO', 169, 'UO', 48, 'false', 'ranlib', 'O1', 'O3', 0.1381798979052984, 0.84671950340271]
['BO', 67, 'CO', 101, 'libSDL2-2.0.so.0.16.0', 'rmdir', 'O1', 'O3', 0.20513933082634273, 5.065713167190552]
