['CV', 344, 'UV', 62, 'tac', 'ar', 'V1', 'V1', 0.12895531881062172, 1.1104328632354736]
['CV', 23, 'UV', 79, 'wc', 'strings', 'V2', 'V0', 0.14034763313609466, 0.867748498916626]
['BV', 4, 'CV', 191, 'geany', 'mkfifo', 'V3', 'V0', 0.18302262253875157, 24.294895887374878]
['CV', 336, 'BV', 9, 'tr', 'dot', 'V1', 'V2', 0.14177215189873416, 0.013263463973999023]
['CV', 60, 'BV', 75, 'hostid', 'cmp', 'V2', 'V2', 0.09083536090835365, 0.02485799789428711]
['CV', 158, 'UV', 46, '[', 'diff', 'V3', 'V1', 0.10078878177037687, 0.1032247543334961]
['CV', 50, 'BV', 79, 'cksum', 'bash', 'V2', 'V3', 0.1283542231985183, 2.52182936668396]
['UV', 68, 'CV', 206, 'diff', 'paste', 'V0', 'V0', 0.1382007822685789, 0.05951237678527832]
['CV', 290, 'UV', 77, 'tail', 'ranlib', 'V1', 'V0', 0.13821348508363507, 0.9508154392242432]
['UV', 19, 'CV', 146, 'elfedit', 'head', 'V2', 'V3', 0.0357866306549629, 0.030596256256103516]
['CV', 41, 'BV', 73, 'nice', 'geany', 'V2', 'V0', 0.18579271859952295, 14.871113538742065]
['UV', 29, 'CV', 13, 'objcopy', 'join', 'V3', 'V2', 0.13661039637093775, 1.1873233318328857]
['CV', 201, 'UV', 44, 'expr', 'diff3', 'V0', 'V1', 0.024899955535793716, 0.05059671401977539]
['UV', 13, 'CV', 95, 'strings', 'du', 'V2', 'V3', 0.11496012245226783, 1.229111671447754]
['UV', 8, 'CV', 235, 'strip', 'ginstall', 'V2', 'V0', 0.12375079736338512, 1.3818418979644775]
['UV', 51, 'CV', 45, 'nm', 'cp', 'V1', 'V2', 0.11683058375634514, 1.2041120529174805]
['UV', 81, 'CV', 57, 'ld', 'who', 'V0', 'V2', 0.1314051176810107, 1.4170374870300293]
['UV', 72, 'CV', 66, 'find', 'link', 'V0', 'V2', 0.1572387344199424, 0.11150002479553223]
['CV', 228, 'BV', 34, 'false', 'svn', 'V0', 'V0', 0.22940456769983686, 0.2935597896575928]
['BV', 66, 'CV', 346, 'lua', 'mknod', 'V1', 'V1', 0.13926018029219767, 0.29711174964904785]
['CV', 53, 'BV', 74, 'tty', 'git', 'V2', 'V1', 0.09458920655768466, 4.582135438919067]
['CV', 32, 'BV', 64, 'paste', 'openssl', 'V2', 'V2', 0.2882990867579909, 4.637375593185425]
['CV', 275, 'UV', 53, 'dirname', 'readelf', 'V1', 'V1', 0.1116361488481985, 0.08062601089477539]
['BV', 40, 'CV', 63, 'lua', 'mv', 'V2', 'V2', 0.09573542210617925, 0.5006554126739502]
['UV', 61, 'CV', 100, 'addr2line', 'join', 'V1', 'V3', 0.1341265086022425, 0.9725024700164795]
['CV', 74, 'BV', 35, 'pathchk', 'libvlccore.so', 'V2', 'V2', 0.16648200780384415, 3.340636968612671]
['BV', 9, 'UV', 87, 'dot', 'objdump', 'V2', 'V0', 0.14370570367870406, 1.2753729820251465]
['CV', 96, 'UV', 58, 'users', 'objcopy', 'V3', 'V1', 0.13264742438889654, 1.2667617797851562]
['BV', 45, 'CV', 40, 'svn', 'ls', 'V3', 'V2', 0.17177162460181328, 0.8313777446746826]
['UV', 80, 'BV', 39, 'objcopy', 'svn', 'V0', 'V1', 0.06835303821831173, 2.5821902751922607]
['BV', 1, 'UV', 76, 'libSDL2-2.0.so', 'as', 'V3', 'V0', 0.05908143078650485, 13.09407663345337]
['BV', 17, 'UV', 8, 'codeblocks', 'strip', 'V2', 'V2', 0.10611485607985116, 19.30919861793518]
['CV', 73, 'UV', 36, 'shred', 'objdump', 'V2', 'V3', 0.12895307683525514, 1.9433965682983398]
['UV', 3, 'CV', 11, 'diff3', 'printenv', 'V2', 'V2', 0.10117810117810122, 0.02977466583251953]
['UV', 63, 'CV', 298, 'elfedit', 'seq', 'V1', 'V1', 0.08196721311475408, 0.02216935157775879]
['CV', 66, 'BV', 25, 'link', 'git', 'V2', 'V3', 0.08783762782457338, 9.023374557495117]
['UV', 3, 'CV', 196, 'diff3', 'kill', 'V2', 'V0', 0.10260014054813771, 0.03067493438720703]
['UV', 63, 'BV', 18, 'elfedit', 'sort', 'V1', 'V3', 0.12169878658101352, 0.09068560600280762]
['CV', 120, 'UV', 8, 'sync', 'strip', 'V3', 'V2', 0.13805087252292225, 1.2049379348754883]
['UV', 82, 'CV', 268, 'gprof', 'dir', 'V0', 'V1', 0.11980341604898481, 1.1749885082244873]
['UV', 83, 'CV', 149, 'addr2line', 'unexpand', 'V0', 'V3', 0.14095500459136823, 0.8821299076080322]
['BV', 3, 'CV', 115, 'diff', 'chown', 'V1', 'V3', 0.060394151303242216, 0.10890889167785645]
['BV', 46, 'CV', 253, 'cluster', 'fold', 'V3', 'V0', 0.14874722486520775, 0.10854434967041016]
['UV', 31, 'BV', 76, 'gprof', 'diff', 'V3', 'V2', 0.10797809354647725, 1.6461615562438965]
['CV', 286, 'BV', 21, 'expand', 'cp', 'V1', 'V1', 0.11535968891769277, 0.07268762588500977]
['BV', 58, 'CV', 41, 'ruby', 'nice', 'V3', 'V2', 0.21452145214521456, 0.014410018920898438]
['BV', 40, 'CV', 191, 'lua', 'mkfifo', 'V2', 'V0', 0.13992922441757594, 0.33784055709838867]
['CV', 130, 'UV', 45, 'chmod', 'cmp', 'V3', 'V1', 0.043595263724434896, 0.04526114463806152]
['BV', 74, 'CV', 10, 'git', 'ptx', 'V1', 'V2', 0.08846206487522246, 5.246294021606445]
['CV', 298, 'UV', 53, 'seq', 'readelf', 'V1', 'V1', 0.1073512252042007, 0.08509182929992676]
['BV', 38, 'CV', 9, 'ruby', 'users', 'V2', 'V2', 0.21947449768160743, 0.008031606674194336]
['CV', 26, 'UV', 50, 'date', 'find', 'V2', 'V1', 0.12473322267014464, 0.18562746047973633]
['UV', 61, 'BV', 41, 'addr2line', 'libvlccore.so', 'V1', 'V1', 0.051985534459976335, 6.915139436721802]
['CV', 72, 'UV', 61, 'id', 'addr2line', 'V2', 'V1', 0.14523851746763605, 0.9269044399261475]
['UV', 22, 'BV', 50, 'nm', 'sort', 'V3', 'V0', 0.1376059505275904, 1.0146794319152832]
['UV', 13, 'CV', 305, 'strings', 'true', 'V2', 'V1', 0.15393794749403344, 0.8742170333862305]
['UV', 72, 'CV', 174, 'find', 'touch', 'V0', 'V0', 0.1354422604422605, 0.13208651542663574]
['BV', 33, 'CV', 119, 'openssl', 'paste', 'V0', 'V3', 0.1024883322779615, 5.759559869766235]
['UV', 11, 'CV', 12, 'ranlib', 'stty', 'V2', 'V2', 0.14141834526385888, 1.0531139373779297]
['UV', 43, 'CV', 320, 'sdiff', 'head', 'V3', 'V1', 0.0931278098908157, 0.035668373107910156]
['BV', 7, 'CV', 254, 'libSDL2-2.0.so', 'uniq', 'V0', 'V0', 0.21817426236320814, 3.0465705394744873]
['UV', 80, 'CV', 132, 'objcopy', 'cp', 'V0', 'V3', 0.10561680474916824, 1.557645559310913]
['CV', 280, 'UV', 68, 'pr', 'diff', 'V1', 'V0', 0.0848214285714286, 0.08398032188415527]
['CV', 3, 'BV', 25, 'test', 'git', 'V2', 'V3', 0.08744492025072925, 9.228303670883179]
['BV', 12, 'CV', 14, 'sort', 'dirname', 'V2', 'V2', 0.12086330935251799, 0.051659345626831055]
['CV', 23, 'UV', 48, 'wc', 'locate', 'V2', 'V1', 0.09613869188337276, 0.07656979560852051]
['BV', 40, 'CV', 23, 'lua', 'wc', 'V2', 'V2', 0.12674664784756529, 0.3666961193084717]
['UV', 26, 'BV', 61, 'ranlib', 'cmp', 'V3', 'V0', 0.15156277283045227, 0.9471895694732666]
['BV', 68, 'CV', 218, 'dot', 'true', 'V0', 'V0', 0.10989010989010994, 0.008712053298950195]
['BV', 46, 'UV', 46, 'cluster', 'diff', 'V3', 'V1', 0.03702325581395349, 0.2649650573730469]
['UV', 81, 'CV', 141, 'ld', 'false', 'V0', 'V3', 0.1352509577300175, 1.3921949863433838]
['UV', 65, 'CV', 205, 'objdump', 'sha1sum', 'V1', 'V0', 0.13666388764189064, 1.4781992435455322]
['CV', 303, 'BV', 70, 'dircolors', 'ssh', 'V1', 'V0', 0.1176694460782618, 3.5206477642059326]
['CV', 6, 'BV', 18, 'fmt', 'sort', 'V2', 'V3', 0.12880475129918334, 0.08481454849243164]
['CV', 83, 'BV', 59, 'tac', 'make', 'V2', 'V1', 0.0962073764787752, 0.2636716365814209]
['UV', 51, 'CV', 317, 'nm', 'yes', 'V1', 'V1', 0.15066666666666673, 0.9210522174835205]
