['UV', 40, 'CV', 49, 'diff3', 'tsort', 'V3', 'V2', 0.08082706766917291, 0.03145241737365723]
['UV', 53, 'CV', 39, 'readelf', 'whoami', 'V1', 'V2', 0.10553484370519073, 0.0792996883392334]
['BV', 2, 'CV', 261, 'cmp', 'touch', 'V1', 'V1', 0.045951859956236296, 0.03127408027648926]
['CV', 168, 'BV', 0, 'sleep', 'bash', 'V3', 'V2', 0.12718615103911712, 2.3397090435028076]
['BV', 41, 'CV', 32, 'libvlccore.so', 'paste', 'V1', 'V2', 0.16528346626428103, 2.448056936264038]
['UV', 72, 'BV', 30, 'find', 'bash', 'V0', 'V0', 0.09933536913957253, 2.74851131439209]
['CV', 143, 'UV', 23, 'yes', 'strip', 'V3', 'V3', 0.14065089648937779, 1.0865356922149658]
['CV', 12, 'BV', 49, 'stty', 'make', 'V2', 'V3', 0.12611302925676904, 0.23284268379211426]
['CV', 39, 'BV', 20, 'whoami', 'sort', 'V2', 'V1', 0.10895428929242335, 0.03373432159423828]
['CV', 189, 'UV', 21, 'uptime', 'objdump', 'V0', 'V2', 0.1403357441443832, 1.3863322734832764]
['BV', 53, 'CV', 95, 'ssh', 'du', 'V2', 'V3', 0.10756844829238688, 4.1998608112335205]
['CV', 259, 'UV', 44, 'mknod', 'diff3', 'V0', 'V1', 0.10305614783226724, 0.028273820877075195]
['CV', 347, 'BV', 42, 'ln', 'libvlc.so', 'V1', 'V1', 0.17267876200640342, 0.24736881256103516]
['CV', 283, 'BV', 19, 'kill', 'cp', 'V1', 'V3', 0.14057507987220452, 0.07015752792358398]
['UV', 24, 'CV', 188, 'readelf', 'dirname', 'V3', 'V0', 0.1249589490968801, 0.20324921607971191]
['CV', 101, 'UV', 41, 'dirname', 'cmp', 'V3', 'V3', 0.06852409638554213, 0.02756214141845703]
['CV', 300, 'UV', 28, 'whoami', 'strings', 'V1', 'V3', 0.15415350306634457, 0.8367083072662354]
['CV', 14, 'UV', 69, 'dirname', 'sdiff', 'V2', 'V0', 0.10252996005326231, 0.029855012893676758]
['CV', 285, 'BV', 33, 'factor', 'openssl', 'V1', 'V0', 0.10377848011698665, 5.408306837081909]
['BV', 77, 'CV', 214, 'perl', 'ls', 'V2', 'V0', 0.08380118628477184, 2.549180269241333]
['CV', 136, 'BV', 59, 'tsort', 'make', 'V3', 'V1', 0.12288218111002924, 0.19925379753112793]
['BV', 24, 'CV', 124, 'git', 'seq', 'V0', 'V3', 0.09351273945583749, 3.46897554397583]
['CV', 25, 'BV', 25, 'expand', 'git', 'V2', 'V3', 0.08768442304705704, 8.422043085098267]
['CV', 176, 'UV', 40, 'unlink', 'diff3', 'V0', 'V3', 0.12031700288184433, 0.026048660278320312]
['UV', 61, 'CV', 335, 'addr2line', 'pathchk', 'V1', 'V1', 0.14909909909909913, 0.8200728893280029]
['BV', 74, 'CV', 249, 'git', 'tr', 'V1', 'V0', 0.09399508369425258, 4.3607025146484375]
['CV', 247, 'BV', 3, 'shred', 'diff', 'V0', 'V1', 0.09233117130866086, 0.08085823059082031]
['CV', 201, 'BV', 63, 'expr', 'ruby', 'V0', 'V0', 0.11354306465619324, 9.354188203811646]
['BV', 23, 'CV', 224, 'diff', 'cksum', 'V3', 'V0', 0.15416825275980206, 0.06989121437072754]
['CV', 149, 'BV', 5, 'unexpand', 'libvlccore.so', 'V3', 'V0', 0.16770725880883863, 2.7101564407348633]
['CV', 344, 'BV', 12, 'tac', 'sort', 'V1', 'V2', 0.0523708421797594, 0.07971811294555664]
['BV', 65, 'CV', 47, 'ssh', 'od', 'V1', 'V2', 0.11495280675608543, 3.5272459983825684]
['BV', 24, 'UV', 63, 'git', 'elfedit', 'V0', 'V1', 0.09354349474596468, 3.4471371173858643]
['UV', 76, 'BV', 40, 'as', 'lua', 'V0', 'V2', 0.06133953738087783, 2.885438919067383]
['UV', 38, 'CV', 29, 'xargs', 'tail', 'V3', 'V2', 0.07626023265833692, 0.08062195777893066]
['CV', 131, 'BV', 67, 'true', 'cluster', 'V3', 'V0', 0.13572386058981234, 0.09101223945617676]
['UV', 62, 'CV', 177, 'ar', 'test', 'V1', 'V0', 0.14709371293001183, 0.9105367660522461]
['UV', 73, 'CV', 66, 'nm', 'link', 'V0', 'V2', 0.14848289218850874, 0.7896053791046143]
['UV', 50, 'BV', 77, 'find', 'perl', 'V1', 'V2', 0.0693892087612038, 3.288193941116333]
['CV', 228, 'BV', 33, 'false', 'openssl', 'V0', 'V0', 0.10451149153504213, 5.315626382827759]
['BV', 70, 'CV', 274, 'ssh', 'join', 'V0', 'V1', 0.11631591637102612, 3.2268686294555664]
['BV', 8, 'CV', 116, 'cluster', 'tail', 'V2', 'V3', 0.09491268033409261, 0.15198540687561035]
['UV', 55, 'BV', 26, 'ranlib', 'geany', 'V1', 'V2', 0.12699353952748038, 33.0045907497406]
['CV', 53, 'BV', 64, 'tty', 'openssl', 'V2', 'V2', 0.2889727319499229, 4.551759243011475]
['CV', 221, 'BV', 56, 'od', 'ssh', 'V0', 'V3', 0.145914904724615, 1.2802245616912842]
['CV', 148, 'BV', 22, 'ginstall', 'cmp', 'V3', 'V3', 0.11820563195808775, 0.10678410530090332]
['BV', 12, 'UV', 80, 'sort', 'objcopy', 'V2', 'V0', 0.1142126858142194, 1.3915982246398926]
['BV', 32, 'CV', 118, 'perl', 'sha1sum', 'V0', 'V3', 0.1071829638564239, 1.9350454807281494]
['UV', 20, 'CV', 104, 'size', 'mkfifo', 'V2', 'V3', 0.14558366622281405, 0.8746683597564697]
['BV', 79, 'CV', 277, 'bash', 'dd', 'V3', 'V1', 0.12287559483344668, 2.4813127517700195]
['CV', 190, 'UV', 6, 'dd', 'sdiff', 'V0', 'V2', 0.05633017289459008, 0.045548439025878906]
['UV', 46, 'CV', 272, 'diff', 'printenv', 'V1', 'V1', 0.13749161636485585, 0.07448005676269531]
['BV', 5, 'CV', 99, 'libvlccore.so', 'stty', 'V0', 'V3', 0.16449774144977414, 2.719696283340454]
['BV', 73, 'CV', 59, 'geany', 'head', 'V0', 'V2', 0.18475652154408628, 14.250815391540527]
['CV', 134, 'BV', 35, 'od', 'libvlccore.so', 'V3', 'V2', 0.158020525797835, 3.4329471588134766]
['CV', 126, 'UV', 29, 'whoami', 'objcopy', 'V3', 'V3', 0.14082278481012656, 1.1170542240142822]
['BV', 6, 'CV', 312, 'libvlc.so', 'printf', 'V0', 'V1', 0.18946862226496752, 0.22408127784729004]
['CV', 71, 'BV', 81, '[', 'dot', 'V2', 'V1', 0.14030915576694414, 0.013117790222167969]
['CV', 281, 'UV', 32, 'tee', 'addr2line', 'V1', 'V3', 0.15138416260461696, 0.8605096340179443]
['UV', 53, 'BV', 18, 'readelf', 'sort', 'V1', 'V3', 0.02669524551831648, 0.19715452194213867]
['CV', 223, 'BV', 48, 'tsort', 'gvmap', 'V0', 'V3', 0.1441818725695483, 0.1045989990234375]
['BV', 14, 'CV', 335, 'openssl', 'pathchk', 'V3', 'V1', 0.29307263744349843, 5.182477951049805]
['CV', 60, 'UV', 41, 'hostid', 'cmp', 'V2', 'V3', 0.09113100081366965, 0.022779226303100586]
['UV', 65, 'CV', 37, 'objdump', 'seq', 'V1', 'V2', 0.13514545801769684, 1.3966059684753418]
['UV', 36, 'CV', 42, 'objdump', 'dircolors', 'V3', 'V2', 0.13788674839462933, 1.6240994930267334]
['UV', 23, 'CV', 286, 'strip', 'expand', 'V3', 'V1', 0.14436136120860676, 1.0481085777282715]
['UV', 51, 'CV', 119, 'nm', 'paste', 'V1', 'V3', 0.1426347201799152, 0.90628981590271]
['CV', 122, 'BV', 33, 'sum', 'openssl', 'V3', 'V0', 0.10130046311456242, 5.52505898475647]
['BV', 6, 'CV', 308, 'libvlc.so', 'od', 'V0', 'V1', 0.1810102899906455, 0.23230433464050293]
['BV', 43, 'UV', 84, 'lua', 'ar', 'V0', 'V0', 0.05703979947423121, 1.898470401763916]
['UV', 14, 'CV', 294, 'objcopy', 'sync', 'V2', 'V1', 0.1444855438967313, 1.043750286102295]
['CV', 95, 'UV', 10, 'du', 'as', 'V3', 'V2', 0.11125436475960249, 2.035717487335205]
['CV', 87, 'UV', 38, 'touch', 'xargs', 'V3', 'V3', 0.06283149734802118, 0.08471155166625977]
['CV', 313, 'BV', 59, 'logname', 'make', 'V1', 'V1', 0.14522212908633692, 0.16463160514831543]
['UV', 40, 'CV', 173, 'diff3', 'ln', 'V3', 'V3', 0.057536466774716355, 0.07080888748168945]
['BV', 19, 'UV', 34, 'cp', 'elfedit', 'V3', 'V3', 0.11186319914499465, 0.08851194381713867]
['CV', 192, 'UV', 9, 'pwd', 'readelf', 'V0', 'V2', 0.10490904560179415, 0.09585261344909668]
['UV', 63, 'BV', 33, 'elfedit', 'openssl', 'V1', 'V0', 0.10161581576417067, 5.656606197357178]
['CV', 343, 'BV', 38, 'sort', 'ruby', 'V1', 'V2', 0.23627287853577372, 0.01983642578125]
['UV', 37, 'CV', 202, 'locate', 'chown', 'V3', 'V0', 0.12161223071577487, 0.10982346534729004]
['UV', 34, 'CV', 310, 'elfedit', 'tsort', 'V3', 'V1', 0.08975444538526678, 0.023850202560424805]
['CV', 288, 'BV', 71, 'expr', 'ruby', 'V1', 'V1', 0.17213114754098358, 0.015393495559692383]
['CV', 76, 'UV', 63, 'comm', 'elfedit', 'V2', 'V1', 0.05350118017309202, 0.0248873233795166]
['UV', 14, 'CV', 167, 'objcopy', 'uniq', 'V2', 'V3', 0.13275299238302507, 1.1931936740875244]
['CV', 20, 'UV', 28, 'tee', 'strings', 'V2', 'V3', 0.1489653909540377, 0.8847002983093262]
['UV', 8, 'CV', 38, 'strip', 'split', 'V2', 'V2', 0.1303156984287156, 1.192563772201538]
['CV', 258, 'BV', 73, 'rmdir', 'geany', 'V0', 'V0', 0.18691567679869925, 14.128138303756714]
['BV', 75, 'CV', 150, 'cmp', 'mv', 'V2', 'V3', 0.10713133268796382, 0.10150265693664551]
['CV', 87, 'UV', 16, 'touch', 'gprof', 'V3', 'V2', 0.1294855509685615, 1.0710151195526123]
['CV', 221, 'UV', 0, 'od', 'locate', 'V0', 'V2', 0.10679611650485432, 0.05352616310119629]
['CV', 330, 'UV', 9, 'csplit', 'readelf', 'V1', 'V2', 0.0609951845906902, 0.15004920959472656]
['BV', 17, 'CV', 337, 'codeblocks', 'comm', 'V2', 'V1', 0.18729203822503793, 9.810074806213379]
['BV', 1, 'CV', 52, 'libSDL2-2.0.so', 'logname', 'V3', 'V2', 0.19453815993434853, 4.873708486557007]
['UV', 47, 'CV', 100, 'sdiff', 'join', 'V1', 'V3', 0.04026170105686966, 0.04603743553161621]
['UV', 85, 'BV', 29, 'elfedit', 'perl', 'V0', 'V3', 0.10213684285006719, 2.418272018432617]
['UV', 39, 'CV', 287, 'find', 'date', 'V3', 'V1', 0.1469901168014376, 0.29459357261657715]
['BV', 57, 'CV', 8, 'svn', 'du', 'V2', 'V2', 0.1586648376771833, 0.5061779022216797]
['BV', 59, 'CV', 168, 'make', 'sleep', 'V1', 'V3', 0.1302788844621514, 0.1842503547668457]
['BV', 75, 'UV', 32, 'cmp', 'addr2line', 'V2', 'V3', 0.14173439314101988, 0.9456861019134521]
['CV', 87, 'UV', 41, 'touch', 'cmp', 'V3', 'V3', 0.05558496559025938, 0.04634499549865723]
['CV', 12, 'UV', 58, 'stty', 'objcopy', 'V2', 'V1', 0.1309752747252747, 1.2243423461914062]
['CV', 269, 'UV', 44, 'du', 'diff3', 'V1', 'V1', 0.049353138476281755, 0.0595247745513916]
['UV', 3, 'CV', 124, 'diff3', 'seq', 'V2', 'V3', 0.053714285714285714, 0.0394895076751709]
['CV', 185, 'BV', 81, 'printenv', 'dot', 'V0', 'V1', 0.11367673179396087, 0.008640289306640625]
['UV', 83, 'CV', 33, 'addr2line', 'sync', 'V0', 'V2', 0.14890414824569653, 0.754906415939331]
['BV', 1, 'UV', 9, 'libSDL2-2.0.so', 'readelf', 'V3', 'V2', 0.1562412566449498, 6.220200538635254]
['CV', 55, 'BV', 35, 'nohup', 'libvlccore.so', 'V2', 'V2', 0.1655377816207907, 3.273808240890503]
['BV', 28, 'CV', 285, 'openssl', 'factor', 'V1', 'V1', 0.10414668421404827, 6.047593355178833]
['BV', 76, 'CV', 268, 'diff', 'dir', 'V2', 'V1', 0.047259507829977676, 0.14932775497436523]
['UV', 69, 'CV', 117, 'sdiff', 'pinky', 'V0', 'V3', 0.052169137836353685, 0.04495072364807129]
['BV', 78, 'CV', 196, 'make', 'kill', 'V2', 'V0', 0.14076484947111467, 0.17980217933654785]
['CV', 146, 'UV', 64, 'head', 'size', 'V3', 'V1', 0.13853751516201696, 0.9108846187591553]
['BV', 81, 'CV', 39, 'dot', 'whoami', 'V1', 'V2', 0.125, 0.010650873184204102]
['CV', 66, 'UV', 71, 'link', 'xargs', 'V2', 'V0', 0.06605504587155964, 0.019922494888305664]
['UV', 66, 'CV', 69, 'diff3', 'csplit', 'V0', 'V2', 0.042315369261477054, 0.06243252754211426]
['CV', 210, 'BV', 78, 'chroot', 'make', 'V0', 'V2', 0.14630125695446117, 0.17810964584350586]
['UV', 2, 'BV', 33, 'find', 'openssl', 'V2', 'V0', 0.08633141045400505, 7.295478105545044]
