['BV', 16, 'UV', 35, 'libvlc.so', 'size', 'V3', 'V3', 0.062425762175003285, 2.0500600337982178]
['UV', 56, 'CV', 221, 'c++filt', 'od', 'V1', 'V0', 0.14262734584450398, 0.8445661067962646]
['CV', 83, 'BV', 57, 'tac', 'svn', 'V2', 'V2', 0.17505190864079223, 0.43838071823120117]
['CV', 151, 'BV', 26, 'md5sum', 'geany', 'V3', 'V2', 0.18182668037767602, 20.622061014175415]
['CV', 184, 'BV', 75, 'ptx', 'cmp', 'V0', 'V2', 0.04292682926829272, 0.09002184867858887]
['BV', 64, 'CV', 36, 'openssl', 'chroot', 'V2', 'V2', 0.28523642136296634, 4.393689870834351]
['UV', 80, 'CV', 146, 'objcopy', 'head', 'V0', 'V3', 0.13010729766218998, 1.1163809299468994]
['CV', 309, 'UV', 55, 'df', 'ranlib', 'V1', 'V1', 0.13829082477641608, 1.000370740890503]
['CV', 220, 'BV', 67, 'cut', 'cluster', 'V0', 'V0', 0.1382724479344486, 0.12961554527282715]
['CV', 329, 'UV', 52, 'cat', 'strip', 'V1', 'V1', 0.1370026711654717, 1.1496446132659912]
['BV', 71, 'CV', 6, 'ruby', 'fmt', 'V1', 'V2', 0.21712538226299694, 0.007653951644897461]
['UV', 29, 'CV', 232, 'objcopy', 'readlink', 'V3', 'V0', 0.14430708180708174, 1.0310165882110596]
['CV', 81, 'BV', 27, 'sleep', 'libSDL2-2.0.so', 'V2', 'V1', 0.19434296468504375, 3.4239346981048584]
['CV', 252, 'UV', 45, 'rm', 'cmp', 'V0', 'V1', 0.03960396039603964, 0.03560328483581543]
['CV', 162, 'BV', 23, 'tr', 'diff', 'V3', 'V3', 0.10593637258117417, 0.10492992401123047]
['CV', 162, 'BV', 44, 'tr', 'make', 'V3', 'V0', 0.11350010336985739, 0.17722630500793457]
['CV', 212, 'UV', 34, 'split', 'elfedit', 'V0', 'V3', 0.07460317460317456, 0.025922060012817383]
['BV', 75, 'UV', 36, 'cmp', 'objdump', 'V2', 'V3', 0.13269130961305575, 1.7525789737701416]
['BV', 76, 'UV', 20, 'diff', 'size', 'V2', 'V2', 0.10866863445704522, 1.2720234394073486]
['CV', 256, 'BV', 56, 'sort', 'ssh', 'V0', 'V3', 0.13922673153245424, 1.4332375526428223]
['BV', 35, 'UV', 68, 'libvlccore.so', 'diff', 'V2', 'V0', 0.14534542665042194, 3.818640947341919]
['CV', 9, 'BV', 61, 'users', 'cmp', 'V2', 'V0', 0.06600660066006603, 0.015488386154174805]
['UV', 13, 'CV', 308, 'strings', 'od', 'V2', 'V1', 0.14487316898892466, 0.881157636642456]
['BV', 1, 'CV', 241, 'libSDL2-2.0.so', 'uname', 'V3', 'V0', 0.19648752751283927, 4.811221361160278]
['CV', 346, 'UV', 27, 'mknod', 'c++filt', 'V1', 'V3', 0.1519589552238806, 0.831749439239502]
['BV', 2, 'UV', 79, 'cmp', 'strings', 'V1', 'V0', 0.13830178276052196, 0.8316099643707275]
['CV', 209, 'BV', 79, 'sum', 'bash', 'V0', 'V3', 0.12728212194281774, 2.424546957015991]
['UV', 23, 'CV', 207, 'strip', 'sync', 'V3', 'V0', 0.14651930309310002, 1.030503511428833]
['CV', 299, 'UV', 46, 'split', 'diff', 'V1', 'V1', 0.1164556962025316, 0.08670926094055176]
['UV', 3, 'BV', 43, 'diff3', 'lua', 'V2', 'V0', 0.11871165644171777, 0.3132784366607666]
['UV', 31, 'CV', 77, 'gprof', 'nl', 'V3', 'V2', 0.12875059533259248, 1.029283046722412]
['UV', 87, 'CV', 261, 'objdump', 'touch', 'V0', 'V1', 0.13326758711374098, 1.3038828372955322]
['UV', 47, 'CV', 79, 'sdiff', 'fold', 'V1', 'V2', 0.08990944372574383, 0.06562256813049316]
['CV', 44, 'UV', 18, 'true', 'ar', 'V2', 'V2', 0.15032064985036342, 0.9661357402801514]
['BV', 1, 'CV', 264, 'libSDL2-2.0.so', 'test', 'V3', 'V1', 0.19447105515259344, 4.906954526901245]
['BV', 15, 'CV', 26, 'libvlccore.so', 'date', 'V3', 'V2', 0.16161951775204098, 3.2622766494750977]
['UV', 74, 'CV', 144, 'strip', 'who', 'V0', 'V3', 0.128595720561145, 1.19087553024292]
['BV', 76, 'CV', 315, 'diff', 'false', 'V2', 'V1', 0.15814135103475202, 0.06803655624389648]
['CV', 341, 'BV', 65, 'uniq', 'ssh', 'V1', 'V1', 0.11781840096424268, 3.4600353240966797]
['CV', 37, 'BV', 9, 'seq', 'dot', 'V2', 'V2', 0.14133016627078387, 0.025199413299560547]
['UV', 23, 'CV', 338, 'strip', 'nl', 'V3', 'V1', 0.12935753385191584, 1.1816377639770508]
['UV', 5, 'CV', 169, 'diff', 'sort', 'V2', 'V3', 0.024077046548956704, 0.19349312782287598]
['BV', 80, 'CV', 16, 'cluster', 'dd', 'V1', 'V2', 0.10707559860102234, 0.13829636573791504]
['UV', 26, 'CV', 291, 'ranlib', 'pinky', 'V3', 'V1', 0.14639581726236395, 0.9590198993682861]
['CV', 129, 'UV', 77, 'dircolors', 'ranlib', 'V3', 'V0', 0.13947254647643748, 0.9154980182647705]
['BV', 75, 'CV', 51, 'cmp', 'printf', 'V2', 'V2', 0.037234042553191515, 0.03320908546447754]
['BV', 75, 'CV', 171, 'cmp', 'rmdir', 'V2', 'V3', 0.049965776865160905, 0.03167104721069336]
['CV', 2, 'BV', 80, 'unlink', 'cluster', 'V2', 'V1', 0.1467205470935654, 0.1005239486694336]
['UV', 80, 'CV', 167, 'objcopy', 'uniq', 'V0', 'V3', 0.1283464010736738, 1.1330552101135254]
['UV', 37, 'CV', 38, 'locate', 'split', 'V3', 'V2', 0.10357142857142854, 0.11368060111999512]
['CV', 127, 'UV', 78, 'ls', 'c++filt', 'V3', 'V0', 0.10509449465899756, 1.1292243003845215]
['CV', 30, 'UV', 74, 'pinky', 'strip', 'V2', 'V0', 0.132400430570506, 1.1404259204864502]
['CV', 205, 'BV', 29, 'sha1sum', 'perl', 'V0', 'V3', 0.1039945884363429, 2.3494839668273926]
['CV', 117, 'BV', 25, 'pinky', 'git', 'V3', 'V3', 0.08640658100230403, 8.978581190109253]
['BV', 70, 'UV', 7, 'ssh', 'nm', 'V0', 'V2', 0.04541166271450059, 7.8182594776153564]
['UV', 83, 'CV', 84, 'addr2line', 'rmdir', 'V0', 'V2', 0.14407644493923366, 0.801490068435669]
['CV', 4, 'BV', 66, 'basename', 'lua', 'V2', 'V1', 0.1372518849053701, 0.27805447578430176]
['CV', 252, 'UV', 15, 'rm', 'ld', 'V0', 'V2', 0.13080728852419454, 1.5785419940948486]
['CV', 290, 'UV', 73, 'tail', 'nm', 'V1', 'V0', 0.13922572532111743, 0.8743441104888916]
['CV', 265, 'UV', 84, 'basename', 'ar', 'V1', 'V0', 0.14941606490148884, 0.8408539295196533]
['UV', 85, 'BV', 36, 'elfedit', 'libvlc.so', 'V0', 'V2', 0.1769431988041854, 0.338942289352417]
['CV', 176, 'BV', 52, 'unlink', 'libSDL2-2.0.so', 'V0', 'V2', 0.1970619097586569, 3.7916927337646484]
['UV', 0, 'CV', 33, 'locate', 'sync', 'V2', 'V2', 0.13758389261744963, 0.04291343688964844]
['CV', 296, 'UV', 15, 'sum', 'ld', 'V1', 'V2', 0.13507879085167696, 1.5274434089660645]
['CV', 227, 'BV', 42, 'tty', 'libvlc.so', 'V0', 'V1', 0.19020758122743686, 0.21596002578735352]
['CV', 238, 'BV', 78, 'md5sum', 'make', 'V0', 'V2', 0.13615400040104275, 0.19070172309875488]
['CV', 336, 'BV', 67, 'tr', 'cluster', 'V1', 'V0', 0.1329556814395202, 0.09282898902893066]
['BV', 22, 'UV', 16, 'cmp', 'gprof', 'V3', 'V2', 0.13737208350388863, 1.009227991104126]
['UV', 37, 'CV', 206, 'locate', 'paste', 'V3', 'V0', 0.16981132075471694, 0.07901859283447266]
['CV', 65, 'UV', 38, 'env', 'xargs', 'V2', 'V3', 0.14952220348510403, 0.051743507385253906]
['UV', 65, 'CV', 80, 'objdump', 'uniq', 'V1', 'V2', 0.13409451316206789, 1.3923091888427734]
['UV', 37, 'CV', 70, 'locate', 'vdir', 'V3', 'V2', 0.05063291139240511, 0.18538761138916016]
['CV', 22, 'BV', 81, 'kill', 'dot', 'V2', 'V1', 0.14602346805736632, 0.012605667114257812]
['CV', 301, 'UV', 37, 'ls', 'locate', 'V1', 'V3', 0.06701479547432554, 0.1627364158630371]
['CV', 152, 'UV', 44, 'env', 'diff3', 'V3', 'V1', 0.06646341463414629, 0.03457474708557129]
['BV', 73, 'UV', 75, 'geany', 'readelf', 'V0', 'V0', 0.1700735545672254, 16.097078800201416]
['BV', 27, 'CV', 183, 'libSDL2-2.0.so', 'users', 'V1', 'V0', 0.19626064214567918, 3.40173077583313]
['BV', 18, 'CV', 235, 'sort', 'ginstall', 'V3', 'V0', 0.06812070510905288, 0.12839722633361816]
['BV', 5, 'CV', 50, 'libvlccore.so', 'cksum', 'V0', 'V2', 0.1720004398988233, 2.536384105682373]
['BV', 60, 'UV', 12, 'codeblocks', 'c++filt', 'V1', 'V2', 0.11542541905368131, 16.322094202041626]
['BV', 82, 'CV', 118, 'gvmap', 'sha1sum', 'V1', 'V3', 0.1198798470780994, 0.12487912178039551]
['BV', 28, 'CV', 154, 'openssl', 'uname', 'V1', 'V3', 0.103287324131493, 6.084784269332886]
['CV', 227, 'BV', 30, 'tty', 'bash', 'V0', 'V0', 0.13271898632744028, 1.9016406536102295]
['BV', 61, 'UV', 64, 'cmp', 'size', 'V0', 'V1', 0.14897646316169177, 0.8322117328643799]
['CV', 333, 'BV', 54, 'id', 'lua', 'V1', 'V3', 0.1362460868381652, 0.3500406742095947]
['BV', 50, 'CV', 16, 'sort', 'dd', 'V0', 'V2', 0.025843881856540074, 0.046021461486816406]
['CV', 82, 'BV', 37, 'sort', 'geany', 'V2', 'V1', 0.17796707724185568, 20.814362287521362]
['CV', 340, 'UV', 17, 'fold', 'addr2line', 'V1', 'V2', 0.15085621092688228, 0.8805234432220459]
['UV', 36, 'CV', 51, 'objdump', 'printf', 'V3', 'V2', 0.13439898436147502, 1.710817813873291]
['BV', 4, 'CV', 90, 'geany', 'test', 'V3', 'V3', 0.18099186455966276, 23.741424083709717]
['UV', 83, 'CV', 1, 'addr2line', 'stat', 'V0', 'V2', 0.14390356977283258, 0.8072638511657715]
['UV', 49, 'BV', 48, 'xargs', 'gvmap', 'V1', 'V3', 0.11726560389084029, 0.12917828559875488]
['CV', 76, 'UV', 68, 'comm', 'diff', 'V2', 'V0', 0.11190760653126242, 0.06613755226135254]
['BV', 19, 'UV', 61, 'cp', 'addr2line', 'V3', 'V1', 0.10902255639097747, 1.208010196685791]
['BV', 29, 'CV', 60, 'perl', 'hostid', 'V3', 'V2', 0.10487491982039765, 2.2389066219329834]
['BV', 43, 'CV', 301, 'lua', 'ls', 'V0', 'V1', 0.10008728542333434, 0.38319873809814453]
['CV', 97, 'BV', 33, 'ptx', 'openssl', 'V3', 'V0', 0.0993787380036163, 5.721237897872925]
['UV', 77, 'CV', 48, 'ranlib', 'df', 'V0', 'V2', 0.12959251837007346, 0.9739830493927002]
['CV', 331, 'BV', 65, 'vdir', 'ssh', 'V1', 'V1', 0.10919052899354253, 4.075169086456299]
['CV', 209, 'UV', 62, 'sum', 'ar', 'V0', 'V1', 0.14459459459459456, 0.9607934951782227]
['UV', 18, 'CV', 19, 'ar', 'pr', 'V2', 'V2', 0.13857060423707857, 1.0119099617004395]
['CV', 205, 'UV', 41, 'sha1sum', 'cmp', 'V0', 'V3', 0.07968127490039845, 0.02735424041748047]
['UV', 17, 'CV', 269, 'addr2line', 'du', 'V2', 'V1', 0.13003756830601088, 1.003584623336792]
['CV', 118, 'UV', 45, 'sha1sum', 'cmp', 'V3', 'V1', 0.04069379586390931, 0.0348668098449707]
['UV', 19, 'CV', 307, 'elfedit', 'cut', 'V2', 'V1', 0.06366723259762308, 0.0245358943939209]
['UV', 84, 'CV', 297, 'ar', 'chroot', 'V0', 'V1', 0.14962526766595285, 0.8301098346710205]
['BV', 45, 'CV', 8, 'svn', 'du', 'V3', 'V2', 0.17438026621077052, 0.7603750228881836]
['UV', 14, 'CV', 191, 'objcopy', 'mkfifo', 'V2', 'V0', 0.1434920156673697, 1.0601866245269775]
['UV', 13, 'CV', 269, 'strings', 'du', 'V2', 'V1', 0.12959945106784465, 1.0062389373779297]
['UV', 44, 'CV', 162, 'diff3', 'tr', 'V1', 'V3', 0.04831460674157306, 0.039459228515625]
['BV', 79, 'CV', 301, 'bash', 'ls', 'V3', 'V1', 0.11513868128217908, 2.8063576221466064]
['BV', 19, 'UV', 7, 'cp', 'nm', 'V3', 'V2', 0.11187072715972657, 1.27811861038208]
