['CV', 29, 'BV', 9, 'tail', 'dot', 'V2', 'V2', 0.17154471544715444, 0.023794889450073242]
['UV', 37, 'CV', 13, 'locate', 'join', 'V3', 'V2', 0.12482517482517486, 0.10634374618530273]
['UV', 45, 'CV', 104, 'cmp', 'mkfifo', 'V1', 'V3', 0.05976676384839652, 0.02980327606201172]
['UV', 20, 'CV', 313, 'size', 'logname', 'V2', 'V1', 0.15278408574802438, 0.8830454349517822]
['UV', 39, 'BV', 58, 'find', 'ruby', 'V3', 'V3', 0.19760717846460618, 0.22682428359985352]
['BV', 27, 'CV', 67, 'libSDL2-2.0.so', 'uname', 'V1', 'V2', 0.19574751568311777, 3.553774833679199]
['CV', 259, 'BV', 75, 'mknod', 'cmp', 'V0', 'V2', 0.09446808510638294, 0.02522873878479004]
['CV', 251, 'UV', 7, 'nl', 'nm', 'V0', 'V2', 0.13391072618254496, 1.0604515075683594]
['CV', 3, 'UV', 87, 'test', 'objdump', 'V2', 'V0', 0.13569263213391325, 1.3918275833129883]
['CV', 101, 'UV', 6, 'dirname', 'sdiff', 'V3', 'V2', 0.09005037783375314, 0.03624320030212402]
['BV', 43, 'CV', 77, 'lua', 'nl', 'V0', 'V2', 0.10961707103186202, 0.3409271240234375]
['CV', 286, 'UV', 15, 'expand', 'ld', 'V1', 'V2', 0.13758471965496, 1.5408334732055664]
['CV', 290, 'BV', 52, 'tail', 'libSDL2-2.0.so', 'V1', 'V2', 0.18876739052312752, 4.2798192501068115]
['CV', 191, 'UV', 87, 'mkfifo', 'objdump', 'V0', 'V0', 0.13919316056639053, 1.3388254642486572]
['CV', 212, 'UV', 23, 'split', 'strip', 'V0', 'V3', 0.1409528137544498, 1.1926195621490479]
['BV', 8, 'UV', 84, 'cluster', 'ar', 'V2', 'V0', 0.09593280282935457, 1.4374921321868896]
['CV', 45, 'UV', 37, 'cp', 'locate', 'V2', 'V3', 0.053735255570117935, 0.19360780715942383]
['BV', 0, 'UV', 76, 'bash', 'as', 'V2', 'V0', 0.020841047341973007, 7.973897933959961]
['UV', 40, 'CV', 313, 'diff3', 'logname', 'V3', 'V1', 0.11546685673556667, 0.028518199920654297]
['BV', 41, 'CV', 84, 'libvlccore.so', 'rmdir', 'V1', 'V2', 0.1632270168855534, 2.704221725463867]
['BV', 82, 'CV', 81, 'gvmap', 'sleep', 'V1', 'V2', 0.13780098636495497, 0.11599850654602051]
['BV', 80, 'CV', 120, 'cluster', 'sync', 'V1', 'V3', 0.13345195729537362, 0.11831259727478027]
['BV', 0, 'CV', 306, 'bash', 'cp', 'V2', 'V1', 0.11991471957533828, 2.643068790435791]
['CV', 38, 'BV', 65, 'split', 'ssh', 'V2', 'V1', 0.1143423007096881, 3.850877523422241]
['CV', 95, 'BV', 78, 'du', 'make', 'V3', 'V2', 0.07416758718636585, 0.35892391204833984]
['UV', 30, 'CV', 283, 'ld', 'kill', 'V3', 'V1', 0.14552712756305575, 1.8124723434448242]
['CV', 140, 'BV', 9, 'tty', 'dot', 'V3', 'V2', 0.14321295143212953, 0.013952016830444336]
['CV', 179, 'UV', 10, 'mkdir', 'as', 'V0', 'V2', 0.13134932100548968, 1.7913196086883545]
['CV', 309, 'BV', 12, 'df', 'sort', 'V1', 'V2', 0.08089500860585197, 0.0732262134552002]
['UV', 27, 'CV', 283, 'c++filt', 'kill', 'V3', 'V1', 0.15141074587950465, 0.9063303470611572]
['CV', 142, 'BV', 42, 'nohup', 'libvlc.so', 'V3', 'V1', 0.16792452830188676, 0.27248406410217285]
['BV', 1, 'CV', 291, 'libSDL2-2.0.so', 'pinky', 'V3', 'V1', 0.19280719280719283, 5.417012691497803]
['BV', 20, 'CV', 320, 'sort', 'head', 'V1', 'V1', 0.09112854556427274, 0.03964972496032715]
['CV', 11, 'UV', 25, 'printenv', 'as', 'V2', 'V3', 0.13424848766868314, 1.6739652156829834]
['CV', 25, 'BV', 50, 'expand', 'sort', 'V2', 'V0', 0.08316008316008316, 0.02996540069580078]
['CV', 238, 'BV', 60, 'md5sum', 'codeblocks', 'V0', 'V1', 0.1863544610415826, 10.28223180770874]
['BV', 5, 'CV', 42, 'libvlccore.so', 'dircolors', 'V0', 'V2', 0.170547307291952, 2.7494773864746094]
['CV', 6, 'UV', 7, 'fmt', 'nm', 'V2', 'V2', 0.1476563187054789, 0.9749388694763184]
['CV', 10, 'UV', 31, 'ptx', 'gprof', 'V2', 'V3', 0.12137345679012346, 1.2265052795410156]
['CV', 12, 'UV', 52, 'stty', 'strip', 'V2', 'V1', 0.1309752747252747, 1.2889282703399658]
['CV', 278, 'BV', 76, 'mkfifo', 'diff', 'V1', 'V2', 0.15099388379204892, 0.07619714736938477]
['CV', 10, 'BV', 29, 'ptx', 'perl', 'V2', 'V3', 0.09509978130125751, 2.923947811126709]
['CV', 287, 'BV', 21, 'date', 'cp', 'V1', 'V1', 0.07644394110985275, 0.04889726638793945]
['UV', 61, 'CV', 268, 'addr2line', 'dir', 'V1', 'V1', 0.12246929970129439, 1.1446247100830078]
['UV', 25, 'BV', 23, 'as', 'diff', 'V3', 'V3', 0.10662596705436556, 2.225360631942749]
['BV', 76, 'CV', 250, 'diff', 'comm', 'V2', 'V0', 0.139344262295082, 0.08788537979125977]
['BV', 44, 'CV', 78, 'make', 'rm', 'V0', 'V2', 0.10035419126328216, 0.21229314804077148]
['CV', 316, 'UV', 79, 'nohup', 'strings', 'V1', 'V0', 0.14711710861564598, 0.8425238132476807]
['UV', 65, 'CV', 68, 'objdump', 'cat', 'V1', 'V2', 0.1302331411381299, 1.5372459888458252]
['UV', 13, 'CV', 266, 'strings', 'mkdir', 'V2', 'V1', 0.1457809694793537, 0.934520959854126]
['UV', 0, 'BV', 36, 'locate', 'libvlc.so', 'V2', 'V2', 0.14749458964541362, 0.4762916564941406]
['CV', 273, 'BV', 3, 'stty', 'diff', 'V1', 'V1', 0.11465482438433594, 0.0725095272064209]
['UV', 39, 'CV', 26, 'find', 'date', 'V3', 'V2', 0.14270575768279758, 0.3169693946838379]
['BV', 70, 'CV', 252, 'ssh', 'rm', 'V0', 'V0', 0.11500359921845538, 3.4781620502471924]
['BV', 57, 'CV', 175, 'svn', 'stat', 'V2', 'V0', 0.21771082123828767, 0.38158535957336426]
['CV', 14, 'BV', 69, 'dirname', 'gvmap', 'V2', 'V0', 0.14098789663068367, 0.09544563293457031]
['CV', 258, 'UV', 47, 'rmdir', 'sdiff', 'V0', 'V1', 0.12912692589875274, 0.029038190841674805]
['BV', 77, 'UV', 39, 'perl', 'find', 'V2', 'V3', 0.05925040553231453, 3.975827693939209]
['CV', 208, 'BV', 43, 'echo', 'lua', 'V0', 'V0', 0.14811031664964247, 0.26100850105285645]
['UV', 65, 'CV', 330, 'objdump', 'csplit', 'V1', 'V1', 0.12209302325581395, 1.6451845169067383]
['UV', 52, 'CV', 229, 'strip', 'nohup', 'V1', 'V0', 0.1371709371709372, 1.2253179550170898]
['CV', 55, 'BV', 73, 'nohup', 'geany', 'V2', 'V0', 0.18526093405852473, 15.164995193481445]
['CV', 150, 'BV', 61, 'mv', 'cmp', 'V3', 'V0', 0.1506493506493507, 0.0793771743774414]
['BV', 42, 'CV', 128, 'libvlc.so', 'nice', 'V1', 'V3', 0.17317125186606952, 0.25472474098205566]
['UV', 3, 'CV', 285, 'diff3', 'factor', 'V2', 'V1', 0.09859154929577463, 0.030426025390625]
['CV', 345, 'BV', 50, 'rmdir', 'sort', 'V1', 'V0', 0.10291858678955457, 0.026958942413330078]
['BV', 63, 'UV', 1, 'ruby', 'xargs', 'V0', 'V2', 0.1118696235498382, 10.388500690460205]
['UV', 20, 'CV', 42, 'size', 'dircolors', 'V2', 'V2', 0.1481415296640458, 0.9124810695648193]
['UV', 30, 'CV', 270, 'ld', 'users', 'V3', 'V1', 0.1456469165659009, 1.7467129230499268]
['CV', 267, 'BV', 14, 'fmt', 'openssl', 'V1', 'V3', 0.291749659293427, 5.592870473861694]
['BV', 82, 'UV', 18, 'gvmap', 'ar', 'V1', 'V2', 0.09677646892854619, 1.6076505184173584]
['BV', 21, 'UV', 2, 'cp', 'find', 'V1', 'V2', 0.10588492671187921, 0.21922945976257324]
['CV', 263, 'UV', 86, 'unlink', 'size', 'V1', 'V0', 0.1293877551020408, 0.7891960144042969]
['BV', 58, 'CV', 199, 'ruby', 'expand', 'V3', 'V0', 0.22799999999999998, 0.006040811538696289]
['BV', 45, 'CV', 336, 'svn', 'tr', 'V3', 'V1', 0.22083216193421418, 0.587522029876709]
['CV', 216, 'BV', 70, 'dircolors', 'ssh', 'V0', 'V0', 0.11790770935022676, 3.387425422668457]
['BV', 32, 'CV', 31, 'perl', 'sha1sum', 'V0', 'V2', 0.10884952045901919, 2.0200893878936768]
['BV', 76, 'UV', 70, 'diff', 'locate', 'V2', 'V0', 0.048094612352168165, 0.16166043281555176]
['CV', 345, 'UV', 56, 'rmdir', 'c++filt', 'V1', 'V1', 0.14952502740226525, 0.860966682434082]
['BV', 54, 'CV', 171, 'lua', 'rmdir', 'V3', 'V3', 0.12738769595573707, 0.40232229232788086]
['BV', 45, 'CV', 172, 'svn', 'mknod', 'V3', 'V3', 0.21648914096002214, 0.615342378616333]
['BV', 71, 'CV', 70, 'ruby', 'vdir', 'V1', 'V2', 0.23812316715542525, 0.039144039154052734]
['BV', 77, 'CV', 317, 'perl', 'yes', 'V2', 'V1', 0.09308867301213486, 2.2046868801116943]
['CV', 259, 'UV', 22, 'mknod', 'nm', 'V0', 'V3', 0.15201663953698685, 0.918424129486084]
['BV', 12, 'UV', 29, 'sort', 'objcopy', 'V2', 'V3', 0.11898096304591266, 1.4741272926330566]
['BV', 31, 'UV', 87, 'codeblocks', 'objdump', 'V0', 'V0', 0.09768284428872875, 19.22551441192627]
['CV', 29, 'BV', 72, 'tail', 'perl', 'V2', 'V1', 0.0885324411205144, 2.402620315551758]
['CV', 214, 'UV', 21, 'ls', 'objdump', 'V0', 'V2', 0.1229637084093339, 1.8085904121398926]
['CV', 118, 'UV', 34, 'sha1sum', 'elfedit', 'V3', 'V3', 0.04493628437290409, 0.03481030464172363]
['UV', 41, 'CV', 329, 'cmp', 'cat', 'V3', 'V1', 0.0887372013651877, 0.025469064712524414]
['CV', 50, 'UV', 1, 'cksum', 'xargs', 'V2', 'V2', 0.11566951566951567, 0.04065728187561035]
['BV', 16, 'CV', 296, 'libvlc.so', 'sum', 'V3', 'V1', 0.19285714285714284, 0.32817912101745605]
['UV', 76, 'CV', 288, 'as', 'expr', 'V0', 'V1', 0.12249287832102784, 1.6432983875274658]
['UV', 21, 'CV', 336, 'objdump', 'tr', 'V2', 'V1', 0.13865241206361778, 1.4402871131896973]
['CV', 262, 'BV', 29, 'stat', 'perl', 'V1', 'V3', 0.10356977613268326, 2.5381994247436523]
['CV', 148, 'UV', 41, 'ginstall', 'cmp', 'V3', 'V3', 0.11820563195808775, 0.11203789710998535]
['BV', 76, 'CV', 112, 'diff', 'expand', 'V2', 'V3', 0.11604095563139927, 0.09284520149230957]
['CV', 24, 'BV', 52, 'factor', 'libSDL2-2.0.so', 'V2', 'V2', 0.19351822997818635, 4.060284852981567]
['BV', 17, 'CV', 317, 'codeblocks', 'yes', 'V2', 'V1', 0.18830093976932938, 10.155332803726196]
['CV', 325, 'UV', 11, 'md5sum', 'ranlib', 'V1', 'V2', 0.14736931721437085, 1.01301908493042]
['UV', 43, 'BV', 41, 'sdiff', 'libvlccore.so', 'V3', 'V1', 0.15527461574778367, 2.921426773071289]
['CV', 325, 'BV', 41, 'md5sum', 'libvlccore.so', 'V1', 'V1', 0.16442790095484705, 2.6820895671844482]
['CV', 142, 'UV', 66, 'nohup', 'diff3', 'V3', 'V0', 0.05418422636965681, 0.038303375244140625]
['UV', 58, 'CV', 78, 'objcopy', 'rm', 'V1', 'V2', 0.1253115946911002, 1.3535935878753662]
['UV', 29, 'CV', 33, 'objcopy', 'sync', 'V3', 'V2', 0.1440529640057835, 1.112900733947754]
['CV', 334, 'UV', 53, 'shred', 'readelf', 'V1', 'V1', 0.07658128593831681, 0.12062621116638184]
['BV', 68, 'CV', 238, 'dot', 'md5sum', 'V0', 'V0', 0.16115702479338845, 0.013113975524902344]
['BV', 25, 'CV', 55, 'git', 'nohup', 'V3', 'V2', 0.08732967067076391, 9.050395250320435]
