['UO', 38, 'CO', 2, 'elfedit', 'stat', 'O2', 'O3', 0.08440913604766631, 0.05688309669494629]
['CO', 225, 'UO', 79, 'stdbuf', 'size', 'O2', 'O0', 0.1523876817994465, 2.1684749126434326]
['UO', 78, 'CO', 18, 'elfedit', 'uptime', 'O0', 'O3', 0.044471153846153855, 0.045487403869628906]
['CO', 67, 'BO', 42, 'nohup', 'cmp', 'O3', 'O1', 0.055746730901582886, 0.03476548194885254]
['CO', 187, 'BO', 64, 'csplit', 'dot', 'O1', 'O0', 0.197489539748954, 0.027431488037109375]
['CO', 174, 'UO', 42, 'b2sum', 'xargs', 'O1', 'O2', 0.07564575645756455, 0.08726167678833008]
['CO', 38, 'BO', 29, 'sha1sum', 'libvlc.so.12.0.0', 'O3', 'O2', 0.2138461538461538, 0.41027283668518066]
['CO', 231, 'BO', 2, 'pr', 'perl', 'O2', 'O1', 0.07398886245392033, 2.598911762237549]
['UO', 14, 'BO', 22, 'ar', 'perl', 'O1', 'O0', 0.04340757600390177, 8.818425416946411]
['CO', 391, 'BO', 60, 'link', 'openssl', 'O0', 'O0', 0.2698208221103173, 8.921039581298828]
['CO', 239, 'UO', 59, 'date', 'locate', 'O2', 'O3', 0.09216000000000002, 0.13165807723999023]
['UO', 32, 'CO', 172, 'strings', 'yes', 'O2', 'O1', 0.14658872956434377, 0.8889572620391846]
['BO', 9, 'CO', 331, 'git', 'dd', 'O0', 'O0', 0.08826992491362173, 7.2177574634552]
['CO', 305, 'UO', 13, 'uniq', 'addr2line', 'O2', 'O1', 0.1468387096774193, 1.0772418975830078]
['BO', 64, 'CO', 390, 'dot', 'chcon', 'O0', 'O0', 0.2162752594210814, 0.055713653564453125]
['BO', 65, 'CO', 387, 'gvmap', 'mv', 'O0', 'O0', 0.025081344902386116, 0.5229969024658203]
['BO', 63, 'CO', 119, 'cluster', 'join', 'O0', 'O1', 0.11469098277608913, 0.21488237380981445]
