['BV', 77, 'CV', 305, 'perl', 'true', 'V2', 'V1', 0.09316485530967655, 2.1935040950775146]
['CV', 303, 'BV', 65, 'dircolors', 'ssh', 'V1', 'V1', 0.11849168008588296, 3.6737048625946045]
['BV', 45, 'CV', 294, 'svn', 'sync', 'V3', 'V1', 0.23254129237902055, 0.5505897998809814]
['UV', 58, 'BV', 19, 'objcopy', 'cp', 'V1', 'V3', 0.1066095394115053, 1.6458828449249268]
['CV', 306, 'UV', 14, 'cp', 'objcopy', 'V1', 'V2', 0.12605221857611637, 1.3294191360473633]
['UV', 58, 'CV', 201, 'objcopy', 'expr', 'V1', 'V0', 0.12431140903962301, 1.3224513530731201]
['UV', 75, 'CV', 7, 'readelf', 'dir', 'V0', 'V2', 0.03570626543902988, 0.1735820770263672]
['CV', 70, 'UV', 8, 'vdir', 'strip', 'V2', 'V2', 0.11615082374026331, 1.5370721817016602]
['UV', 1, 'CV', 88, 'xargs', 'stat', 'V2', 'V3', 0.029076620825147392, 0.08427238464355469]
['UV', 73, 'CV', 195, 'nm', 'chgrp', 'V0', 'V0', 0.13879131766189312, 0.8977959156036377]
['BV', 41, 'CV', 186, 'libvlccore.so', 'stty', 'V1', 'V0', 0.16341555161481003, 2.668653964996338]
['CV', 8, 'UV', 77, 'du', 'ranlib', 'V2', 'V0', 0.11772253408179634, 1.1824755668640137]
['BV', 8, 'UV', 54, 'cluster', 'as', 'V2', 'V1', 0.09744911105385212, 2.344442129135132]
['CV', 67, 'BV', 82, 'uname', 'gvmap', 'V2', 'V1', 0.14319387153800822, 0.11128902435302734]
['CV', 265, 'BV', 1, 'basename', 'libSDL2-2.0.so', 'V1', 'V3', 0.19576961816683458, 5.176793098449707]
['BV', 18, 'CV', 111, 'sort', 'factor', 'V3', 'V3', 0.0876190476190476, 0.10509991645812988]
['BV', 28, 'CV', 62, 'openssl', 'unexpand', 'V1', 'V2', 0.10377064506076661, 6.346186399459839]
['BV', 21, 'CV', 259, 'cp', 'mknod', 'V1', 'V0', 0.11226476314081768, 0.03649091720581055]
['CV', 297, 'UV', 57, 'chroot', 'strings', 'V1', 'V1', 0.14955640050697083, 0.8783648014068604]
['CV', 204, 'BV', 17, 'pinky', 'codeblocks', 'V0', 'V2', 0.18648253883946353, 10.4462730884552]
['BV', 38, 'CV', 10, 'ruby', 'ptx', 'V2', 'V2', 0.17976257772752968, 0.026613950729370117]
['UV', 22, 'BV', 44, 'nm', 'make', 'V3', 'V0', 0.0787717864923747, 1.6551153659820557]
['BV', 48, 'CV', 35, 'gvmap', 'sum', 'V3', 'V2', 0.1273291925465838, 0.12479805946350098]
['BV', 47, 'CV', 188, 'dot', 'dirname', 'V3', 'V0', 0.11986301369863017, 0.00952601432800293]
['CV', 196, 'BV', 41, 'kill', 'libvlccore.so', 'V0', 'V1', 0.1658280582156576, 2.6585278511047363]
['CV', 76, 'BV', 59, 'comm', 'make', 'V2', 'V1', 0.13056498303054498, 0.1976790428161621]
['UV', 58, 'CV', 177, 'objcopy', 'test', 'V1', 'V0', 0.137546468401487, 1.207122802734375]
['UV', 26, 'CV', 345, 'ranlib', 'rmdir', 'V3', 'V1', 0.15216444560578346, 0.9445154666900635]
['CV', 331, 'BV', 37, 'vdir', 'geany', 'V1', 'V1', 0.1787807511375029, 21.983808279037476]
['CV', 186, 'BV', 35, 'stty', 'libvlccore.so', 'V0', 'V2', 0.165088672081511, 3.4547224044799805]
['BV', 70, 'CV', 135, 'ssh', 'df', 'V0', 'V3', 0.10900569132909277, 3.840407133102417]
['BV', 48, 'CV', 133, 'gvmap', 'cut', 'V3', 'V3', 0.11911884688604846, 0.1336061954498291]
['CV', 252, 'UV', 30, 'rm', 'ld', 'V0', 'V3', 0.1394245031148027, 1.9281399250030518]
['CV', 225, 'UV', 83, 'printf', 'addr2line', 'V0', 'V0', 0.14640082373865015, 0.8412039279937744]
['UV', 5, 'CV', 148, 'diff', 'ginstall', 'V2', 'V3', 0.031132700375358757, 0.22438406944274902]
['CV', 168, 'BV', 37, 'sleep', 'geany', 'V3', 'V1', 0.18434279232589523, 19.870171070098877]
['BV', 27, 'CV', 49, 'libSDL2-2.0.so', 'tsort', 'V1', 'V2', 0.19407440163617262, 3.6181068420410156]
['CV', 200, 'BV', 21, 'date', 'cp', 'V0', 'V1', 0.07687959299039004, 0.04893946647644043]
