['UO', 47, 'CO', 297, 'as', 'pathchk', 'O3', 'O2', 0.12471117957224953, 1.391676664352417]
['CO', 16, 'UO', 75, 'dirname', 'gprof', 'O3', 'O0', 0.15178066704352744, 2.1647942066192627]
['UO', 68, 'CO', 304, 'readelf', 'fold', 'O0', 'O2', 0.12842293506203195, 0.5042376518249512]
['CO', 306, 'UO', 74, 'sleep', 'ld', 'O2', 'O0', 0.15203991781626058, 3.889249324798584]
['UO', 78, 'CO', 241, 'elfedit', 'chown', 'O0', 'O2', 0.06332992849846786, 0.05869436264038086]
['UO', 60, 'CO', 42, 'xargs', 'sum', 'O3', 'O3', 0.097665555026203, 0.06820893287658691]
['CO', 3, 'UO', 34, 'unlink', 'ld', 'O3', 'O2', 0.1433109566051307, 1.742849588394165]
['BO', 21, 'CO', 184, 'cp', 'uname', 'O1', 'O1', 0.13191489361702124, 0.09488964080810547]
['BO', 78, 'UO', 72, 'ssh', 'strings', 'O0', 'O0', 0.011061759130902238, 8.370376825332642]
['UO', 0, 'CO', 144, 'locate', 'sync', 'O1', 'O1', 0.13870632998962296, 0.12016510963439941]
['CO', 161, 'UO', 84, 'od', 'sdiff', 'O1', 'O0', 0.059144676979071886, 0.07666659355163574]
['CO', 60, 'UO', 4, 'base64', 'strip', 'O3', 'O1', 0.14205079962370648, 1.3156487941741943]
['UO', 42, 'CO', 332, 'xargs', 'mkfifo', 'O2', 'O0', 0.04889807162534432, 0.14635586738586426]
['CO', 129, 'BO', 79, 'chgrp', 'bash', 'O1', 'O3', 0.10675305642330979, 2.8232553005218506]
['UO', 71, 'CO', 362, 'c++filt', 'dircolors', 'O0', 'O0', 0.1474256664893303, 2.1625170707702637]
['CO', 178, 'UO', 81, 'unexpand', 'diff3', 'O1', 'O0', 0.0958762886597938, 0.06462979316711426]
['CO', 351, 'BO', 56, 'paste', 'libvlc.so.12.0.0', 'O0', 'O3', 0.19646840148698885, 0.42450761795043945]
['BO', 26, 'CO', 363, 'gvmap', 'realpath', 'O3', 'O0', 0.0862385321100918, 0.16209840774536133]
['CO', 335, 'BO', 82, 'pr', 'cp', 'O0', 'O3', 0.041593438781488024, 0.1480250358581543]
['BO', 1, 'CO', 223, 'ssh', 'join', 'O2', 'O2', 0.1427045368857609, 1.4006743431091309]
['UO', 49, 'CO', 282, 'c++filt', 'unexpand', 'O3', 'O2', 0.13868270224560741, 0.7582204341888428]
['BO', 73, 'CO', 238, 'cluster', 'expand', 'O1', 'O2', 0.13524096385542173, 0.11486101150512695]
['UO', 15, 'CO', 218, 'elfedit', 'users', 'O1', 'O2', 0.06718146718146722, 0.030198097229003906]
['UO', 40, 'CO', 138, 'objdump', 'tail', 'O2', 'O1', 0.12496481846327046, 1.9556593894958496]
['CO', 85, 'UO', 87, '[', 'find', 'O3', 'O0', 0.16607541715937457, 0.5974972248077393]
['BO', 38, 'CO', 48, 'acyclic', 'ls', 'O2', 'O3', 0.1876046901172529, 0.06620311737060547]
['UO', 62, 'CO', 304, 'diff3', 'fold', 'O3', 'O2', 0.06826801517067005, 0.03619122505187988]
['UO', 34, 'CO', 271, 'ld', 'logname', 'O2', 'O2', 0.14465256797583081, 1.7070772647857666]
['CO', 17, 'UO', 5, 'stdbuf', 'readelf', 'O3', 'O1', 0.11353517364203025, 0.2853984832763672]
['CO', 411, 'UO', 60, 'sort', 'xargs', 'O0', 'O3', 0.08615462354724612, 0.23742461204528809]
['CO', 30, 'BO', 2, 'expand', 'perl', 'O3', 'O1', 0.07679324894514772, 2.3854572772979736]
['UO', 11, 'CO', 349, 'ld', 'truncate', 'O1', 'O0', 0.14195455599350804, 2.0286343097686768]
['CO', 386, 'UO', 44, 'unexpand', 'nm', 'O0', 'O3', 0.13121361397223463, 0.8868458271026611]
['CO', 167, 'BO', 59, 'logname', 'libgeany.so.0.0.0', 'O1', 'O3', 0.16853668105139263, 24.892444372177124]
['CO', 379, 'BO', 23, 'nohup', 'git', 'O0', 'O2', 0.09183933008550016, 6.570713043212891]
['CO', 257, 'UO', 9, 'nice', 'strings', 'O2', 'O1', 0.1535408766205133, 1.0098943710327148]
['CO', 232, 'BO', 26, 'tee', 'gvmap', 'O2', 'O3', 0.12688296639629204, 0.11542272567749023]
['UO', 77, 'CO', 194, 'ar', 'tr', 'O0', 'O1', 0.14960674157303377, 2.2650206089019775]
['UO', 19, 'CO', 186, 'cmp', 'shuf', 'O1', 'O1', 0.06695938529088918, 0.059043169021606445]
['CO', 17, 'BO', 33, 'stdbuf', 'sort', 'O3', 'O2', 0.12050898203592819, 0.09448003768920898]
['BO', 36, 'UO', 87, 'cluster', 'find', 'O2', 'O0', 0.10468667719852554, 0.9609057903289795]
['UO', 84, 'CO', 228, 'sdiff', 'mkfifo', 'O0', 'O2', 0.1332934847579199, 0.04880499839782715]
['BO', 51, 'CO', 270, 'lua', 'printf', 'O1', 'O2', 0.12823411203215274, 0.4152803421020508]
['UO', 16, 'CO', 372, 'size', 'base64', 'O1', 'O0', 0.1413737339348029, 1.0962128639221191]
['BO', 10, 'UO', 41, 'openssl', 'locate', 'O3', 'O2', 0.2482414888058202, 8.734185934066772]
['CO', 385, 'BO', 11, 'hostid', 'ssh', 'O0', 'O1', 0.14604821869265328, 1.4957709312438965]
['CO', 226, 'BO', 68, 'uptime', 'git', 'O2', 'O3', 0.09210062991509838, 6.469369888305664]
['BO', 62, 'CO', 122, 'bash', 'uptime', 'O1', 'O1', 0.1229637632978724, 2.707653760910034]
['CO', 56, 'BO', 53, 'cut', 'bash', 'O3', 'O0', 0.12523079108081236, 3.6116724014282227]
['CO', 269, 'BO', 13, 'cksum', 'ruby', 'O2', 'O1', 0.10503379308235727, 12.632871150970459]
['UO', 17, 'CO', 221, 'objdump', 'printenv', 'O1', 'O2', 0.14270337638794472, 1.9052565097808838]
['UO', 84, 'CO', 47, 'sdiff', 'numfmt', 'O0', 'O3', 0.08822103732428499, 0.06150960922241211]
['CO', 335, 'BO', 41, 'pr', 'libSDL2-2.0.so.0.16.0', 'O0', 'O2', 0.1933843448505299, 5.951557636260986]
['CO', 85, 'UO', 24, '[', 'diff', 'O3', 'O2', 0.12080536912751683, 0.10206723213195801]
['CO', 43, 'BO', 7, 'chroot', 'sort', 'O3', 'O0', 0.15092132202398356, 0.159149169921875]
['UO', 84, 'CO', 362, 'sdiff', 'dircolors', 'O0', 'O0', 0.06487582361885458, 0.07095479965209961]
['UO', 3, 'CO', 230, 'nm', 'pwd', 'O1', 'O2', 0.15001713502398906, 1.045025110244751]
['UO', 22, 'CO', 251, 'diff3', 'chroot', 'O2', 'O2', 0.05982367758186402, 0.04142308235168457]
['BO', 65, 'UO', 68, 'gvmap', 'readelf', 'O0', 'O0', 0.051135005973715675, 1.0693659782409668]
['UO', 87, 'CO', 57, 'find', 'od', 'O0', 'O3', 0.15501327601466686, 0.6241898536682129]
['BO', 9, 'CO', 383, 'git', 'readlink', 'O0', 'O0', 0.09058479532163743, 6.797167062759399]
