['UO', 46, 'CO', 8, 'readelf', 'dir', 'O3', 'O3', 0.056376847907792516, 0.41329169273376465]
['CO', 201, 'BO', 68, 'uniq', 'git', 'O1', 'O3', 0.09162630838931418, 6.97385048866272]
['UO', 87, 'CO', 357, 'find', 'split', 'O0', 'O0', 0.13897505894031514, 0.7877521514892578]
['UO', 16, 'CO', 278, 'size', 'b2sum', 'O1', 'O2', 0.145169578622816, 1.1135976314544678]
['CO', 393, 'BO', 47, 'cat', 'libvlc.so.12.0.0', 'O0', 'O0', 0.2149983372131693, 0.6690859794616699]
['CO', 330, 'BO', 82, 'uptime', 'cp', 'O0', 'O3', 0.07591973244147154, 0.12884211540222168]
['BO', 18, 'CO', 91, 'libvlc.so.12.0.0', 'comm', 'O1', 'O3', 0.21467751087573295, 0.43823838233947754]
['CO', 374, 'BO', 44, 'printf', 'cmp', 'O0', 'O2', 0.06100628930817609, 0.04949545860290527]
['CO', 144, 'UO', 8, 'sync', 'c++filt', 'O1', 'O1', 0.1498897220996912, 1.0811851024627686]
['UO', 12, 'CO', 309, 'gprof', 'rmdir', 'O1', 'O2', 0.14715964740450538, 1.137686014175415]
['BO', 54, 'CO', 47, 'lua', 'numfmt', 'O3', 'O3', 0.11051248357424437, 0.3406035900115967]
['UO', 73, 'CO', 49, 'objcopy', 'nice', 'O0', 'O3', 0.1468244022256755, 2.725794553756714]
['CO', 115, 'UO', 9, 'groups', 'strings', 'O1', 'O1', 0.1486992082136953, 1.1118273735046387]
['CO', 299, 'BO', 49, 'comm', 'svn', 'O2', 'O0', 0.21111111111111114, 0.5519723892211914]
['UO', 18, 'CO', 59, 'diff3', 'tsort', 'O1', 'O3', 0.07045454545454544, 0.051387786865234375]
['CO', 299, 'BO', 36, 'comm', 'cluster', 'O2', 'O2', 0.13207547169811318, 0.1263749599456787]
['CO', 163, 'BO', 1, 'tsort', 'ssh', 'O1', 'O2', 0.14368686868686864, 1.5318703651428223]
['CO', 219, 'UO', 3, 'groups', 'nm', 'O2', 'O1', 0.15202267456841023, 1.109609603881836]
['CO', 169, 'BO', 81, 'false', 'sort', 'O1', 'O3', 0.12245666917859832, 0.0872037410736084]
['UO', 41, 'CO', 328, 'locate', 'dirname', 'O2', 'O0', 0.12748864827104434, 0.12955737113952637]
['BO', 56, 'CO', 87, 'libvlc.so.12.0.0', 'id', 'O3', 'O3', 0.20388529139685474, 0.41620731353759766]
['CO', 81, 'UO', 73, 'cat', 'objcopy', 'O3', 'O0', 0.1453964449770322, 2.7592315673828125]
['BO', 42, 'CO', 364, 'cmp', 'sha256sum', 'O1', 'O0', 0.065347721822542, 0.05498552322387695]
['CO', 278, 'BO', 28, 'b2sum', 'ruby', 'O2', 'O0', 0.10418938567793534, 13.792278528213501]
['BO', 11, 'CO', 248, 'ssh', 'sync', 'O1', 'O2', 0.14987244897959184, 1.4563648700714111]
