['CV', 289, 'BV', 56, 'chown', 'ssh', 'V1', 'V3', 0.14091582404843173, 1.4127449989318848]
['UV', 84, 'BV', 82, 'ar', 'gvmap', 'V0', 'V1', 0.09363404874499814, 1.4303984642028809]
['BV', 65, 'CV', 178, 'ssh', 'basename', 'V1', 'V0', 0.11995281429052917, 3.4577667713165283]
['CV', 121, 'UV', 44, 'echo', 'diff3', 'V3', 'V1', 0.07697241821680567, 0.03375577926635742]
['CV', 194, 'UV', 78, 'tee', 'c++filt', 'V0', 'V0', 0.1484561705381895, 0.7991635799407959]
['UV', 36, 'BV', 51, 'objdump', 'cp', 'V3', 'V0', 0.12718331354926238, 1.924185037612915]
['CV', 250, 'BV', 3, 'comm', 'diff', 'V0', 'V1', 0.1272727272727272, 0.06337308883666992]
['CV', 85, 'BV', 6, 'mknod', 'libvlc.so', 'V2', 'V0', 0.19094393866794446, 0.2317948341369629]
['UV', 85, 'CV', 155, 'elfedit', 'cat', 'V0', 'V3', 0.04468864468864464, 0.029891014099121094]
['CV', 313, 'BV', 74, 'logname', 'git', 'V1', 'V1', 0.09516754850088183, 4.604043483734131]
['BV', 40, 'UV', 39, 'lua', 'find', 'V2', 'V3', 0.02119579616709355, 1.0514581203460693]
['CV', 290, 'UV', 85, 'tail', 'elfedit', 'V1', 'V0', 0.0476848652384243, 0.033493995666503906]
['BV', 80, 'CV', 97, 'cluster', 'ptx', 'V1', 'V3', 0.09618828344845232, 0.15591049194335938]
['BV', 72, 'CV', 223, 'perl', 'tsort', 'V1', 'V0', 0.09328919650917844, 2.163968086242676]
['CV', 283, 'UV', 67, 'kill', 'cmp', 'V1', 'V0', 0.08305369127516782, 0.02538776397705078]
['CV', 194, 'UV', 3, 'tee', 'diff3', 'V0', 'V2', 0.09745762711864403, 0.030542373657226562]
['UV', 40, 'CV', 314, 'diff3', 'tty', 'V3', 'V1', 0.11571428571428566, 0.028203725814819336]
['UV', 41, 'CV', 103, 'cmp', 'dd', 'V3', 'V3', 0.05606133205558217, 0.05406546592712402]
['UV', 49, 'CV', 175, 'xargs', 'stat', 'V1', 'V0', 0.055895865237366005, 0.02889418601989746]
['BV', 1, 'UV', 23, 'libSDL2-2.0.so', 'strip', 'V3', 'V3', 0.07263780680686549, 11.689347743988037]
['UV', 20, 'BV', 7, 'size', 'libSDL2-2.0.so', 'V2', 'V0', 0.06531393880128755, 7.5368475914001465]
['BV', 78, 'CV', 251, 'make', 'nl', 'V2', 'V0', 0.10800351802990327, 0.24413704872131348]
['BV', 53, 'CV', 50, 'ssh', 'cksum', 'V2', 'V2', 0.12048112261944532, 3.647562026977539]
['CV', 145, 'UV', 17, 'readlink', 'addr2line', 'V3', 'V2', 0.14071672653991063, 0.9916186332702637]
['CV', 131, 'UV', 71, 'true', 'xargs', 'V3', 'V0', 0.0482758620689655, 0.024079561233520508]
['BV', 7, 'CV', 24, 'libSDL2-2.0.so', 'factor', 'V0', 'V2', 0.21882141125960808, 2.9828546047210693]
['CV', 157, 'UV', 87, 'vdir', 'objdump', 'V3', 'V0', 0.10758282502093053, 1.882417917251587]
['CV', 21, 'BV', 57, 'chgrp', 'svn', 'V2', 'V2', 0.18963188112124285, 0.4391801357269287]
['UV', 25, 'CV', 39, 'as', 'whoami', 'V3', 'V2', 0.13378605838992397, 1.6403181552886963]
['CV', 8, 'UV', 74, 'du', 'strip', 'V2', 'V0', 0.11310881524218441, 1.466660976409912]
