['CO', 163, 'BO', 60, 'tsort', 'openssl', 'O1', 'O0', 0.26950934579439245, 8.888590335845947]
['BO', 67, 'CO', 128, 'libSDL2-2.0.so.0.16.0', 'tee', 'O1', 'O1', 0.20399401861945876, 5.180954456329346]
['BO', 13, 'CO', 227, 'ruby', 'dd', 'O1', 'O2', 0.10217496667878345, 12.8960440158844]
['UO', 80, 'CO', 260, 'objdump', 'sha256sum', 'O0', 'O2', 0.14210902166150918, 3.831606149673462]
['UO', 1, 'BO', 58, 'xargs', 'svn', 'O1', 'O1', 0.1732544720138488, 0.6592044830322266]
['CO', 113, 'UO', 6, 'du', 'as', 'O1', 'O1', 0.11235196343237064, 2.3478195667266846]
['CO', 32, 'BO', 54, 'expr', 'lua', 'O3', 'O3', 0.11122797791217465, 0.3182797431945801]
['CO', 218, 'UO', 77, 'users', 'ar', 'O2', 'O0', 0.1538942936792399, 2.2626700401306152]
['UO', 26, 'CO', 266, 'nm', 'df', 'O2', 'O2', 0.12565619531705696, 1.1455090045928955]
['BO', 46, 'CO', 187, 'ruby', 'csplit', 'O3', 'O1', 0.10263845032790864, 12.666911602020264]
['UO', 46, 'CO', 163, 'readelf', 'tsort', 'O3', 'O1', 0.09859154929577463, 0.23924016952514648]
['CO', 90, 'UO', 33, 'tr', 'objcopy', 'O3', 'O2', 0.13593529717296138, 1.1667158603668213]
['CO', 11, 'UO', 75, 'groups', 'gprof', 'O3', 'O0', 0.1501996288590226, 2.2281367778778076]
['UO', 34, 'CO', 304, 'ld', 'fold', 'O2', 'O2', 0.14283137962128045, 1.7337677478790283]
['CO', 353, 'BO', 25, 'echo', 'dot', 'O0', 'O3', 0.1930455635491607, 0.01871967315673828]
['UO', 13, 'BO', 70, 'addr2line', 'diff', 'O1', 'O3', 0.11426834827533805, 1.3766357898712158]
['UO', 24, 'CO', 15, 'diff', 'join', 'O2', 'O3', 0.10164141414141414, 0.10701942443847656]
['BO', 57, 'CO', 77, 'libvlccore.so.9.0.0', 'env', 'O3', 'O3', 0.15569554642956818, 4.160320520401001]
['UO', 38, 'CO', 114, 'elfedit', 'users', 'O2', 'O1', 0.04157549234135671, 0.03522658348083496]
['UO', 1, 'CO', 195, 'xargs', 'comm', 'O1', 'O1', 0.09740882917466409, 0.07746553421020508]
['CO', 250, 'UO', 49, 'sum', 'c++filt', 'O2', 'O3', 0.13601496725912066, 0.7839725017547607]
['UO', 36, 'BO', 76, 'addr2line', 'openssl', 'O2', 'O2', 0.1504603773584906, 14.34158182144165]
['UO', 86, 'CO', 394, 'xargs', 'shuf', 'O0', 'O0', 0.040892193308550207, 0.17225003242492676]
['UO', 84, 'CO', 411, 'sdiff', 'sort', 'O0', 'O0', 0.09814669799008091, 0.21998071670532227]
['CO', 13, 'UO', 60, 'printenv', 'xargs', 'O3', 'O3', 0.1295309168443497, 0.05723166465759277]
