['CO', 53, 'BO', 13, 'chmod', 'ruby', 'O3', 'O1', 0.10270859843664792, 13.756148338317871]
['UO', 46, 'BO', 63, 'readelf', 'cluster', 'O3', 'O0', 0.018626661296818336, 0.629908561706543]
['UO', 76, 'BO', 62, 'addr2line', 'bash', 'O0', 'O1', 0.013090927506140382, 10.315467596054077]
['BO', 24, 'CO', 176, 'cluster', 'head', 'O3', 'O1', 0.11455916473317862, 0.13015055656433105]
['UO', 24, 'CO', 200, 'diff', 'fold', 'O2', 'O1', 0.11970338983050843, 0.10759949684143066]
['UO', 65, 'CO', 289, 'sdiff', 'cat', 'O3', 'O2', 0.0848445595854922, 0.039533376693725586]
['CO', 69, 'UO', 41, 'who', 'locate', 'O3', 'O2', 0.1200129743756082, 0.12902402877807617]
['CO', 233, 'UO', 1, 'chgrp', 'xargs', 'O2', 'O1', 0.059274193548387144, 0.10358524322509766]
['CO', 310, 'UO', 85, 'mknod', 'locate', 'O2', 'O0', 0.16372301654051025, 0.19167661666870117]
['BO', 55, 'CO', 86, 'make', 'timeout', 'O1', 'O3', 0.1211220509009846, 0.24764609336853027]
['UO', 74, 'BO', 53, 'ld', 'bash', 'O0', 'O0', 0.006678486997635957, 16.41047716140747]
['BO', 45, 'CO', 13, 'diff', 'printenv', 'O2', 'O3', 0.14181818181818184, 0.0913248062133789]
['UO', 8, 'CO', 319, 'c++filt', 'fmt', 'O1', 'O0', 0.14214032355740114, 1.1312952041625977]
['BO', 8, 'UO', 19, 'cp', 'cmp', 'O0', 'O1', 0.1476750127746551, 0.20198345184326172]
['UO', 39, 'CO', 239, 'size', 'date', 'O2', 'O2', 0.13438288249108465, 1.0268476009368896]
['CO', 246, 'UO', 37, 'sha1sum', 'ar', 'O2', 'O2', 0.14422256357740226, 1.0444958209991455]
['CO', 290, 'UO', 52, 'shuf', 'ld', 'O2', 'O3', 0.12661666568239527, 1.8262076377868652]
['UO', 49, 'BO', 68, 'c++filt', 'git', 'O3', 'O3', 0.05560426834312182, 12.451998710632324]
['CO', 49, 'BO', 68, 'nice', 'git', 'O3', 'O3', 0.09329777638338754, 6.616611957550049]
['CO', 146, 'UO', 63, 'sum', 'cmp', 'O1', 'O3', 0.03569023569023566, 0.042719125747680664]
['CO', 119, 'UO', 43, 'join', 'find', 'O1', 'O2', 0.1469794127573405, 0.4223625659942627]
['UO', 87, 'CO', 304, 'find', 'fold', 'O0', 'O2', 0.17395437262357416, 0.6124403476715088]
['CO', 226, 'UO', 6, 'uptime', 'as', 'O2', 'O1', 0.1308493633908394, 2.1261487007141113]
['BO', 50, 'CO', 294, 'perl', 'timeout', 'O2', 'O2', 0.08542260921783518, 2.5502781867980957]
['UO', 19, 'CO', 77, 'cmp', 'env', 'O1', 'O3', 0.06289752650176683, 0.03334641456604004]
['UO', 86, 'CO', 63, 'xargs', 'logname', 'O0', 'O3', 0.15374211000901716, 0.08586573600769043]
['CO', 69, 'BO', 14, 'who', 'cmp', 'O3', 'O0', 0.06264236902050113, 0.05079197883605957]
['CO', 135, 'UO', 57, 'date', 'size', 'O1', 'O3', 0.12333480370533745, 1.010329246520996]
['UO', 28, 'CO', 129, 'readelf', 'chgrp', 'O2', 'O1', 0.0851648351648352, 0.3340637683868408]
['UO', 15, 'CO', 151, 'elfedit', 'numfmt', 'O1', 'O1', 0.05102675793403855, 0.04472613334655762]
['CO', 147, 'UO', 40, 'chroot', 'objdump', 'O1', 'O2', 0.13261772853185594, 1.9104154109954834]
['BO', 55, 'CO', 65, 'make', 'false', 'O1', 'O3', 0.14033712269698162, 0.20751643180847168]
['CO', 316, 'UO', 56, 'test', 'elfedit', 'O0', 'O3', 0.07503152585119799, 0.04886627197265625]
['CO', 46, 'UO', 60, 'whoami', 'xargs', 'O3', 'O3', 0.1273014203051026, 0.06225156784057617]
