['UO', 70, 'CO', 185, 'ranlib', 'cat', 'O0', 'O1', 0.1513128112267994, 2.4524102210998535]
['CO', 202, 'BO', 51, 'sleep', 'lua', 'O1', 'O1', 0.1304072053786629, 0.4580976963043213]
['CO', 8, 'UO', 80, 'dir', 'objdump', 'O3', 'O0', 0.12607213753324098, 5.068202257156372]
['UO', 51, 'CO', 165, 'objcopy', 'cksum', 'O3', 'O1', 0.13015848709899702, 1.066462755203247]
['CO', 302, 'BO', 50, 'rm', 'perl', 'O2', 'O2', 0.08271433221863811, 3.0243947505950928]
['CO', 376, 'UO', 77, 'tty', 'ar', 'O0', 'O0', 0.1502886901392505, 2.5163447856903076]
['CO', 83, 'UO', 0, 'csplit', 'locate', 'O3', 'O1', 0.11154657823334335, 0.14800167083740234]
['BO', 62, 'CO', 360, 'bash', 'ls', 'O1', 'O0', 0.09824170761670759, 3.9854509830474854]
['BO', 83, 'CO', 278, 'lua', 'b2sum', 'O2', 'O2', 0.12236121970289293, 0.4244379997253418]
['CO', 24, 'BO', 36, 'tee', 'cluster', 'O3', 'O2', 0.12766579024247737, 0.12248086929321289]
['BO', 8, 'CO', 160, 'cp', 'cut', 'O0', 'O1', 0.14540289256198347, 0.20717763900756836]
['BO', 65, 'CO', 296, 'gvmap', 'shred', 'O0', 'O2', 0.10940237492700022, 0.25147223472595215]
['CO', 320, 'UO', 39, 'dir', 'size', 'O0', 'O2', 0.08905296466510959, 1.7066028118133545]
['CO', 22, 'BO', 64, 'pwd', 'dot', 'O3', 'O0', 0.16274089935760172, 0.016895294189453125]
['CO', 297, 'UO', 15, 'pathchk', 'elfedit', 'O2', 'O1', 0.07686148919135305, 0.029993057250976562]
['CO', 244, 'BO', 38, 'pinky', 'acyclic', 'O2', 'O2', 0.1853070175438596, 0.019916057586669922]
['CO', 257, 'BO', 64, 'nice', 'dot', 'O2', 'O0', 0.172752808988764, 0.013747453689575195]
['BO', 18, 'UO', 87, 'libvlc.so.12.0.0', 'find', 'O1', 'O0', 0.04749735636235464, 1.8003206253051758]
['UO', 73, 'CO', 55, 'objcopy', 'cp', 'O0', 'O3', 0.12585844428871762, 3.453545093536377]
['BO', 53, 'CO', 297, 'bash', 'pathchk', 'O0', 'O2', 0.12744676274467626, 3.6552696228027344]
['UO', 59, 'CO', 199, 'locate', 'sha224sum', 'O3', 'O1', 0.11248673505482842, 0.1226344108581543]
['BO', 66, 'UO', 10, 'svn', 'objcopy', 'O2', 'O1', 0.06734060761660254, 3.2499780654907227]
['UO', 74, 'CO', 231, 'ld', 'pr', 'O0', 'O2', 0.14496022307881573, 4.317291259765625]
['CO', 380, 'BO', 21, 'yes', 'cp', 'O0', 'O1', 0.12114371708051164, 0.11512446403503418]
['BO', 28, 'CO', 3, 'ruby', 'unlink', 'O0', 'O3', 0.10536945363987005, 13.344541072845459]
['BO', 24, 'CO', 98, 'cluster', 'sleep', 'O3', 'O3', 0.13345521023765994, 0.11109232902526855]
['UO', 73, 'CO', 218, 'objcopy', 'users', 'O0', 'O2', 0.14714760036220942, 2.7207913398742676]
['BO', 77, 'CO', 105, 'libSDL2-2.0.so.0.16.0', 'touch', 'O3', 'O1', 0.18145179347095963, 5.6889002323150635]
['BO', 68, 'CO', 132, 'git', 'factor', 'O3', 'O1', 0.0908967100527247, 6.85783839225769]
['CO', 144, 'BO', 40, 'sync', 'lua', 'O1', 'O0', 0.14097415302234584, 0.7368342876434326]
['BO', 38, 'CO', 63, 'acyclic', 'logname', 'O2', 'O3', 0.12605042016806722, 0.013981342315673828]
['CO', 83, 'BO', 76, 'csplit', 'openssl', 'O3', 'O2', 0.2722477741676864, 8.151711225509644]
['BO', 46, 'CO', 366, 'ruby', 'true', 'O3', 'O0', 0.10423124494189862, 13.347950220108032]
['BO', 34, 'CO', 337, 'cp', 'chgrp', 'O2', 'O0', 0.03841572364502677, 0.1711258888244629]
['CO', 19, 'UO', 24, 'dd', 'diff', 'O3', 'O2', 0.0740845869997162, 0.1380326747894287]
['CO', 312, 'BO', 36, 'sha384sum', 'cluster', 'O0', 'O2', 0.10036343304445061, 0.15986108779907227]
['BO', 53, 'CO', 274, 'bash', 'runcon', 'O0', 'O2', 0.12819683908045976, 3.5917882919311523]
['UO', 44, 'CO', 199, 'nm', 'sha224sum', 'O3', 'O1', 0.13328530259366, 0.8969166278839111]
['CO', 312, 'BO', 39, 'sha384sum', 'codeblocks', 'O0', 'O3', 0.1821334761431158, 11.618621110916138]
['CO', 222, 'BO', 42, 'stty', 'cmp', 'O2', 'O1', 0.03543307086614178, 0.04149818420410156]
['CO', 63, 'BO', 67, 'logname', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.20750873108265422, 5.378631114959717]
['BO', 79, 'UO', 17, 'bash', 'objdump', 'O3', 'O1', 0.011201677868344584, 9.327685117721558]
['CO', 25, 'BO', 52, 'chgrp', 'svn', 'O3', 'O3', 0.1844900334642805, 0.5604264736175537]
