['BO', 40, 'CO', 127, 'lua', 'pr', 'O0', 'O1', 0.12414733969986358, 0.801278829574585]
['CO', 382, 'BO', 34, 'b2sum', 'cp', 'O0', 'O2', 0.07152361942781105, 0.12752008438110352]
['CO', 37, 'UO', 32, 'truncate', 'strings', 'O3', 'O2', 0.14554841047006617, 0.8808348178863525]
['CO', 246, 'BO', 43, 'sha1sum', 'diff', 'O2', 'O1', 0.13400277008310246, 0.10859203338623047]
['UO', 66, 'CO', 299, 'nm', 'comm', 'O0', 'O2', 0.15233715582979213, 2.1345064640045166]
['UO', 35, 'CO', 375, 'gprof', 'logname', 'O2', 'O0', 0.13928091397849462, 0.972564697265625]
['CO', 401, 'UO', 9, 'pathchk', 'strings', 'O0', 'O1', 0.14631396357328708, 1.0631060600280762]
['UO', 48, 'CO', 182, 'ranlib', 'chcon', 'O3', 'O1', 0.11929795512873587, 0.9901392459869385]
['UO', 79, 'CO', 144, 'size', 'sync', 'O0', 'O1', 0.1530551944214632, 2.0895884037017822]
['CO', 148, 'UO', 67, 'seq', 'strip', 'O1', 'O0', 0.14373972397987145, 2.676623582839966]
['UO', 42, 'CO', 158, 'xargs', 'true', 'O2', 'O1', 0.12472527472527473, 0.0635213851928711]
['UO', 69, 'CO', 107, 'as', 'unlink', 'O0', 'O1', 0.13962128475551294, 3.5718276500701904]
['CO', 414, 'UO', 44, 'mknod', 'nm', 'O0', 'O3', 0.10677191524719565, 1.1590797901153564]
['CO', 127, 'UO', 59, 'pr', 'locate', 'O1', 'O3', 0.07566399011735636, 0.14325547218322754]
['BO', 2, 'CO', 76, 'perl', 'md5sum', 'O1', 'O3', 0.07628703094140876, 2.3914542198181152]
['CO', 91, 'BO', 79, 'comm', 'bash', 'O3', 'O3', 0.11288425345043918, 2.4768407344818115]
['UO', 43, 'CO', 56, 'find', 'cut', 'O2', 'O3', 0.1570375450025716, 0.367755651473999]
['BO', 37, 'CO', 43, 'gvmap', 'chroot', 'O2', 'O3', 0.12168874172185429, 0.12854719161987305]
['CO', 40, 'UO', 8, 'sync', 'c++filt', 'O3', 'O1', 0.15125681139040248, 1.0058166980743408]
['CO', 235, 'UO', 61, 'wc', 'find', 'O2', 'O3', 0.14013076515285383, 0.3310685157775879]
['UO', 15, 'CO', 367, 'elfedit', 'cp', 'O1', 'O0', 0.152763561924258, 0.18999314308166504]
['UO', 21, 'CO', 389, 'sdiff', 'env', 'O1', 'O0', 0.05215419501133789, 0.05366325378417969]
['CO', 170, 'BO', 52, 'runcon', 'svn', 'O1', 'O3', 0.2150919058368268, 0.43697595596313477]
['UO', 74, 'CO', 260, 'ld', 'sha256sum', 'O0', 'O2', 0.14978120441758702, 3.8627753257751465]
['UO', 34, 'CO', 300, 'ld', 'sha512sum', 'O2', 'O2', 0.1408164485087562, 1.7758235931396484]
['CO', 175, 'UO', 79, 'readlink', 'size', 'O1', 'O0', 0.14912024317530836, 2.2019600868225098]
['BO', 78, 'CO', 260, 'ssh', 'sha256sum', 'O0', 'O2', 0.1406360781930518, 1.9951114654541016]
['BO', 1, 'CO', 406, 'ssh', 'rm', 'O2', 'O0', 0.12577900287631838, 1.7144849300384521]
['BO', 33, 'CO', 119, 'sort', 'join', 'O2', 'O1', 0.0969960188201231, 0.10883235931396484]
['UO', 13, 'CO', 340, 'addr2line', 'factor', 'O1', 'O0', 0.1285274083684722, 1.2652740478515625]
['BO', 36, 'CO', 219, 'cluster', 'groups', 'O2', 'O2', 0.13922480620155042, 0.1104879379272461]
['CO', 50, 'BO', 39, 'dircolors', 'codeblocks', 'O3', 'O3', 0.18481239595338717, 10.515740156173706]
['BO', 9, 'UO', 53, 'git', 'gprof', 'O0', 'O3', 0.053143322475570076, 11.71268105506897]
['UO', 86, 'BO', 64, 'xargs', 'dot', 'O0', 'O0', 0.23217158176943697, 0.06664919853210449]
['UO', 45, 'CO', 181, 'strip', 'env', 'O3', 'O1', 0.12954041446815023, 1.008509874343872]
['UO', 9, 'CO', 177, 'strings', 'hostid', 'O1', 'O1', 0.15143007545183362, 0.9635326862335205]
['CO', 123, 'BO', 16, 'dd', 'make', 'O1', 'O0', 0.0990848848217103, 0.31259703636169434]
['BO', 77, 'CO', 20, 'libSDL2-2.0.so.0.16.0', 'mkfifo', 'O3', 'O3', 0.19076810467084493, 4.7916789054870605]
['BO', 21, 'CO', 247, 'cp', 'paste', 'O1', 'O2', 0.14084507042253525, 0.09078240394592285]
