['UO', 17, 'CO', 68, 'objdump', 'yes', 'O1', 'O3', 0.14111566765912031, 1.8721039295196533]
['BO', 15, 'CO', 382, 'diff', 'b2sum', 'O0', 'O0', 0.10701894849212701, 0.20737600326538086]
['CO', 249, 'BO', 41, 'echo', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.21145155683567562, 5.089110612869263]
['UO', 12, 'CO', 398, 'gprof', 'timeout', 'O1', 'O0', 0.13634923150055456, 1.2583773136138916]
['CO', 203, 'BO', 8, 'sort', 'cp', 'O1', 'O0', 0.06332046332046337, 0.350369930267334]
['CO', 93, 'UO', 17, 'nl', 'objdump', 'O3', 'O1', 0.1385652973635806, 1.9810056686401367]
['UO', 8, 'CO', 211, 'c++filt', 'unlink', 'O1', 'O2', 0.1547247256179174, 0.9575352668762207]
['CO', 140, 'UO', 40, 'pinky', 'objdump', 'O1', 'O2', 0.13206785137318255, 1.8114283084869385]
['BO', 23, 'CO', 190, 'git', 'timeout', 'O2', 'O1', 0.09154833291013142, 6.427283763885498]
['BO', 15, 'CO', 93, 'diff', 'nl', 'O0', 'O3', 0.15127528583992966, 0.15391898155212402]
['BO', 67, 'CO', 63, 'libSDL2-2.0.so.0.16.0', 'logname', 'O1', 'O3', 0.20750873108265422, 5.029132843017578]
['CO', 385, 'UO', 33, 'hostid', 'objcopy', 'O0', 'O2', 0.13695129284425733, 1.2219030857086182]
['BO', 37, 'CO', 287, 'gvmap', 'link', 'O2', 'O2', 0.1438086587950348, 0.11107587814331055]
['CO', 220, 'UO', 13, 'ptx', 'addr2line', 'O2', 'O1', 0.13918432292102834, 1.1340649127960205]
['UO', 35, 'BO', 70, 'gprof', 'diff', 'O2', 'O3', 0.10766504209127159, 1.339219570159912]
['BO', 57, 'CO', 87, 'libvlccore.so.9.0.0', 'id', 'O3', 'O3', 0.15429501429025083, 4.207099437713623]
['CO', 127, 'BO', 20, 'pr', 'sort', 'O1', 'O1', 0.07983591038182392, 0.14935564994812012]
['CO', 373, 'BO', 45, 'cksum', 'diff', 'O0', 'O2', 0.1157858136300417, 0.11191272735595703]
['BO', 61, 'CO', 63, 'git', 'logname', 'O1', 'O3', 0.0935488934233244, 6.142178058624268]
['UO', 8, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O1', 'O1', 0.12833182354717398, 41.744378089904785]
['CO', 101, 'BO', 5, 'rmdir', 'libgeany.so.0.0.0', 'O3', 'O1', 0.17454985432951775, 27.58465886116028]
['CO', 372, 'BO', 55, 'base64', 'make', 'O0', 'O1', 0.11560586379662274, 0.2603745460510254]
['CO', 130, 'UO', 44, 'kill', 'nm', 'O1', 'O3', 0.1361903032504086, 0.8346412181854248]
['CO', 87, 'BO', 38, 'id', 'acyclic', 'O3', 'O2', 0.15339233038348077, 0.01757359504699707]
['CO', 20, 'UO', 0, 'mkfifo', 'locate', 'O3', 'O1', 0.146374829001368, 0.11168098449707031]
['UO', 61, 'CO', 390, 'find', 'chcon', 'O3', 'O0', 0.09295558958652372, 0.441511869430542]
['CO', 283, 'BO', 49, 'mv', 'svn', 'O2', 'O0', 0.14075480655115125, 0.8115823268890381]
['BO', 5, 'CO', 205, 'libgeany.so.0.0.0', 'rmdir', 'O1', 'O1', 0.17432449655875604, 27.202603340148926]
['BO', 36, 'CO', 48, 'cluster', 'ls', 'O2', 'O3', 0.04556803995006242, 0.24049663543701172]
['BO', 45, 'UO', 82, 'diff', 'cmp', 'O2', 'O0', 0.08812136862491926, 0.12380814552307129]
