['CO', 177, 'UO', 49, 'hostid', 'c++filt', 'O1', 'O3', 0.13913781718705787, 0.7765305042266846]
['BO', 41, 'CO', 290, 'libSDL2-2.0.so.0.16.0', 'shuf', 'O2', 'O2', 0.20192027931335466, 5.2386767864227295]
['CO', 354, 'UO', 16, 'sum', 'size', 'O0', 'O1', 0.1403702445652174, 1.150275468826294]
['UO', 44, 'CO', 403, 'nm', 'comm', 'O3', 'O0', 0.13040365166025236, 0.8927044868469238]
['CO', 241, 'BO', 25, 'chown', 'dot', 'O2', 'O3', 0.19284149013878737, 0.030104875564575195]
['UO', 32, 'BO', 44, 'strings', 'cmp', 'O2', 'O2', 0.14142139267767406, 0.9132213592529297]
['CO', 411, 'BO', 71, 'sort', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.16860012457178453, 8.03886079788208]
['UO', 12, 'CO', 357, 'gprof', 'split', 'O1', 'O0', 0.12938172251025304, 1.3178091049194336]
['BO', 46, 'CO', 283, 'ruby', 'mv', 'O3', 'O2', 0.09706946077482925, 14.40841293334961]
['CO', 174, 'UO', 65, 'b2sum', 'sdiff', 'O1', 'O3', 0.034574468085106336, 0.054383039474487305]
['BO', 18, 'CO', 115, 'libvlc.so.12.0.0', 'groups', 'O1', 'O1', 0.21745018378796677, 0.42824649810791016]
['BO', 70, 'CO', 8, 'diff', 'dir', 'O3', 'O3', 0.01411979048052836, 0.19780492782592773]
['CO', 320, 'UO', 28, 'dir', 'readelf', 'O0', 'O2', 0.03293483356774496, 0.5833487510681152]
['CO', 132, 'BO', 27, 'factor', 'perl', 'O1', 'O3', 0.0801778501060707, 2.448716402053833]
['UO', 70, 'BO', 80, 'ranlib', 'ssh', 'O0', 'O3', 0.033910960395731604, 6.905839920043945]
['CO', 378, 'BO', 77, 'runcon', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.1867891911564007, 5.103552579879761]
['CO', 357, 'BO', 24, 'split', 'cluster', 'O0', 'O3', 0.07830092118730803, 0.1721792221069336]
['CO', 299, 'UO', 4, 'comm', 'strip', 'O2', 'O1', 0.1428051001821493, 1.303607702255249]
['UO', 0, 'CO', 108, 'locate', 'test', 'O1', 'O1', 0.12373490042442048, 0.1263411045074463]
['CO', 126, 'BO', 66, 'pwd', 'svn', 'O1', 'O2', 0.21596544552871544, 0.4966318607330322]
