['UO', 47, 'CO', 348, 'as', 'pinky', 'O3', 'O0', 0.11580349901517784, 1.5333051681518555]
['CO', 269, 'UO', 1, 'cksum', 'xargs', 'O2', 'O1', 0.13894849785407726, 0.0628359317779541]
['BO', 51, 'UO', 56, 'lua', 'elfedit', 'O1', 'O3', 0.12532767444763449, 0.42222070693969727]
['BO', 72, 'UO', 49, 'make', 'c++filt', 'O2', 'O3', 0.05977710233029376, 1.5362281799316406]
['BO', 61, 'CO', 406, 'git', 'rm', 'O1', 'O0', 0.08771017507366963, 7.123830556869507]
['CO', 245, 'UO', 39, 'truncate', 'size', 'O2', 'O2', 0.14714441615132778, 0.9046964645385742]
['UO', 11, 'CO', 348, 'ld', 'pinky', 'O1', 'O0', 0.1392514229862588, 2.0964269638061523]
['CO', 197, 'BO', 60, 'nl', 'openssl', 'O1', 'O0', 0.26941190207449495, 8.90493655204773]
['BO', 75, 'CO', 171, 'gvmap', 'nohup', 'O1', 'O1', 0.12436691052335402, 0.13153839111328125]
['CO', 180, 'BO', 51, 'md5sum', 'lua', 'O1', 'O1', 0.12496878901373287, 0.4455606937408447]
['CO', 278, 'UO', 28, 'b2sum', 'readelf', 'O2', 'O2', 0.1025720006160481, 0.26086926460266113]
['UO', 36, 'BO', 21, 'addr2line', 'cp', 'O2', 'O1', 0.10864157907405925, 1.268345832824707]
['UO', 62, 'CO', 15, 'diff3', 'join', 'O3', 'O3', 0.033217649975210706, 0.04554104804992676]
['UO', 59, 'CO', 381, 'locate', 'who', 'O3', 'O0', 0.0899540380827315, 0.13240694999694824]
['BO', 56, 'CO', 69, 'libvlc.so.12.0.0', 'who', 'O3', 'O3', 0.19737800436999275, 0.4038851261138916]
['CO', 14, 'UO', 66, 'stty', 'nm', 'O3', 'O0', 0.148708254568368, 2.2319371700286865]
['CO', 30, 'BO', 7, 'expand', 'sort', 'O3', 'O0', 0.15674543822913556, 0.1486833095550537]
['BO', 26, 'UO', 0, 'gvmap', 'locate', 'O3', 'O1', 0.0275460717749757, 0.28298234939575195]
['CO', 90, 'UO', 52, 'tr', 'ld', 'O3', 'O3', 0.1314990173307129, 1.6116735935211182]
['CO', 16, 'UO', 14, 'dirname', 'ar', 'O3', 'O1', 0.1515525903961783, 1.0803980827331543]
['CO', 20, 'BO', 78, 'mkfifo', 'ssh', 'O3', 'O0', 0.14208952197495817, 2.018601894378662]
['BO', 33, 'CO', 132, 'sort', 'factor', 'O2', 'O1', 0.09115832762165865, 0.11569380760192871]
['UO', 12, 'CO', 32, 'gprof', 'expr', 'O1', 'O3', 0.14233373158104334, 1.111004114151001]
['CO', 339, 'BO', 83, 'wc', 'lua', 'O0', 'O2', 0.11018131101813111, 0.4881877899169922]
['UO', 24, 'CO', 396, 'diff', 'vdir', 'O2', 'O0', 0.057503506311360475, 0.3334617614746094]
['CO', 145, 'UO', 54, 'echo', 'addr2line', 'O1', 'O3', 0.13913205438629173, 0.7909729480743408]
['BO', 39, 'CO', 207, 'codeblocks', 'ln', 'O3', 'O1', 0.17884067471823706, 11.5609130859375]
['CO', 138, 'UO', 53, 'tail', 'gprof', 'O1', 'O3', 0.11959642359117384, 1.0619783401489258]
['CO', 64, 'UO', 16, 'tty', 'size', 'O3', 'O1', 0.15254089801601112, 1.0206103324890137]
['UO', 84, 'CO', 238, 'sdiff', 'expand', 'O0', 'O2', 0.11778029445073612, 0.05536770820617676]
['UO', 26, 'CO', 122, 'nm', 'uptime', 'O2', 'O1', 0.1386803979752138, 1.003136157989502]
['CO', 202, 'BO', 34, 'sleep', 'cp', 'O1', 'O2', 0.12336892052194548, 0.08844184875488281]
['UO', 36, 'BO', 6, 'addr2line', 'codeblocks', 'O2', 'O0', 0.15151134095160246, 40.65332221984863]
['UO', 33, 'CO', 196, 'objcopy', 'sha512sum', 'O2', 'O1', 0.13478455345161766, 1.172581434249878]
['CO', 68, 'UO', 29, 'yes', 'as', 'O3', 'O2', 0.13191759478331122, 1.610830545425415]
['CO', 223, 'UO', 18, 'join', 'diff3', 'O2', 'O1', 0.05645612073784234, 0.049570560455322266]
['UO', 56, 'CO', 335, 'elfedit', 'pr', 'O3', 'O0', 0.11138014527845042, 0.06957840919494629]
['CO', 283, 'BO', 77, 'mv', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.16508692140944448, 6.136056423187256]
['BO', 26, 'CO', 90, 'gvmap', 'tr', 'O3', 'O3', 0.11617687448503156, 0.1232900619506836]
['CO', 401, 'BO', 1, 'pathchk', 'ssh', 'O0', 'O2', 0.142830081454821, 1.488175392150879]
['UO', 29, 'CO', 235, 'as', 'wc', 'O2', 'O2', 0.12695960636228398, 1.6682448387145996]
['UO', 17, 'CO', 399, 'objdump', 'id', 'O1', 'O0', 0.13345480647120533, 2.04585337638855]
['BO', 26, 'CO', 366, 'gvmap', 'true', 'O3', 'O0', 0.11922070369293403, 0.12037086486816406]
['UO', 87, 'BO', 26, 'find', 'gvmap', 'O0', 'O3', 0.10287427626137302, 0.9113306999206543]
['CO', 349, 'BO', 68, 'truncate', 'git', 'O0', 'O3', 0.09193513682686849, 6.474344968795776]
['BO', 21, 'CO', 57, 'cp', 'od', 'O1', 'O3', 0.09479434447300772, 0.11529946327209473]
['BO', 47, 'CO', 145, 'libvlc.so.12.0.0', 'echo', 'O0', 'O1', 0.23370786516853936, 0.5637822151184082]
['BO', 75, 'CO', 91, 'gvmap', 'comm', 'O1', 'O3', 0.12333242580996462, 0.12377166748046875]
['CO', 58, 'BO', 57, 'df', 'libvlccore.so.9.0.0', 'O3', 'O3', 0.1456876907033332, 4.832257509231567]
['CO', 16, 'UO', 79, 'dirname', 'size', 'O3', 'O0', 0.15500620971080492, 2.0965631008148193]
['CO', 48, 'UO', 80, 'ls', 'objdump', 'O3', 'O0', 0.12607213753324098, 4.735306739807129]
['UO', 31, 'CO', 271, 'c++filt', 'logname', 'O2', 'O2', 0.1502417255485311, 0.8458144664764404]
['BO', 70, 'UO', 27, 'diff', 'strip', 'O3', 'O2', 0.10805566706811187, 1.552361011505127]
['BO', 12, 'CO', 345, 'libgeany.so.0.0.0', 'chown', 'O0', 'O0', 0.18624296057924372, 29.535369157791138]
['CO', 310, 'BO', 72, 'mknod', 'make', 'O2', 'O2', 0.13392688009092635, 0.22208714485168457]
['BO', 63, 'CO', 197, 'cluster', 'nl', 'O0', 'O1', 0.12308980531714464, 0.2056255340576172]
['UO', 0, 'CO', 113, 'locate', 'du', 'O1', 'O1', 0.03961352657004835, 0.2397923469543457]
['CO', 270, 'BO', 23, 'printf', 'git', 'O2', 'O2', 0.09260419931056096, 6.39154839515686]
['CO', 344, 'UO', 27, 'expr', 'strip', 'O0', 'O2', 0.1279696837195744, 1.3482186794281006]
