['CO', 306, 'UO', 13, 'sleep', 'addr2line', 'O2', 'O1', 0.15391365391365386, 1.0127155780792236]
['BO', 70, 'CO', 29, 'diff', 'nproc', 'O3', 'O3', 0.12081463583016916, 0.0853414535522461]
['UO', 39, 'CO', 341, 'size', 'nproc', 'O2', 'O0', 0.13995525727069347, 0.9384582042694092]
['UO', 63, 'BO', 12, 'cmp', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19180900621118013, 27.709829092025757]
['UO', 76, 'CO', 88, 'addr2line', 'shred', 'O0', 'O3', 0.1437191127456614, 2.231463670730591]
['CO', 138, 'UO', 87, 'tail', 'find', 'O1', 'O0', 0.14507059852555293, 0.7141296863555908]
['CO', 403, 'UO', 60, 'comm', 'xargs', 'O0', 'O3', 0.07670454545454541, 0.08187985420227051]
['UO', 44, 'CO', 373, 'nm', 'cksum', 'O3', 'O0', 0.13368887281930764, 0.8485281467437744]
['CO', 218, 'UO', 73, 'users', 'objcopy', 'O2', 'O0', 0.14714760036220942, 2.58713698387146]
['CO', 237, 'BO', 80, 'nproc', 'ssh', 'O2', 'O3', 0.14141220152359002, 1.2662842273712158]
['CO', 42, 'UO', 12, 'sum', 'gprof', 'O3', 'O1', 0.1429258902791145, 1.1305036544799805]
['CO', 66, 'UO', 71, 'runcon', 'c++filt', 'O3', 'O0', 0.15535318435084777, 2.0207431316375732]
['CO', 260, 'BO', 78, 'sha256sum', 'ssh', 'O2', 'O0', 0.1406360781930518, 2.0445656776428223]
['CO', 245, 'UO', 14, 'truncate', 'ar', 'O2', 'O1', 0.15069059631130588, 1.1017179489135742]
['BO', 66, 'CO', 222, 'svn', 'stty', 'O2', 'O2', 0.21176285083569857, 0.4945685863494873]
['UO', 39, 'CO', 300, 'size', 'sha512sum', 'O2', 'O2', 0.14418144181441817, 0.9069976806640625]
['CO', 200, 'UO', 72, 'fold', 'strings', 'O1', 'O0', 0.15187773960431228, 2.1096105575561523]
['BO', 43, 'CO', 314, 'diff', 'stat', 'O1', 'O0', 0.047101449275362306, 0.21401190757751465]
['CO', 127, 'UO', 76, 'pr', 'addr2line', 'O1', 'O0', 0.14300506212609299, 2.3971774578094482]
['CO', 209, 'UO', 41, 'touch', 'locate', 'O2', 'O2', 0.09639667385278716, 0.14641451835632324]
['CO', 192, 'BO', 49, 'shred', 'svn', 'O1', 'O0', 0.1855755894590846, 0.643157958984375]
['UO', 19, 'CO', 390, 'cmp', 'chcon', 'O1', 'O0', 0.11129848229342332, 0.08991241455078125]
['CO', 361, 'UO', 76, 'nice', 'addr2line', 'O0', 'O0', 0.14982269503546097, 2.1570520401000977]
['CO', 50, 'BO', 65, 'dircolors', 'gvmap', 'O3', 'O0', 0.12668849774866964, 0.19339680671691895]
['CO', 107, 'UO', 64, 'unlink', 'diff', 'O1', 'O3', 0.12357549857549854, 0.08675718307495117]
['UO', 41, 'CO', 186, 'locate', 'shuf', 'O2', 'O1', 0.08657351154313486, 0.1551666259765625]
['UO', 41, 'CO', 111, 'locate', 'fmt', 'O2', 'O1', 0.1249573233185387, 0.12000870704650879]
['BO', 71, 'CO', 247, 'libSDL2-2.0.so.0.16.0', 'paste', 'O0', 'O2', 0.20281618457884465, 6.129349708557129]
['CO', 60, 'UO', 86, 'base64', 'xargs', 'O3', 'O0', 0.13549211759693225, 0.09356546401977539]
['BO', 4, 'CO', 35, 'libgeany.so.0.0.0', 'base32', 'O2', 'O3', 0.1778095692258782, 26.819671869277954]
['CO', 55, 'BO', 14, 'cp', 'cmp', 'O3', 'O0', 0.0834735779198923, 0.11026239395141602]
['CO', 413, 'BO', 36, 'rmdir', 'cluster', 'O0', 'O2', 0.11507819415756859, 0.1366593837738037]
['CO', 156, 'BO', 74, 'sha256sum', 'dot', 'O1', 'O1', 0.1964285714285714, 0.020895719528198242]
['CO', 99, 'UO', 35, 'sort', 'gprof', 'O3', 'O2', 0.10942974282519569, 1.3395819664001465]
['BO', 33, 'CO', 102, 'sort', 'mknod', 'O2', 'O3', 0.13166023166023166, 0.08699607849121094]
['CO', 355, 'UO', 50, 'chroot', 'strings', 'O0', 'O3', 0.12840785169029445, 0.8749651908874512]
['CO', 393, 'BO', 25, 'cat', 'dot', 'O0', 'O3', 0.2056168505516549, 0.02384018898010254]
['BO', 57, 'CO', 54, 'libvlccore.so.9.0.0', 'true', 'O3', 'O3', 0.1568917891028464, 4.139817953109741]
['CO', 58, 'BO', 62, 'df', 'bash', 'O3', 'O1', 0.11713279637349738, 3.25154972076416]
['CO', 219, 'UO', 2, 'groups', 'find', 'O2', 'O1', 0.16641038783529816, 0.3757777214050293]
['UO', 59, 'CO', 249, 'locate', 'echo', 'O3', 'O2', 0.15076560659599525, 0.08823490142822266]
['CO', 154, 'BO', 13, 'dircolors', 'ruby', 'O1', 'O1', 0.10388185268163319, 13.013475894927979]
['CO', 154, 'UO', 17, 'dircolors', 'objdump', 'O1', 'O1', 0.13699012331901117, 2.0409579277038574]
['UO', 34, 'CO', 98, 'ld', 'sleep', 'O2', 'O3', 0.14289990421455934, 1.7073895931243896]
