['CO', 239, 'UO', 26, 'date', 'nm', 'O2', 'O2', 0.13475055717469564, 1.0320756435394287]
['UO', 45, 'CO', 415, 'strip', 'ln', 'O3', 'O0', 0.10444791814693766, 1.297475814819336]
['UO', 1, 'BO', 59, 'xargs', 'libgeany.so.0.0.0', 'O1', 'O3', 0.16358875840485854, 27.497811555862427]
['BO', 6, 'CO', 244, 'codeblocks', 'pinky', 'O0', 'O2', 0.20621888699011814, 27.420883178710938]
['CO', 15, 'UO', 64, 'join', 'diff', 'O3', 'O3', 0.09236947791164662, 0.10345745086669922]
['UO', 35, 'CO', 168, 'gprof', 'tty', 'O2', 'O1', 0.14245880861850446, 0.974076509475708]
['UO', 39, 'CO', 393, 'size', 'cat', 'O2', 'O0', 0.137940234791889, 0.9567980766296387]
['UO', 40, 'CO', 261, 'objdump', 'chmod', 'O2', 'O2', 0.12816428693327264, 1.824018955230713]
['BO', 47, 'CO', 213, 'libvlc.so.12.0.0', 'basename', 'O0', 'O2', 0.239825327510917, 0.5378446578979492]
['CO', 257, 'BO', 41, 'nice', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.21067499256616118, 5.074077367782593]
['CO', 57, 'UO', 9, 'od', 'strings', 'O3', 'O1', 0.14021274813635987, 1.1098964214324951]
['CO', 75, 'UO', 0, 'mv', 'locate', 'O3', 'O1', 0.03982777179763186, 0.2483689785003662]
['CO', 193, 'BO', 64, 'pathchk', 'dot', 'O1', 'O0', 0.17691342534504395, 0.015543460845947266]
['BO', 5, 'CO', 236, 'libgeany.so.0.0.0', 'factor', 'O1', 'O2', 0.17322884609283284, 27.349117040634155]
['CO', 293, 'BO', 73, '[', 'cluster', 'O2', 'O1', 0.12802566345873434, 0.12443089485168457]
['BO', 69, 'CO', 49, 'cmp', 'nice', 'O3', 'O3', 0.06171932402645108, 0.028540372848510742]
['CO', 349, 'BO', 70, 'truncate', 'diff', 'O0', 'O3', 0.09862922099632232, 0.10695362091064453]
['BO', 9, 'CO', 389, 'git', 'env', 'O0', 'O0', 0.09172661870503596, 6.319594621658325]
['UO', 67, 'BO', 78, 'strip', 'ssh', 'O0', 'O0', 0.018648079273843265, 9.539695978164673]
