['CV', 157, 'UV', 32, 'vdir', 'addr2line', 'V3', 'V3', 0.10977646965237453, 1.3212456703186035]
['CV', 93, 'UV', 8, 'fmt', 'strip', 'V3', 'V2', 0.1362167719195183, 1.1900873184204102]
['UV', 82, 'CV', 127, 'gprof', 'ls', 'V0', 'V3', 0.10479654466924304, 1.275263786315918]
['CV', 136, 'UV', 60, 'tsort', 'gprof', 'V3', 'V1', 0.13671050495210257, 1.0086865425109863]
['UV', 31, 'CV', 309, 'gprof', 'df', 'V3', 'V1', 0.13851407629518575, 1.0152959823608398]
['UV', 78, 'CV', 313, 'c++filt', 'logname', 'V0', 'V1', 0.15102864833685836, 0.7573771476745605]
['CV', 310, 'UV', 82, 'tsort', 'gprof', 'V1', 'V0', 0.14406190227786475, 0.8771994113922119]
['BV', 41, 'UV', 14, 'libvlccore.so', 'objcopy', 'V1', 'V2', 0.04048857724496724, 7.552455186843872]
['UV', 87, 'CV', 63, 'objdump', 'mv', 'V0', 'V2', 0.11575186348795663, 1.7325384616851807]
['CV', 345, 'UV', 50, 'rmdir', 'find', 'V1', 'V1', 0.15910857735164552, 0.14627766609191895]
['BV', 81, 'UV', 49, 'dot', 'xargs', 'V1', 'V1', 0.1625371655104063, 0.01821732521057129]
['UV', 34, 'BV', 33, 'elfedit', 'openssl', 'V3', 'V0', 0.10104178859885282, 5.950534105300903]
['BV', 43, 'CV', 237, 'lua', 'mv', 'V0', 'V0', 0.10743074893741755, 0.388155460357666]
['CV', 319, 'BV', 12, 'readlink', 'sort', 'V1', 'V2', 0.12863479546574663, 0.050366878509521484]
['UV', 60, 'CV', 276, 'gprof', 'uptime', 'V1', 'V1', 0.14232488822652756, 0.968895435333252]
['BV', 12, 'CV', 225, 'sort', 'printf', 'V2', 'V0', 0.11390602752728995, 0.057326316833496094]
['UV', 34, 'BV', 25, 'elfedit', 'git', 'V3', 'V3', 0.08623785055407662, 9.34196424484253]
['UV', 59, 'CV', 224, 'ld', 'cksum', 'V1', 'V0', 0.13768744578014624, 1.4959988594055176]
