['BV', 23, 'CV', 35, 'diff', 'sum', 'V3', 'V2', 0.11823855755894597, 0.08565068244934082]
['CV', 214, 'UV', 79, 'ls', 'strings', 'V0', 'V0', 0.12235623142807206, 0.995495080947876]
['UV', 33, 'BV', 18, 'ar', 'sort', 'V3', 'V3', 0.11162333736396612, 1.2784805297851562]
['BV', 4, 'CV', 244, 'geany', 'vdir', 'V3', 'V0', 0.1769929745606953, 25.361935138702393]
['UV', 55, 'CV', 276, 'ranlib', 'uptime', 'V1', 'V1', 0.145777027027027, 0.9280624389648438]
['CV', 48, 'BV', 14, 'df', 'openssl', 'V2', 'V3', 0.27628052788592816, 5.771359205245972]
['UV', 19, 'CV', 134, 'elfedit', 'od', 'V2', 'V3', 0.05788876276957999, 0.03817009925842285]
['BV', 32, 'UV', 16, 'perl', 'gprof', 'V0', 'V2', 0.028454699772707648, 5.558877229690552]
['CV', 272, 'BV', 63, 'printenv', 'ruby', 'V1', 'V0', 0.11760922866674706, 8.965089559555054]
['CV', 155, 'BV', 82, 'cat', 'gvmap', 'V3', 'V1', 0.1266314912524299, 0.1238245964050293]
['UV', 82, 'CV', 49, 'gprof', 'tsort', 'V0', 'V2', 0.14162794699707448, 0.8461434841156006]
['BV', 26, 'CV', 210, 'geany', 'chroot', 'V2', 'V0', 0.18436417055898746, 19.69417428970337]
['CV', 62, 'BV', 24, 'unexpand', 'git', 'V2', 'V0', 0.09555144659560577, 3.4079408645629883]
['UV', 2, 'CV', 85, 'find', 'mknod', 'V2', 'V2', 0.14953505906006537, 0.14864802360534668]
['CV', 232, 'BV', 40, 'readlink', 'lua', 'V0', 'V2', 0.13877072025817805, 0.3076155185699463]
['CV', 16, 'UV', 21, 'dd', 'objdump', 'V2', 'V2', 0.13082310608494507, 1.5125236511230469]
['CV', 285, 'UV', 46, 'factor', 'diff', 'V1', 'V1', 0.12745098039215685, 0.08011293411254883]
['UV', 42, 'CV', 310, 'diff', 'tsort', 'V3', 'V1', 0.14243323442136502, 0.07533502578735352]
['BV', 12, 'CV', 264, 'sort', 'test', 'V2', 'V1', 0.12143202709240442, 0.0498504638671875]
['CV', 20, 'BV', 6, 'tee', 'libvlc.so', 'V2', 'V0', 0.1902252036415908, 0.2236957550048828]
['BV', 66, 'CV', 305, 'lua', 'true', 'V1', 'V1', 0.14328499369482972, 0.26360082626342773]
['UV', 34, 'CV', 57, 'elfedit', 'who', 'V3', 'V2', 0.04851752021563338, 0.03326082229614258]
['CV', 336, 'BV', 48, 'tr', 'gvmap', 'V1', 'V3', 0.13325674899483053, 0.24800372123718262]
['CV', 26, 'BV', 72, 'date', 'perl', 'V2', 'V1', 0.08994043679682329, 3.339158773422241]
['CV', 75, 'UV', 70, 'tr', 'locate', 'V2', 'V0', 0.09542831779849092, 0.06137728691101074]
['CV', 43, 'BV', 62, 'chmod', 'diff', 'V2', 'V0', 0.06299212598425197, 0.05753135681152344]
['CV', 126, 'BV', 55, 'whoami', 'codeblocks', 'V3', 'V3', 0.18847035531937062, 10.532140493392944]
['BV', 32, 'CV', 195, 'perl', 'chgrp', 'V0', 'V0', 0.10680702338353998, 1.9598581790924072]
['BV', 59, 'CV', 247, 'make', 'shred', 'V1', 'V0', 0.11779644461808947, 0.2139449119567871]
['CV', 238, 'UV', 81, 'md5sum', 'ld', 'V0', 'V0', 0.13546958447310153, 1.3512389659881592]
['BV', 13, 'CV', 132, 'cp', 'cp', 'V2', 'V3', 0.02541026998411855, 0.14971709251403809]
['CV', 294, 'UV', 18, 'sync', 'ar', 'V1', 'V2', 0.15221696082651737, 0.9302313327789307]
['BV', 67, 'CV', 72, 'cluster', 'id', 'V0', 'V2', 0.13592555666334327, 0.09177160263061523]
['CV', 68, 'UV', 33, 'cat', 'ar', 'V2', 'V3', 0.1390003343363424, 1.0157763957977295]
['CV', 37, 'UV', 76, 'seq', 'as', 'V2', 'V0', 0.13061323032351524, 1.4472148418426514]
