['CO', 9, 'BO', 14, 'du', 'cmp', 'O3', 'O0', 0.07466473359913017, 0.09624719619750977]
['BO', 33, 'UO', 46, 'sort', 'readelf', 'O2', 'O3', 0.05786082474226806, 0.38925790786743164]
['UO', 41, 'CO', 350, 'locate', 'sha1sum', 'O2', 'O0', 0.10382513661202186, 0.13951659202575684]
['BO', 56, 'CO', 328, 'libvlc.so.12.0.0', 'dirname', 'O3', 'O0', 0.2023899848254932, 0.399916410446167]
['CO', 225, 'UO', 5, 'stdbuf', 'readelf', 'O2', 'O1', 0.11579106280193241, 0.2811281681060791]
['CO', 128, 'BO', 29, 'tee', 'libvlc.so.12.0.0', 'O1', 'O2', 0.21243926141885328, 0.41562938690185547]
['BO', 35, 'CO', 314, 'make', 'stat', 'O3', 'O0', 0.07612293144208038, 0.36614131927490234]
['UO', 4, 'BO', 5, 'strip', 'libgeany.so.0.0.0', 'O1', 'O1', 0.12093375696263109, 44.12096905708313]
['BO', 7, 'UO', 60, 'sort', 'xargs', 'O0', 'O3', 0.08615462354724612, 0.24431324005126953]
['UO', 15, 'CO', 54, 'elfedit', 'true', 'O1', 'O3', 0.07651109410864576, 0.026502609252929688]
['UO', 54, 'CO', 153, 'addr2line', 'nice', 'O3', 'O1', 0.13776788199276369, 0.7938981056213379]
['CO', 232, 'UO', 36, 'tee', 'addr2line', 'O2', 'O2', 0.14583333333333337, 0.9005155563354492]
['CO', 107, 'UO', 41, 'unlink', 'locate', 'O1', 'O2', 0.14260057471264365, 0.1110835075378418]
['UO', 20, 'BO', 72, 'diff', 'make', 'O1', 'O2', 0.05654465175900869, 0.4186253547668457]
['UO', 10, 'CO', 286, 'objcopy', 'chcon', 'O1', 'O2', 0.131340133661625, 1.3825883865356445]
['BO', 71, 'CO', 126, 'libSDL2-2.0.so.0.16.0', 'pwd', 'O0', 'O1', 0.19954457282617866, 6.352059602737427]
['CO', 318, 'BO', 78, 'mkdir', 'ssh', 'O0', 'O0', 0.12085863173495248, 2.7159512042999268]
['CO', 110, 'BO', 42, 'mkdir', 'cmp', 'O1', 'O1', 0.04906832298136643, 0.04723048210144043]
['CO', 359, 'UO', 54, 'numfmt', 'addr2line', 'O0', 'O3', 0.12203300097061676, 0.9744443893432617]
['UO', 62, 'CO', 264, 'diff3', 'cut', 'O3', 'O2', 0.05505685218432077, 0.04117846488952637]
['CO', 288, 'UO', 50, 'uname', 'strings', 'O2', 'O3', 0.14195494391554342, 0.7592849731445312]
['BO', 50, 'CO', 254, 'perl', 'whoami', 'O2', 'O2', 0.08803242981606973, 2.2815797328948975]
['CO', 120, 'BO', 64, 'dirname', 'dot', 'O1', 'O0', 0.17616580310880825, 0.015575647354125977]
['BO', 29, 'CO', 166, 'libvlc.so.12.0.0', 'printf', 'O2', 'O1', 0.20725388601036265, 0.4264228343963623]
['CO', 62, 'UO', 24, 'printf', 'diff', 'O3', 'O2', 0.11627129969929839, 0.1016075611114502]
['CO', 124, 'BO', 11, 'mkfifo', 'ssh', 'O1', 'O1', 0.14762418321385518, 1.4420948028564453]
['BO', 3, 'CO', 238, 'openssl', 'expand', 'O1', 'O2', 0.2811030078108143, 7.4266533851623535]
['UO', 63, 'CO', 168, 'cmp', 'tty', 'O3', 'O1', 0.05283307810107196, 0.03226518630981445]
['UO', 16, 'CO', 175, 'size', 'readlink', 'O1', 'O1', 0.1439329111757659, 1.068129539489746]
['CO', 216, 'BO', 7, 'dir', 'sort', 'O2', 'O0', 0.06162891986062713, 0.28820252418518066]
['CO', 124, 'BO', 43, 'mkfifo', 'diff', 'O1', 'O1', 0.13768879522304178, 0.10643124580383301]
['CO', 2, 'BO', 58, 'stat', 'svn', 'O3', 'O1', 0.187701317715959, 0.5849933624267578]
['CO', 292, 'UO', 31, 'vdir', 'c++filt', 'O2', 'O2', 0.11071195297191383, 1.2358579635620117]
['UO', 81, 'CO', 392, 'diff3', 'uname', 'O0', 'O0', 0.08691043985161628, 0.06618976593017578]
['CO', 119, 'BO', 74, 'join', 'dot', 'O1', 'O1', 0.18831168831168832, 0.023078203201293945]
['CO', 59, 'UO', 75, 'tsort', 'gprof', 'O3', 'O0', 0.14902202544415177, 2.2326009273529053]
['CO', 43, 'UO', 80, 'chroot', 'objdump', 'O3', 'O0', 0.1414535984848485, 3.8863415718078613]
['CO', 279, 'UO', 35, 'readlink', 'gprof', 'O2', 'O2', 0.13910717271359307, 1.0049152374267578]
['CO', 349, 'UO', 47, 'truncate', 'as', 'O0', 'O3', 0.1188014718766427, 1.5030417442321777]
['CO', 348, 'BO', 41, 'pinky', 'libSDL2-2.0.so.0.16.0', 'O0', 'O2', 0.2022564800855906, 5.421489715576172]
['BO', 38, 'CO', 206, 'acyclic', 'mknod', 'O2', 'O1', 0.16875712656784492, 0.018220901489257812]
['BO', 61, 'CO', 199, 'git', 'sha224sum', 'O1', 'O1', 0.09210062991509838, 6.295136451721191]
['CO', 268, 'UO', 21, 'base64', 'sdiff', 'O2', 'O1', 0.08043065231158963, 0.041463613510131836]
['CO', 69, 'BO', 65, 'who', 'gvmap', 'O3', 'O0', 0.12022404480896176, 0.21054959297180176]
['UO', 67, 'BO', 15, 'strip', 'diff', 'O0', 'O0', 0.11395623354217743, 3.5661303997039795]
['CO', 352, 'BO', 5, 'sync', 'libgeany.so.0.0.0', 'O0', 'O1', 0.1740529518590499, 27.764700412750244]
['UO', 13, 'CO', 89, 'addr2line', 'pathchk', 'O1', 'O3', 0.1509156876295784, 0.9944779872894287]
['CO', 91, 'BO', 34, 'comm', 'cp', 'O3', 'O2', 0.11283758786533482, 0.08612370491027832]
['CO', 143, 'BO', 47, 'paste', 'libvlc.so.12.0.0', 'O1', 'O0', 0.22910638297872343, 0.5726094245910645]
['BO', 19, 'UO', 54, 'libvlccore.so.9.0.0', 'addr2line', 'O1', 'O3', 0.07621066078271976, 9.3089439868927]
['UO', 59, 'CO', 49, 'locate', 'nice', 'O3', 'O3', 0.13816032508311782, 0.0948173999786377]
['UO', 82, 'CO', 359, 'cmp', 'numfmt', 'O0', 'O0', 0.04349951124144669, 0.07236480712890625]
['UO', 8, 'BO', 54, 'c++filt', 'lua', 'O1', 'O3', 0.055593685655456415, 2.1055397987365723]
['UO', 69, 'CO', 81, 'as', 'cat', 'O0', 'O3', 0.13882156621240416, 3.6187050342559814]
['BO', 36, 'UO', 56, 'cluster', 'elfedit', 'O2', 'O3', 0.1189492325855962, 0.12257075309753418]
['CO', 65, 'UO', 10, 'false', 'objcopy', 'O3', 'O1', 0.14588975916843572, 1.248375415802002]
['UO', 54, 'CO', 279, 'addr2line', 'readlink', 'O3', 'O2', 0.1353687695420268, 0.7807567119598389]
['BO', 67, 'CO', 162, 'libSDL2-2.0.so.0.16.0', 'df', 'O1', 'O1', 0.1911326378539493, 5.764486312866211]
['UO', 8, 'CO', 343, 'c++filt', 'date', 'O1', 'O0', 0.1297678275290215, 1.2411456108093262]
['CO', 171, 'UO', 82, 'nohup', 'cmp', 'O1', 'O0', 0.07230471271788252, 0.04611492156982422]
['UO', 63, 'CO', 315, 'cmp', 'unlink', 'O3', 'O0', 0.03787327021121634, 0.03639650344848633]
['UO', 64, 'CO', 404, 'diff', 'sha512sum', 'O3', 'O0', 0.08538899430740043, 0.1171722412109375]
