['BO', 49, 'CO', 402, 'svn', 'tr', 'O0', 'O0', 0.1870443073471677, 0.5987987518310547]
['BO', 63, 'CO', 286, 'cluster', 'chcon', 'O0', 'O2', 0.10435956790123457, 0.23281192779541016]
['BO', 77, 'CO', 385, 'libSDL2-2.0.so.0.16.0', 'hostid', 'O3', 'O0', 0.1888268667642753, 4.881356716156006]
['UO', 53, 'CO', 361, 'gprof', 'nice', 'O3', 'O0', 0.13053154155610713, 0.9034616947174072]
['CO', 336, 'UO', 58, 'tee', 'objdump', 'O0', 'O3', 0.1213463751438435, 1.6544663906097412]
['UO', 35, 'CO', 372, 'gprof', 'base64', 'O2', 'O0', 0.1334378610331738, 1.0713942050933838]
['BO', 15, 'CO', 32, 'diff', 'expr', 'O0', 'O3', 0.1401238041643219, 0.15793585777282715]
['CO', 33, 'UO', 16, 'chown', 'size', 'O3', 'O1', 0.1356378600823045, 1.133450984954834]
['CO', 116, 'UO', 23, 'ptx', 'cmp', 'O1', 'O2', 0.05998928762720945, 0.05553269386291504]
['BO', 18, 'CO', 255, 'libvlc.so.12.0.0', 'numfmt', 'O1', 'O2', 0.2109744560075686, 0.4313504695892334]
['BO', 55, 'UO', 85, 'make', 'locate', 'O1', 'O0', 0.026866851047017026, 0.565394401550293]
['CO', 271, 'BO', 64, 'logname', 'dot', 'O2', 'O0', 0.16275659824046917, 0.012134790420532227]
['BO', 38, 'CO', 255, 'acyclic', 'numfmt', 'O2', 'O2', 0.17061143984220906, 0.019568681716918945]
['BO', 45, 'UO', 56, 'diff', 'elfedit', 'O2', 'O3', 0.12775482093663915, 0.10138177871704102]
['BO', 61, 'CO', 237, 'git', 'nproc', 'O1', 'O2', 0.09329091051928673, 6.084440231323242]
['CO', 274, 'UO', 23, 'runcon', 'cmp', 'O2', 'O2', 0.08403361344537819, 0.026506900787353516]
['CO', 403, 'BO', 54, 'comm', 'lua', 'O0', 'O3', 0.10621348911311734, 0.35964441299438477]
['BO', 21, 'CO', 18, 'cp', 'uptime', 'O1', 'O3', 0.11273486430062629, 0.10848665237426758]
['CO', 198, 'UO', 76, 'rm', 'addr2line', 'O1', 'O0', 0.14038088721633024, 2.4348175525665283]
['CO', 99, 'BO', 46, 'sort', 'ruby', 'O3', 'O3', 0.09830978771649779, 14.441791772842407]
['CO', 162, 'BO', 80, 'df', 'ssh', 'O1', 'O3', 0.1237219432512554, 1.6315834522247314]
['CO', 2, 'UO', 17, 'stat', 'objdump', 'O3', 'O1', 0.12908461371997404, 2.2530856132507324]
['CO', 40, 'UO', 11, 'sync', 'ld', 'O3', 'O1', 0.1466472303206997, 1.9739058017730713]
['CO', 235, 'UO', 18, 'wc', 'diff3', 'O2', 'O1', 0.05031091011871114, 0.053253889083862305]
['CO', 102, 'UO', 0, 'mknod', 'locate', 'O3', 'O1', 0.1394101876675603, 0.1157994270324707]
['CO', 128, 'UO', 46, 'tee', 'readelf', 'O1', 'O3', 0.0993579944970957, 0.24474525451660156]
['CO', 292, 'UO', 81, 'vdir', 'diff3', 'O2', 'O0', 0.06521060842433701, 0.1479346752166748]
['BO', 25, 'CO', 112, 'dot', 'dir', 'O3', 'O1', 0.21198957428323195, 0.07482719421386719]
['UO', 28, 'BO', 78, 'readelf', 'ssh', 'O2', 'O0', 0.08728561075771002, 3.402636766433716]
['UO', 60, 'CO', 244, 'xargs', 'pinky', 'O3', 'O2', 0.10902636916835695, 0.07077193260192871]
['CO', 168, 'UO', 63, 'tty', 'cmp', 'O1', 'O3', 0.05283307810107196, 0.0310971736907959]
['CO', 22, 'BO', 52, 'pwd', 'svn', 'O3', 'O3', 0.20877742946708466, 0.4587743282318115]
['BO', 30, 'CO', 246, 'libvlccore.so.9.0.0', 'sha1sum', 'O2', 'O2', 0.16056642265690624, 4.529947757720947]
['CO', 409, 'BO', 27, 'uniq', 'perl', 'O0', 'O3', 0.07990561640643201, 2.537623167037964]
['BO', 70, 'UO', 8, 'diff', 'c++filt', 'O3', 'O1', 0.1139386484200815, 1.4250469207763672]
['BO', 13, 'CO', 391, 'ruby', 'link', 'O1', 'O0', 0.10411293399465849, 12.818253517150879]
