['BO', 73, 'UO', 75, 'cluster', 'gprof', 'O1', 'O0', 0.11757893146684117, 3.0478999614715576]
['UO', 24, 'CO', 299, 'diff', 'comm', 'O2', 'O2', 0.1270521056388294, 0.10042476654052734]
['UO', 31, 'CO', 93, 'c++filt', 'nl', 'O2', 'O3', 0.14367346938775505, 0.8977715969085693]
['BO', 45, 'CO', 340, 'diff', 'factor', 'O2', 'O0', 0.0569218016026527, 0.17399096488952637]
['UO', 12, 'CO', 388, 'gprof', 'md5sum', 'O1', 'O0', 0.1377250278795603, 1.1791729927062988]
['CO', 125, 'UO', 23, 'mktemp', 'cmp', 'O1', 'O2', 0.05580215599239058, 0.04548525810241699]
['BO', 1, 'CO', 159, 'ssh', 'cp', 'O2', 'O1', 0.1183796996857176, 1.8279485702514648]
['CO', 1, 'UO', 23, 'touch', 'cmp', 'O3', 'O2', 0.05399682371625203, 0.04727768898010254]
['UO', 78, 'CO', 237, 'elfedit', 'nproc', 'O0', 'O2', 0.07841672890216578, 0.03339052200317383]
['BO', 83, 'CO', 329, 'lua', 'stdbuf', 'O2', 'O0', 0.1168730650154799, 0.4248487949371338]
['UO', 4, 'CO', 304, 'strip', 'fold', 'O1', 'O2', 0.14447861745752788, 2.2126245498657227]
['CO', 405, 'UO', 24, 'nl', 'diff', 'O0', 'O2', 0.09933774834437081, 0.12285304069519043]
['BO', 68, 'CO', 282, 'git', 'unexpand', 'O3', 'O2', 0.09315417810906235, 6.186435699462891]
['CO', 153, 'BO', 82, 'nice', 'cp', 'O1', 'O3', 0.11144692104268983, 0.0856161117553711]
['BO', 0, 'CO', 324, 'codeblocks', 'ptx', 'O1', 'O0', 0.17929480449645352, 11.297075271606445]
['CO', 159, 'BO', 10, 'cp', 'openssl', 'O1', 'O3', 0.25279714610021076, 8.816781282424927]
['BO', 70, 'CO', 265, 'diff', 'od', 'O3', 'O2', 0.09130982367758189, 0.11122369766235352]
['UO', 83, 'CO', 216, 'diff', 'dir', 'O0', 'O2', 0.05438066465256797, 0.2915465831756592]
['BO', 22, 'CO', 298, 'perl', 'tr', 'O0', 'O2', 0.11125621890547266, 3.5913665294647217]
['BO', 76, 'CO', 35, 'openssl', 'base32', 'O2', 'O3', 0.27795827633378933, 7.256614685058594]
['CO', 48, 'UO', 25, 'ls', 'sdiff', 'O3', 'O2', 0.08751608751608753, 0.11794281005859375]
['BO', 70, 'CO', 348, 'diff', 'pinky', 'O3', 'O0', 0.08556832694763727, 0.12201642990112305]
['CO', 364, 'UO', 44, 'sha256sum', 'nm', 'O0', 'O3', 0.12757092198581566, 0.929537296295166]
['BO', 5, 'CO', 211, 'libgeany.so.0.0.0', 'unlink', 'O1', 'O2', 0.1755821572983426, 27.06849503517151]
['CO', 413, 'BO', 10, 'rmdir', 'openssl', 'O0', 'O3', 0.2753114431268462, 7.6109230518341064]
['UO', 81, 'CO', 4, 'diff3', 'test', 'O0', 'O3', 0.10460460460460463, 0.06039786338806152]
['CO', 187, 'UO', 85, 'csplit', 'locate', 'O1', 'O0', 0.12693266832917705, 0.2247791290283203]
['CO', 396, 'UO', 77, 'vdir', 'ar', 'O0', 'O0', 0.11329503074286862, 3.337681531906128]
['BO', 31, 'CO', 147, 'bash', 'chroot', 'O2', 'O1', 0.12234716826824776, 2.704794406890869]
['BO', 35, 'CO', 242, 'make', 'tail', 'O3', 'O2', 0.10405613554680815, 0.2700364589691162]
['CO', 189, 'UO', 14, '[', 'ar', 'O1', 'O1', 0.14358435681965087, 1.1498475074768066]
['CO', 248, 'UO', 4, 'sync', 'strip', 'O2', 'O1', 0.14566032189314326, 1.2626636028289795]
['CO', 376, 'BO', 27, 'tty', 'perl', 'O0', 'O3', 0.08213823909721407, 2.310206174850464]
['CO', 20, 'BO', 81, 'mkfifo', 'sort', 'O3', 'O3', 0.12209302325581395, 0.07990074157714844]
['BO', 49, 'CO', 398, 'svn', 'timeout', 'O0', 'O0', 0.18996466431095405, 0.6232597827911377]
['CO', 197, 'BO', 50, 'nl', 'perl', 'O1', 'O2', 0.08610485203545137, 2.464712142944336]
['UO', 14, 'BO', 52, 'ar', 'svn', 'O1', 'O3', 0.0666589313685676, 2.7081480026245117]
['BO', 7, 'CO', 8, 'sort', 'dir', 'O0', 'O3', 0.05969836614997903, 0.2935943603515625]
['CO', 176, 'BO', 37, 'head', 'gvmap', 'O1', 'O2', 0.11641379310344824, 0.13273835182189941]
['CO', 398, 'BO', 37, 'timeout', 'gvmap', 'O0', 'O2', 0.09672304439746304, 0.1642613410949707]
['CO', 362, 'BO', 82, 'dircolors', 'cp', 'O0', 'O3', 0.08886547242711629, 0.10265684127807617]
['CO', 182, 'BO', 43, 'chcon', 'diff', 'O1', 'O1', 0.07922485038472504, 0.1535797119140625]
['UO', 14, 'CO', 356, 'ar', 'seq', 'O1', 'O0', 0.14203811369509045, 1.170135259628296]
['CO', 164, 'UO', 55, 'base64', 'ar', 'O1', 'O3', 0.13314251019169054, 0.8820199966430664]
['CO', 140, 'BO', 30, 'pinky', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.15837644249900518, 4.6854798793792725]
['UO', 7, 'CO', 49, 'ranlib', 'nice', 'O1', 'O3', 0.15040249712502052, 1.0781221389770508]
