['CO', 33, 'BO', 51, 'chown', 'lua', 'O3', 'O1', 0.11391069963670453, 0.5173883438110352]
['UO', 86, 'CO', 360, 'xargs', 'ls', 'O0', 'O0', 0.06663665015758669, 0.33774757385253906]
['BO', 79, 'CO', 22, 'bash', 'pwd', 'O3', 'O3', 0.11294884890390511, 2.4995057582855225]
['CO', 41, 'UO', 79, 'echo', 'size', 'O3', 'O0', 0.15499290108849972, 2.198613405227661]
['BO', 63, 'CO', 181, 'cluster', 'env', 'O0', 'O1', 0.1298784388995522, 0.20389199256896973]
['BO', 50, 'CO', 113, 'perl', 'du', 'O2', 'O1', 0.07718003834311271, 3.0419795513153076]
['UO', 11, 'CO', 199, 'ld', 'sha224sum', 'O1', 'O1', 0.14269148257667996, 2.102292537689209]
['UO', 13, 'CO', 255, 'addr2line', 'numfmt', 'O1', 'O2', 0.1463853871880627, 1.0914292335510254]
['CO', 24, 'BO', 4, 'tee', 'libgeany.so.0.0.0', 'O3', 'O2', 0.17759280733245442, 28.667473554611206]
['BO', 68, 'CO', 243, 'git', 'base32', 'O3', 'O2', 0.09309945651107576, 6.579279661178589]
['CO', 168, 'BO', 2, 'tty', 'perl', 'O1', 'O1', 0.07691085753620497, 2.558793544769287]
['CO', 78, 'BO', 59, 'chcon', 'libgeany.so.0.0.0', 'O3', 'O3', 0.1656207282216975, 26.697349309921265]
['UO', 56, 'BO', 27, 'elfedit', 'perl', 'O3', 'O3', 0.0824808746372776, 2.490551710128784]
['UO', 81, 'CO', 243, 'diff3', 'base32', 'O0', 'O2', 0.1119606772255598, 0.06306576728820801]
['CO', 363, 'BO', 51, 'realpath', 'lua', 'O0', 'O1', 0.11221401767340511, 0.5592412948608398]
['CO', 198, 'UO', 29, 'rm', 'as', 'O1', 'O2', 0.11844294111123432, 2.023649215698242]
['CO', 339, 'UO', 26, 'wc', 'nm', 'O0', 'O2', 0.13154269972451793, 1.1634178161621094]
['CO', 48, 'UO', 4, 'ls', 'strip', 'O3', 'O1', 0.11380780583797967, 1.8739566802978516]
['CO', 231, 'BO', 60, 'pr', 'openssl', 'O2', 'O0', 0.26440756108805896, 9.588074684143066]
['UO', 52, 'CO', 25, 'ld', 'chgrp', 'O3', 'O3', 0.12438967681934432, 1.7781643867492676]
['UO', 52, 'CO', 70, 'ld', 'b2sum', 'O3', 'O3', 0.12909520993494972, 1.6894588470458984]
['CO', 103, 'BO', 74, 'ln', 'dot', 'O3', 'O1', 0.18742442563482464, 0.03830718994140625]
['UO', 13, 'CO', 395, 'addr2line', 'csplit', 'O1', 'O0', 0.13264633140972792, 1.277688980102539]
['BO', 27, 'CO', 210, 'perl', 'stat', 'O3', 'O2', 0.07818276340110908, 2.81919527053833]
['CO', 298, 'BO', 78, 'tr', 'ssh', 'O2', 'O0', 0.14076958082621227, 2.1752095222473145]
['CO', 73, 'BO', 3, 'hostid', 'openssl', 'O3', 'O1', 0.28179895550088485, 7.820091485977173]
['CO', 47, 'BO', 40, 'numfmt', 'lua', 'O3', 'O0', 0.13572714542908582, 0.7602393627166748]
['CO', 127, 'UO', 39, 'pr', 'size', 'O1', 'O2', 0.13006029285099052, 1.1376805305480957]
