['BV', 34, 'CV', 9, 'svn', 'users', 'V0', 'V2', 0.21292331646555085, 0.30860447883605957]
['CV', 81, 'UV', 13, 'sleep', 'strings', 'V2', 'V2', 0.14872904272579768, 0.8650410175323486]
['CV', 86, 'BV', 10, 'ln', 'gvmap', 'V2', 'V2', 0.11116965226554265, 0.1380634307861328]
['UV', 24, 'BV', 68, 'readelf', 'dot', 'V3', 'V0', 0.13448623237071855, 0.1958937644958496]
['CV', 149, 'UV', 55, 'unexpand', 'ranlib', 'V3', 'V1', 0.14031161942648762, 0.9724128246307373]
['UV', 43, 'CV', 224, 'sdiff', 'cksum', 'V3', 'V0', 0.1291727140783745, 0.027695178985595703]
['BV', 75, 'UV', 62, 'cmp', 'ar', 'V2', 'V1', 0.1375608950540831, 1.0081355571746826]
['UV', 31, 'BV', 3, 'gprof', 'diff', 'V3', 'V1', 0.1138482528613659, 1.2228596210479736]
['BV', 16, 'CV', 179, 'libvlc.so', 'mkdir', 'V3', 'V0', 0.19069500287191266, 0.31859326362609863]
['UV', 57, 'CV', 264, 'strings', 'test', 'V1', 'V1', 0.14711693910544277, 0.8254857063293457]
['CV', 162, 'UV', 58, 'tr', 'objcopy', 'V3', 'V1', 0.13022331826277567, 1.2147436141967773]
['CV', 181, 'UV', 47, 'dir', 'sdiff', 'V0', 'V1', 0.0676724137931034, 0.07465887069702148]
['CV', 315, 'UV', 58, 'false', 'objcopy', 'V1', 'V1', 0.13988684582743982, 1.1056504249572754]
['BV', 80, 'CV', 273, 'cluster', 'stty', 'V1', 'V1', 0.13508612873980053, 0.11163735389709473]
['CV', 187, 'UV', 65, 'join', 'objdump', 'V0', 'V1', 0.134759903197045, 1.4153680801391602]
['CV', 114, 'BV', 70, 'expr', 'ssh', 'V3', 'V0', 0.11458333333333337, 3.309291362762451]
['UV', 86, 'CV', 187, 'size', 'join', 'V0', 'V0', 0.12287999999999999, 0.7770740985870361]
['CV', 277, 'UV', 52, 'dd', 'strip', 'V1', 'V1', 0.12918463750256726, 1.2498042583465576]
['BV', 81, 'CV', 96, 'dot', 'users', 'V1', 'V3', 0.1546162402669633, 0.014901161193847656]
['UV', 35, 'CV', 244, 'size', 'vdir', 'V3', 'V0', 0.12611389289654584, 1.0938303470611572]
['UV', 73, 'CV', 222, 'nm', 'df', 'V0', 'V0', 0.13933760490930425, 0.8493897914886475]
['UV', 40, 'CV', 201, 'diff3', 'expr', 'V3', 'V0', 0.026544821583986078, 0.04946470260620117]
['UV', 61, 'CV', 185, 'addr2line', 'printenv', 'V1', 'V0', 0.15104591143710944, 0.805877685546875]
['BV', 70, 'CV', 324, 'ssh', 'mv', 'V0', 'V1', 0.10996632996632993, 3.7714779376983643]
['CV', 86, 'UV', 73, 'ln', 'nm', 'V2', 'V0', 0.1353370087142095, 0.8831303119659424]
['CV', 152, 'BV', 83, 'env', 'git', 'V3', 'V2', 0.09313571316244695, 6.248091459274292]
['BV', 1, 'CV', 214, 'libSDL2-2.0.so', 'ls', 'V3', 'V0', 0.17969779495739258, 5.651357889175415]
['BV', 71, 'CV', 9, 'ruby', 'users', 'V1', 'V2', 0.21947449768160743, 0.007674694061279297]
['CV', 108, 'BV', 46, 'chgrp', 'cluster', 'V3', 'V3', 0.09378960709759188, 0.15497827529907227]
['UV', 11, 'CV', 25, 'ranlib', 'expand', 'V2', 'V2', 0.14816700610997957, 0.9645767211914062]
['UV', 61, 'BV', 67, 'addr2line', 'cluster', 'V1', 'V0', 0.1009816604520204, 1.2917320728302002]
['CV', 170, 'UV', 30, 'tac', 'ld', 'V3', 'V3', 0.1389168393015685, 1.8672845363616943]
['CV', 312, 'BV', 65, 'printf', 'ssh', 'V1', 'V1', 0.11822874765352642, 3.4170823097229004]
['BV', 17, 'UV', 43, 'codeblocks', 'sdiff', 'V2', 'V3', 0.18279146658269696, 10.099963188171387]
['CV', 28, 'BV', 10, 'chown', 'gvmap', 'V2', 'V2', 0.10179792352494299, 0.14731645584106445]
['UV', 62, 'CV', 200, 'ar', 'date', 'V1', 'V0', 0.14052342057009504, 0.9639356136322021]
['CV', 258, 'UV', 58, 'rmdir', 'objcopy', 'V0', 'V1', 0.1393164807230617, 1.1185073852539062]
['CV', 127, 'BV', 5, 'ls', 'libvlccore.so', 'V3', 'V0', 0.14321000100816617, 3.3774120807647705]
['CV', 272, 'BV', 76, 'printenv', 'diff', 'V1', 'V2', 0.15554693560899924, 0.06969523429870605]
['BV', 52, 'CV', 269, 'libSDL2-2.0.so', 'du', 'V2', 'V1', 0.18209814216478193, 4.0958921909332275]
['UV', 66, 'CV', 318, 'diff3', 'who', 'V0', 'V1', 0.07309184993531692, 0.03438973426818848]
['BV', 16, 'CV', 221, 'libvlc.so', 'od', 'V3', 'V0', 0.1856738925541942, 0.32721662521362305]
