['UO', 8, 'CO', 242, 'c++filt', 'tail', 'O1', 'O2', 0.8158783783783784, 1.4180631637573242]
['CO', 122, 'BO', 12, 'uptime', 'libgeany.so.0.0.0', 'O1', 'O0', 0.8965356803598085, 41.40785264968872]
['UO', 2, 'CO', 387, 'find', 'mv', 'O1', 'O0', 0.2546030256831242, 1.0698292255401611]
['UO', 47, 'CO', 264, 'as', 'cut', 'O3', 'O2', 0.9257387932553904, 1.9553253650665283]
['UO', 36, 'CO', 336, 'addr2line', 'tee', 'O2', 'O0', 0.8609501738122828, 1.2463912963867188]
['CO', 389, 'BO', 62, 'env', 'bash', 'O0', 'O1', 0.9366044651782739, 4.2603983879089355]
['CO', 87, 'BO', 35, 'id', 'make', 'O3', 'O3', 0.7249637155297532, 0.32034754753112793]
['CO', 339, 'UO', 3, 'wc', 'nm', 'O0', 'O1', 0.8384022540813789, 1.8905014991760254]
['BO', 12, 'CO', 44, 'libgeany.so.0.0.0', 'seq', 'O0', 'O3', 0.8987442501407139, 37.02469515800476]
['BO', 52, 'CO', 103, 'svn', 'ln', 'O3', 'O3', 0.6013523031412875, 0.7174983024597168]
['CO', 72, 'BO', 2, 'head', 'perl', 'O3', 'O1', 0.957555356861095, 3.6115472316741943]
['CO', 387, 'UO', 83, 'mv', 'diff', 'O0', 'O0', 0.10272465730242009, 0.5242540836334229]
['UO', 19, 'CO', 85, 'cmp', '[', 'O1', 'O3', 0.15627009646302248, 0.0400996208190918]
['CO', 178, 'BO', 24, 'unexpand', 'cluster', 'O1', 'O3', 0.5934426229508196, 0.1582193374633789]
['UO', 57, 'BO', 80, 'size', 'ssh', 'O3', 'O3', 0.19853057355032389, 5.153105735778809]
['BO', 11, 'CO', 338, 'ssh', 'kill', 'O1', 'O0', 0.906830738322451, 1.9139347076416016]
['UO', 30, 'CO', 304, 'ranlib', 'fold', 'O2', 'O2', 0.9067250708580262, 1.272465467453003]
['CO', 21, 'BO', 1, 'mktemp', 'ssh', 'O3', 'O2', 0.8919188767550702, 2.267266273498535]
['UO', 55, 'CO', 168, 'ar', 'tty', 'O3', 'O1', 0.9030898876404494, 1.112494945526123]
['UO', 72, 'CO', 243, 'strings', 'base32', 'O0', 'O2', 0.9314938154138915, 2.7405388355255127]
['CO', 49, 'BO', 76, 'nice', 'openssl', 'O3', 'O2', 0.9478813377409522, 11.166117429733276]
['CO', 62, 'UO', 50, 'printf', 'strings', 'O3', 'O3', 0.8532529239766082, 1.147643804550171]
['CO', 105, 'UO', 24, 'touch', 'diff', 'O1', 'O2', 0.3345521023765996, 0.16773700714111328]
['UO', 19, 'CO', 83, 'cmp', 'csplit', 'O1', 'O3', 0.15185601799775028, 0.049219369888305664]
['UO', 12, 'CO', 296, 'gprof', 'shred', 'O1', 'O2', 0.8443690316470681, 1.5425677299499512]
['CO', 301, 'UO', 20, 'nl', 'diff', 'O2', 'O1', 0.5846422338568935, 0.1440563201904297]
['UO', 73, 'CO', 170, 'objcopy', 'runcon', 'O0', 'O1', 0.9464627151051626, 3.4164650440216064]
['UO', 60, 'CO', 84, 'xargs', 'vdir', 'O3', 'O3', 0.25058004640371223, 0.18688035011291504]
['CO', 293, 'UO', 2, '[', 'find', 'O2', 'O1', 0.770875083500334, 0.5304338932037354]
['UO', 82, 'CO', 240, 'cmp', 'expr', 'O0', 'O2', 0.10731132075471694, 0.05491900444030762]
['UO', 84, 'CO', 252, 'sdiff', 'seq', 'O0', 'O2', 0.3002724795640327, 0.06800460815429688]
['CO', 188, 'UO', 31, 'vdir', 'c++filt', 'O1', 'O2', 0.6661010101010101, 1.9960508346557617]
['CO', 178, 'BO', 20, 'unexpand', 'sort', 'O1', 'O1', 0.4955817378497791, 0.14185428619384766]
['CO', 260, 'UO', 79, 'sha256sum', 'size', 'O2', 'O0', 0.9247083775185578, 3.1575498580932617]
['CO', 343, 'UO', 40, 'date', 'objdump', 'O0', 'O2', 0.8533668622520257, 3.219554901123047]
['CO', 21, 'UO', 51, 'mktemp', 'objcopy', 'O3', 'O3', 0.8701357126790132, 1.5359134674072266]
['UO', 82, 'BO', 18, 'cmp', 'libvlc.so.12.0.0', 'O0', 'O1', 0.6688132474701012, 0.7070217132568359]
['CO', 363, 'UO', 28, 'realpath', 'readelf', 'O0', 'O2', 0.7120238984316655, 0.44109439849853516]
['BO', 23, 'UO', 13, 'git', 'addr2line', 'O2', 'O1', 0.6442392403824192, 15.113413333892822]
['BO', 30, 'CO', 98, 'libvlccore.so.9.0.0', 'sleep', 'O2', 'O3', 0.9514263993918297, 6.12661600112915]
['CO', 178, 'BO', 43, 'unexpand', 'diff', 'O1', 'O1', 0.5363790186125211, 0.15331315994262695]
['BO', 34, 'CO', 226, 'cp', 'uptime', 'O2', 'O2', 0.45543071161048687, 0.11687469482421875]
['UO', 75, 'CO', 60, 'gprof', 'base64', 'O0', 'O3', 0.9207720794523623, 2.8814990520477295]
['UO', 15, 'CO', 270, 'elfedit', 'printf', 'O1', 'O2', 0.1362359550561798, 0.039200544357299805]
['BO', 57, 'UO', 28, 'libvlccore.so.9.0.0', 'readelf', 'O3', 'O2', 0.6232345335189974, 7.713281631469727]
['CO', 378, 'UO', 17, 'runcon', 'objdump', 'O0', 'O1', 0.917246756139667, 3.077489137649536]
['UO', 1, 'CO', 239, 'xargs', 'date', 'O1', 'O2', 0.15727993324989575, 0.11156940460205078]
['BO', 61, 'UO', 81, 'git', 'diff3', 'O1', 'O0', 0.9513999148046315, 9.220216989517212]
['UO', 85, 'CO', 207, 'locate', 'ln', 'O0', 'O1', 0.3876993166287016, 0.33082103729248047]
['BO', 74, 'UO', 8, 'dot', 'c++filt', 'O1', 'O1', 0.9589902487924906, 1.3000831604003906]
['UO', 3, 'BO', 82, 'nm', 'cp', 'O1', 'O3', 0.6892436335993919, 1.7581477165222168]
['BO', 27, 'CO', 1, 'perl', 'touch', 'O3', 'O3', 0.9342752909838439, 3.1511988639831543]
['CO', 21, 'UO', 77, 'mktemp', 'ar', 'O3', 'O0', 0.9031717668081305, 3.4578030109405518]
['CO', 246, 'BO', 37, 'sha1sum', 'gvmap', 'O2', 'O2', 0.6438672438672439, 0.16650080680847168]
['CO', 331, 'BO', 41, 'dd', 'libSDL2-2.0.so.0.16.0', 'O0', 'O2', 0.8658201459300673, 9.360063314437866]
['UO', 71, 'CO', 272, 'c++filt', 'tty', 'O0', 'O2', 0.944672131147541, 2.6900455951690674]
['CO', 363, 'UO', 71, 'realpath', 'c++filt', 'O0', 'O0', 0.8872316780721764, 3.54302716255188]
['BO', 71, 'UO', 30, 'libSDL2-2.0.so.0.16.0', 'ranlib', 'O0', 'O2', 0.38013237275229894, 14.942052602767944]
['CO', 67, 'UO', 7, 'nohup', 'ranlib', 'O3', 'O1', 0.887719298245614, 1.6375064849853516]
['UO', 86, 'CO', 412, 'xargs', 'tac', 'O0', 'O0', 0.2966168371361133, 0.1466529369354248]
