['BO', 35, 'UO', 0, 'make', 'locate', 'O3', 'O1', 0.3468462083628632, 0.5590300559997559]
['BO', 73, 'CO', 115, 'cluster', 'groups', 'O1', 'O1', 0.6230428360413589, 0.1644883155822754]
['BO', 7, 'CO', 369, 'sort', 'od', 'O0', 'O0', 0.3958278320570372, 0.27179622650146484]
['BO', 63, 'CO', 412, 'cluster', 'tac', 'O0', 'O0', 0.6399759181216135, 0.3013722896575928]
['CO', 360, 'UO', 47, 'ls', 'as', 'O0', 'O3', 0.7080771235018238, 3.8193111419677734]
['CO', 159, 'BO', 20, 'cp', 'sort', 'O1', 'O1', 0.04315659679408135, 0.2644362449645996]
['CO', 118, 'BO', 38, 'stty', 'acyclic', 'O1', 'O2', 0.5416293643688451, 0.028715133666992188]
['UO', 66, 'CO', 187, 'nm', 'csplit', 'O0', 'O1', 0.8892690158512944, 3.0420470237731934]
['CO', 142, 'UO', 62, 'sha1sum', 'diff3', 'O1', 'O3', 0.1940808195788275, 0.055249929428100586]
['CO', 102, 'BO', 14, 'mknod', 'cmp', 'O3', 'O0', 0.2052896725440806, 0.04877185821533203]
['CO', 259, 'UO', 5, 'realpath', 'readelf', 'O2', 'O1', 0.7852128454070202, 0.4283888339996338]
['UO', 15, 'BO', 61, 'elfedit', 'git', 'O1', 'O1', 0.9703225806451613, 10.049179553985596]
['CO', 371, 'UO', 43, 'tsort', 'find', 'O0', 'O2', 0.7359329570720028, 0.5780601501464844]
['CO', 14, 'UO', 45, 'stty', 'strip', 'O3', 'O3', 0.8669161676646706, 1.5423307418823242]
['CO', 0, 'UO', 53, 'sha384sum', 'gprof', 'O3', 'O3', 0.8700526583998641, 1.271942138671875]
['BO', 48, 'CO', 61, 'libvlccore.so.9.0.0', 'cksum', 'O0', 'O3', 0.9631603607824762, 14.345752000808716]
['CO', 116, 'BO', 5, 'ptx', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9598563813801939, 49.915775775909424]
['CO', 55, 'BO', 73, 'cp', 'cluster', 'O3', 'O1', 0.1660424469413233, 0.28920769691467285]
['CO', 306, 'UO', 73, 'sleep', 'objcopy', 'O2', 'O0', 0.9502898916057474, 3.9396324157714844]
['BO', 6, 'CO', 190, 'codeblocks', 'timeout', 'O0', 'O1', 0.9696588004297411, 39.560234785079956]
['CO', 321, 'UO', 80, 'du', 'objdump', 'O0', 'O0', 0.8341110157154056, 8.529778480529785]
['UO', 62, 'CO', 193, 'diff3', 'pathchk', 'O3', 'O1', 0.29776674937965253, 0.045465946197509766]
['UO', 56, 'CO', 403, 'elfedit', 'comm', 'O3', 'O0', 0.16688741721854305, 0.05069780349731445]
['BO', 7, 'CO', 322, 'sort', 'users', 'O0', 'O0', 0.5806162129823512, 0.2112135887145996]
['BO', 54, 'CO', 106, 'lua', 'stat', 'O3', 'O1', 0.6783356172916407, 0.5415396690368652]
['BO', 12, 'UO', 6, 'libgeany.so.0.0.0', 'as', 'O0', 'O1', 0.43954416121557016, 61.71566462516785]
['CO', 306, 'UO', 13, 'sleep', 'addr2line', 'O2', 'O1', 0.9134784134784135, 1.530635118484497]
['BO', 70, 'CO', 29, 'diff', 'nproc', 'O3', 'O3', 0.5595443562305834, 0.10702705383300781]
['UO', 39, 'CO', 341, 'size', 'nproc', 'O2', 'O0', 0.8741834451901566, 1.2845916748046875]
['UO', 63, 'BO', 12, 'cmp', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8988548136645963, 43.74239420890808]
['UO', 76, 'CO', 88, 'addr2line', 'shred', 'O0', 'O3', 0.8671417078496725, 3.064371109008789]
['CO', 138, 'UO', 87, 'tail', 'find', 'O1', 'O0', 0.7136073972260403, 1.1189661026000977]
['CO', 403, 'UO', 60, 'comm', 'xargs', 'O0', 'O3', 0.25284090909090917, 0.1012430191040039]
['UO', 44, 'CO', 373, 'nm', 'cksum', 'O3', 'O0', 0.875983006417789, 1.1426129341125488]
['CO', 218, 'UO', 73, 'users', 'objcopy', 'O2', 'O0', 0.9460710333031492, 4.004770755767822]
['CO', 237, 'BO', 80, 'nproc', 'ssh', 'O2', 'O3', 0.9327827923948531, 1.9674162864685059]
['CO', 42, 'UO', 12, 'sum', 'gprof', 'O3', 'O1', 0.8745588707090151, 1.686260461807251]
['CO', 66, 'UO', 71, 'runcon', 'c++filt', 'O3', 'O0', 0.9331376190761488, 3.068220376968384]
['CO', 260, 'BO', 78, 'sha256sum', 'ssh', 'O2', 'O0', 0.935278030993619, 3.224954605102539]
['CO', 245, 'UO', 14, 'truncate', 'ar', 'O2', 'O1', 0.9133239599702258, 1.6565601825714111]
['BO', 66, 'CO', 222, 'svn', 'stty', 'O2', 'O2', 0.760958688111006, 0.6567070484161377]
['UO', 39, 'CO', 300, 'size', 'sha512sum', 'O2', 'O2', 0.8849788497884978, 1.2723681926727295]
['CO', 200, 'UO', 72, 'fold', 'strings', 'O1', 'O0', 0.9239426608221775, 3.1878409385681152]
['BO', 43, 'CO', 314, 'diff', 'stat', 'O1', 'O0', 0.17546583850931674, 0.2509424686431885]
['CO', 127, 'UO', 76, 'pr', 'addr2line', 'O1', 'O0', 0.869075011504832, 3.7077138423919678]
['CO', 209, 'UO', 41, 'touch', 'locate', 'O2', 'O2', 0.3766553741915615, 0.18522334098815918]
['CO', 192, 'BO', 49, 'shred', 'svn', 'O1', 'O0', 0.7029126213592233, 1.0299432277679443]
['UO', 19, 'CO', 390, 'cmp', 'chcon', 'O1', 'O0', 0.3676222596964587, 0.11287498474121094]
['CO', 361, 'UO', 76, 'nice', 'addr2line', 'O0', 'O0', 0.9203309692671395, 3.266361951828003]
