['CO', 39, 'BO', 5, 'paste', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9737487654910956, 41.12046480178833]
['UO', 69, 'CO', 293, 'as', '[', 'O0', 'O2', 0.945488497755175, 4.91894006729126]
['CO', 334, 'BO', 81, 'pwd', 'sort', 'O0', 'O3', 0.46629986244841815, 0.1320934295654297]
['CO', 94, 'UO', 42, 'rm', 'xargs', 'O3', 'O2', 0.18818040435458783, 0.10844874382019043]
['CO', 52, 'UO', 48, 'sha256sum', 'ranlib', 'O3', 'O3', 0.8699439413540319, 1.2693030834197998]
['CO', 70, 'UO', 28, 'b2sum', 'readelf', 'O3', 'O2', 0.7268072289156626, 0.3662300109863281]
['BO', 21, 'CO', 237, 'cp', 'nproc', 'O1', 'O2', 0.5880737544134955, 0.1123807430267334]
['CO', 31, 'BO', 16, 'date', 'make', 'O3', 'O0', 0.6370299553855959, 0.39856910705566406]
['UO', 77, 'BO', 65, 'ar', 'gvmap', 'O0', 'O0', 0.6084371460928653, 4.186990976333618]
['CO', 52, 'UO', 84, 'sha256sum', 'sdiff', 'O3', 'O0', 0.25, 0.06928420066833496]
['BO', 36, 'UO', 85, 'cluster', 'locate', 'O2', 'O0', 0.14825835813057942, 0.4792768955230713]
['CO', 286, 'UO', 81, 'chcon', 'diff3', 'O2', 'O0', 0.0971574034789987, 0.10273194313049316]
['BO', 49, 'CO', 52, 'svn', 'sha256sum', 'O0', 'O3', 0.7823879297838386, 0.6921336650848389]
['BO', 16, 'CO', 396, 'make', 'vdir', 'O0', 'O0', 0.29493319889084946, 0.6929333209991455]
['CO', 99, 'UO', 40, 'sort', 'objdump', 'O3', 'O2', 0.7738712262890729, 3.654405117034912]
['CO', 117, 'UO', 37, 'printenv', 'ar', 'O1', 'O2', 0.9082001031459516, 1.4421653747558594]
['BO', 78, 'CO', 314, 'ssh', 'stat', 'O0', 'O0', 0.8459977778851263, 3.301466226577759]
['CO', 40, 'UO', 7, 'sync', 'ranlib', 'O3', 'O1', 0.8966959088300401, 1.596174955368042]
['UO', 73, 'CO', 339, 'objcopy', 'wc', 'O0', 'O0', 0.9040212629817395, 3.825082302093506]
['UO', 0, 'CO', 42, 'locate', 'sum', 'O1', 'O3', 0.5017816650469712, 0.16018414497375488]
['CO', 176, 'UO', 67, 'head', 'strip', 'O1', 'O0', 0.9226640159045726, 3.9788978099823]
['CO', 90, 'UO', 42, 'tr', 'xargs', 'O3', 'O2', 0.27490421455938696, 0.08269834518432617]
['BO', 27, 'CO', 360, 'perl', 'ls', 'O3', 'O0', 0.8452657164954148, 4.08976674079895]
['BO', 33, 'UO', 47, 'sort', 'as', 'O2', 'O3', 0.793212743865785, 3.01507830619812]
['BO', 22, 'CO', 336, 'perl', 'tee', 'O0', 'O0', 0.9516578865819647, 4.9067747592926025]
['BO', 7, 'CO', 246, 'sort', 'sha1sum', 'O0', 'O2', 0.6208588957055214, 0.18571162223815918]
['UO', 14, 'CO', 171, 'ar', 'nohup', 'O1', 'O1', 0.8949868938401049, 1.4945340156555176]
['BO', 4, 'CO', 185, 'libgeany.so.0.0.0', 'cat', 'O2', 'O1', 0.9801047287080806, 36.75306463241577]
