['CO', 100, 'BO', 45, 'tac', 'diff', 'O3', 'O2', 0.46742398930838625, 0.13192319869995117]
['CO', 90, 'UO', 62, 'tr', 'diff3', 'O3', 'O3', 0.138326954620011, 0.0473475456237793]
['UO', 55, 'CO', 247, 'ar', 'paste', 'O3', 'O2', 0.9064368624692226, 1.0757768154144287]
['CO', 264, 'UO', 58, 'cut', 'objdump', 'O2', 'O3', 0.9266480965645311, 2.2362327575683594]
['CO', 69, 'UO', 50, 'who', 'strings', 'O3', 'O3', 0.8456638456638457, 1.1841011047363281]
['UO', 17, 'CO', 68, 'objdump', 'yes', 'O1', 'O3', 0.9340486489523061, 2.520275115966797]
['BO', 15, 'CO', 382, 'diff', 'b2sum', 'O0', 'O0', 0.4326127568721644, 0.24480295181274414]
['CO', 249, 'BO', 41, 'echo', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9556041118339376, 7.275343418121338]
['UO', 12, 'CO', 398, 'gprof', 'timeout', 'O1', 'O0', 0.8515290762161306, 1.6017279624938965]
['CO', 203, 'BO', 8, 'sort', 'cp', 'O1', 'O0', 0.22934362934362928, 0.4268167018890381]
['CO', 93, 'UO', 17, 'nl', 'objdump', 'O3', 'O1', 0.9189565799007859, 2.866386651992798]
['UO', 8, 'CO', 211, 'c++filt', 'unlink', 'O1', 'O2', 0.9180869099669849, 1.2581515312194824]
['CO', 140, 'UO', 40, 'pinky', 'objdump', 'O1', 'O2', 0.9135702746365105, 2.6932222843170166]
['BO', 23, 'CO', 190, 'git', 'timeout', 'O2', 'O1', 0.968513780104303, 8.59157109260559]
['BO', 15, 'CO', 93, 'diff', 'nl', 'O0', 'O3', 0.5760773966578716, 0.1832289695739746]
['BO', 67, 'CO', 63, 'libSDL2-2.0.so.0.16.0', 'logname', 'O1', 'O3', 0.944024058983314, 6.657952785491943]
['CO', 385, 'UO', 33, 'hostid', 'objcopy', 'O0', 'O2', 0.9072459410703548, 1.6828293800354004]
['BO', 37, 'CO', 287, 'gvmap', 'link', 'O2', 'O2', 0.724492885255828, 0.1362743377685547]
['CO', 220, 'UO', 13, 'ptx', 'addr2line', 'O2', 'O1', 0.8261452139686793, 1.6574835777282715]
['UO', 35, 'BO', 70, 'gprof', 'diff', 'O2', 'O3', 0.6671097326835032, 1.6335430145263672]
['BO', 57, 'CO', 87, 'libvlccore.so.9.0.0', 'id', 'O3', 'O3', 0.9399809463321689, 5.558119058609009]
['CO', 127, 'BO', 20, 'pr', 'sort', 'O1', 'O1', 0.28179236352161563, 0.17860865592956543]
['CO', 373, 'BO', 45, 'cksum', 'diff', 'O0', 'O2', 0.5229485396383866, 0.14034748077392578]
['BO', 61, 'CO', 63, 'git', 'logname', 'O1', 'O3', 0.9773583424894051, 8.264488697052002]
['UO', 8, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O1', 'O1', 0.7008427351835076, 145.13072896003723]
['CO', 101, 'BO', 5, 'rmdir', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9726489739385159, 42.100775718688965]
['CO', 372, 'BO', 55, 'base64', 'make', 'O0', 'O1', 0.6901094822787159, 0.3600597381591797]
['CO', 130, 'UO', 44, 'kill', 'nm', 'O1', 'O3', 0.884329035772653, 1.2225847244262695]
['CO', 87, 'BO', 38, 'id', 'acyclic', 'O3', 'O2', 0.504424778761062, 0.020743846893310547]
['CO', 20, 'UO', 0, 'mkfifo', 'locate', 'O3', 'O1', 0.5841313269493844, 0.15005826950073242]
['UO', 61, 'CO', 390, 'find', 'chcon', 'O3', 'O0', 0.508728943338438, 0.5478417873382568]
['CO', 283, 'BO', 49, 'mv', 'svn', 'O2', 'O0', 0.4604794683123665, 1.1553561687469482]
['BO', 5, 'CO', 205, 'libgeany.so.0.0.0', 'rmdir', 'O1', 'O1', 0.9740632169258221, 37.298919439315796]
['BO', 36, 'CO', 48, 'cluster', 'ls', 'O2', 'O3', 0.14481897627965046, 0.2873537540435791]
['BO', 45, 'UO', 82, 'diff', 'cmp', 'O2', 'O0', 0.41381536475145253, 0.14863348007202148]
['CO', 381, 'BO', 24, 'who', 'cluster', 'O0', 'O3', 0.48008849557522126, 0.19106626510620117]
['UO', 45, 'BO', 11, 'strip', 'ssh', 'O3', 'O1', 0.13154469192941853, 5.739943742752075]
['BO', 23, 'CO', 155, 'git', 'realpath', 'O2', 'O1', 0.9684753310676198, 8.617314577102661]
['BO', 68, 'CO', 398, 'git', 'timeout', 'O3', 'O0', 0.9634897132169576, 9.02817988395691]
['BO', 58, 'CO', 237, 'svn', 'nproc', 'O1', 'O2', 0.8277732128184059, 0.5974254608154297]
['BO', 72, 'UO', 59, 'make', 'locate', 'O2', 'O3', 0.3869508101007153, 0.486814022064209]
['CO', 245, 'BO', 44, 'truncate', 'cmp', 'O2', 'O2', 0.187793427230047, 0.03520083427429199]
