['BV', 0, 'UV', 58, 'bash', 'objcopy', 'V2', 'V1', 0.2398575714245661, 7.7053375244140625]
['CV', 261, 'BV', 8, 'touch', 'cluster', 'V1', 'V2', 0.6317668054729327, 0.1513359546661377]
['CV', 237, 'UV', 8, 'mv', 'strip', 'V0', 'V2', 0.8173361522198731, 1.9372851848602295]
['UV', 71, 'CV', 12, 'xargs', 'stty', 'V0', 'V2', 0.11730205278592376, 0.03317713737487793]
['UV', 17, 'CV', 219, 'addr2line', 'cp', 'V2', 'V0', 0.81096988825386, 1.2160987854003906]
['UV', 80, 'CV', 275, 'objcopy', 'dirname', 'V0', 'V1', 0.9434515089364196, 1.3165218830108643]
['UV', 67, 'CV', 244, 'cmp', 'vdir', 'V0', 'V0', 0.28322017458777893, 0.07410025596618652]
['BV', 50, 'CV', 88, 'sort', 'stat', 'V0', 'V3', 0.18758557736193515, 0.07082176208496094]
['BV', 80, 'CV', 144, 'cluster', 'who', 'V1', 'V3', 0.532033426183844, 0.15279936790466309]
['BV', 32, 'CV', 86, 'perl', 'ln', 'V0', 'V2', 0.9271208173057037, 2.4837100505828857]
['BV', 50, 'CV', 262, 'sort', 'stat', 'V0', 'V1', 0.28721174004192873, 0.03580594062805176]
['UV', 71, 'BV', 2, 'xargs', 'cmp', 'V0', 'V1', 0.11518708730741012, 0.034952640533447266]
['UV', 15, 'BV', 11, 'ld', 'bash', 'V2', 'V1', 0.1578947368421053, 10.10185694694519]
['BV', 68, 'CV', 75, 'dot', 'tr', 'V0', 'V2', 0.5099778270509978, 0.0159912109375]
['BV', 1, 'CV', 140, 'libSDL2-2.0.so', 'tty', 'V3', 'V3', 0.9475332455861663, 6.301947593688965]
['UV', 47, 'BV', 28, 'sdiff', 'openssl', 'V1', 'V1', 0.9555633849338295, 9.374972343444824]
['CV', 210, 'BV', 67, 'chroot', 'cluster', 'V0', 'V0', 0.738851230824117, 0.1073768138885498]
['BV', 23, 'CV', 215, 'diff', 'nice', 'V3', 'V0', 0.7068379297317718, 0.08519911766052246]
['UV', 70, 'CV', 232, 'locate', 'readlink', 'V0', 'V0', 0.5835423983943804, 0.056555986404418945]
['UV', 15, 'CV', 189, 'ld', 'uptime', 'V2', 'V0', 0.9407143733889776, 1.8586127758026123]
['BV', 68, 'CV', 52, 'dot', 'logname', 'V0', 'V2', 0.40340909090909083, 0.011632442474365234]
['CV', 112, 'UV', 30, 'expand', 'ld', 'V3', 'V3', 0.9165128327279224, 2.5408596992492676]
['CV', 297, 'BV', 66, 'chroot', 'lua', 'V1', 'V1', 0.8816901408450705, 0.37561821937561035]
['CV', 340, 'BV', 32, 'fold', 'perl', 'V1', 'V0', 0.9644152120752172, 2.5303096771240234]
['BV', 68, 'CV', 182, 'dot', 'du', 'V0', 'V0', 0.6529182879377432, 0.03409576416015625]
['CV', 164, 'BV', 32, 'nl', 'perl', 'V3', 'V0', 0.9394746701078134, 2.8912978172302246]
['CV', 292, 'BV', 59, 'sha1sum', 'make', 'V1', 'V1', 0.8013894564773192, 0.25417351722717285]
['UV', 12, 'CV', 255, 'c++filt', 'sleep', 'V2', 'V0', 0.9285714285714286, 1.0504469871520996]
['UV', 5, 'CV', 221, 'diff', 'od', 'V2', 'V0', 0.5631136044880786, 0.10010695457458496]
['BV', 50, 'CV', 119, 'sort', 'paste', 'V0', 'V3', 0.20453115166771552, 0.03734135627746582]
['CV', 309, 'UV', 64, 'df', 'size', 'V1', 'V1', 0.8737999650898935, 1.2854008674621582]
['CV', 287, 'UV', 6, 'date', 'sdiff', 'V1', 'V2', 0.22946859903381644, 0.04697680473327637]
['CV', 312, 'UV', 0, 'printf', 'locate', 'V1', 'V2', 0.4413830361966504, 0.060547590255737305]
['UV', 69, 'CV', 154, 'sdiff', 'uname', 'V0', 'V3', 0.2947040498442368, 0.03925371170043945]
['CV', 265, 'BV', 40, 'basename', 'lua', 'V1', 'V2', 0.885958449977899, 0.41088080406188965]
['CV', 205, 'BV', 56, 'sha1sum', 'ssh', 'V0', 'V3', 0.9340876200499935, 1.7689056396484375]
['CV', 35, 'UV', 3, 'sum', 'diff3', 'V2', 'V2', 0.22991347342398027, 0.03992152214050293]
['BV', 76, 'UV', 34, 'diff', 'elfedit', 'V2', 'V3', 0.5015136226034309, 0.10929369926452637]
['CV', 36, 'BV', 70, 'chroot', 'ssh', 'V2', 'V0', 0.9572181461196652, 4.625241041183472]
['CV', 10, 'BV', 74, 'ptx', 'git', 'V2', 'V1', 0.9234910351749623, 7.792766571044922]
['BV', 31, 'CV', 320, 'codeblocks', 'head', 'V0', 'V1', 0.9697714901494847, 11.620076179504395]
['BV', 14, 'CV', 32, 'openssl', 'paste', 'V3', 'V2', 0.9474234347235287, 6.761887550354004]
['UV', 59, 'CV', 277, 'ld', 'dd', 'V1', 'V1', 0.9035548313114853, 1.943286418914795]
['UV', 44, 'CV', 29, 'diff3', 'tail', 'V1', 'V2', 0.05363408521303259, 0.05507254600524902]
['CV', 56, 'UV', 65, 'yes', 'objdump', 'V2', 'V1', 0.9410932475884244, 1.8861088752746582]
['CV', 307, 'BV', 60, 'cut', 'codeblocks', 'V1', 'V1', 0.972872598094623, 14.018920660018921]
['CV', 210, 'BV', 31, 'chroot', 'codeblocks', 'V0', 'V0', 0.979617339146372, 12.994747638702393]
['UV', 72, 'CV', 138, 'find', 'printf', 'V0', 'V3', 0.5414012738853503, 0.15227794647216797]
['BV', 14, 'CV', 35, 'openssl', 'sum', 'V3', 'V2', 0.9350851682592439, 6.851464509963989]
['BV', 83, 'UV', 15, 'git', 'ld', 'V2', 'V2', 0.5211485166507656, 16.774320363998413]
['BV', 17, 'CV', 44, 'codeblocks', 'true', 'V2', 'V2', 0.976926356176063, 12.321272611618042]
['CV', 243, 'UV', 71, 'csplit', 'xargs', 'V0', 'V0', 0.3973412112259971, 0.052858829498291016]
['UV', 62, 'CV', 56, 'ar', 'yes', 'V1', 'V2', 0.9224451782236898, 1.1453444957733154]
['UV', 34, 'CV', 76, 'elfedit', 'comm', 'V3', 'V2', 0.1836431226765799, 0.031080007553100586]
['BV', 44, 'CV', 159, 'make', 'id', 'V0', 'V3', 0.6846921797004991, 0.20813441276550293]
['UV', 86, 'CV', 9, 'size', 'users', 'V0', 'V2', 0.9108075532342306, 0.9740743637084961]
['UV', 70, 'CV', 21, 'locate', 'chgrp', 'V0', 'V2', 0.2308886301901436, 0.08760786056518555]
