['UV', 19, 'BV', 34, 'elfedit', 'svn', 'V2', 'V0', 0.7435799885866464, 0.49747276306152344]
['UV', 12, 'CV', 319, 'c++filt', 'readlink', 'V2', 'V1', 0.921496698459281, 1.1015887260437012]
['CV', 154, 'UV', 24, 'uname', 'readelf', 'V3', 'V3', 0.8144982589427033, 0.33101415634155273]
['UV', 65, 'CV', 161, 'objdump', 'pathchk', 'V1', 'V3', 0.9146209958769426, 1.8778626918792725]
['BV', 68, 'CV', 141, 'dot', 'false', 'V0', 'V3', 0.4592496765847348, 0.014399528503417969]
['BV', 25, 'CV', 67, 'git', 'uname', 'V3', 'V2', 0.9851119710320605, 11.571018695831299]
['CV', 112, 'UV', 39, 'expand', 'find', 'V3', 'V3', 0.7539118065433855, 0.44972896575927734]
['UV', 67, 'CV', 28, 'cmp', 'chown', 'V0', 'V2', 0.16862745098039222, 0.05333685874938965]
['UV', 41, 'CV', 347, 'cmp', 'ln', 'V3', 'V1', 0.12306558585114225, 0.037223100662231445]
['BV', 50, 'UV', 26, 'sort', 'ranlib', 'V0', 'V3', 0.8467681557274769, 1.5866706371307373]
['UV', 31, 'CV', 227, 'gprof', 'tty', 'V3', 'V0', 0.9398263560560475, 1.1848173141479492]
['UV', 56, 'CV', 61, 'c++filt', 'ginstall', 'V1', 'V2', 0.7306716845291663, 1.4178054332733154]
['UV', 37, 'CV', 148, 'locate', 'ginstall', 'V3', 'V3', 0.11181818181818182, 0.27553582191467285]
['UV', 82, 'CV', 219, 'gprof', 'cp', 'V0', 'V0', 0.8179577754045839, 1.2674145698547363]
['UV', 58, 'CV', 130, 'objcopy', 'chmod', 'V1', 'V3', 0.8516829824326136, 1.6537156105041504]
['UV', 38, 'CV', 247, 'xargs', 'shred', 'V3', 'V0', 0.30340404538727184, 0.08757209777832031]
['CV', 6, 'BV', 67, 'fmt', 'cluster', 'V2', 'V0', 0.6290860573715811, 0.12622714042663574]
['UV', 8, 'CV', 296, 'strip', 'sum', 'V2', 'V1', 0.9256272401433692, 1.462867259979248]
['BV', 49, 'UV', 42, 'make', 'diff', 'V3', 'V3', 0.35691868758915835, 0.4746699333190918]
['BV', 17, 'CV', 279, 'codeblocks', 'pwd', 'V2', 'V1', 0.9755052051439069, 13.10965347290039]
['CV', 281, 'BV', 56, 'tee', 'ssh', 'V1', 'V3', 0.9426494879418567, 1.8177437782287598]
['BV', 18, 'UV', 66, 'sort', 'diff3', 'V3', 'V0', 0.373268921095008, 0.12109661102294922]
['UV', 36, 'CV', 155, 'objdump', 'cat', 'V3', 'V3', 0.9205512768544791, 2.2529776096343994]
['UV', 42, 'CV', 206, 'diff', 'paste', 'V3', 'V0', 0.7049056603773585, 0.08970475196838379]
['UV', 66, 'CV', 252, 'diff3', 'rm', 'V0', 'V0', 0.13594470046082952, 0.04787850379943848]
['CV', 18, 'BV', 39, 'pwd', 'svn', 'V2', 'V1', 0.7892058876976195, 0.5352096557617188]
['UV', 23, 'BV', 39, 'strip', 'svn', 'V3', 'V1', 0.44132682040213567, 3.1756932735443115]
['BV', 82, 'CV', 215, 'gvmap', 'nice', 'V1', 'V0', 0.7656675749318801, 0.12745428085327148]
['CV', 270, 'UV', 34, 'users', 'elfedit', 'V1', 'V3', 0.25335570469798663, 0.029020071029663086]
['CV', 111, 'UV', 38, 'factor', 'xargs', 'V3', 'V3', 0.2142245072836333, 0.09273648262023926]
['BV', 52, 'CV', 296, 'libSDL2-2.0.so', 'sum', 'V2', 'V1', 0.948149305013275, 5.171347141265869]
['CV', 299, 'BV', 27, 'split', 'libSDL2-2.0.so', 'V1', 'V1', 0.9416422125020762, 5.1738362312316895]
['CV', 74, 'UV', 65, 'pathchk', 'objdump', 'V2', 'V1', 0.9348717948717948, 2.018507957458496]
['BV', 0, 'CV', 107, 'bash', 'tee', 'V2', 'V3', 0.9337402689313518, 3.070760726928711]
['CV', 134, 'BV', 2, 'od', 'cmp', 'V3', 'V1', 0.2050027188689505, 0.04951333999633789]
['UV', 30, 'CV', 41, 'ld', 'nice', 'V3', 'V2', 0.9380946645790678, 2.3298416137695312]
['BV', 0, 'CV', 126, 'bash', 'whoami', 'V2', 'V3', 0.9478702548565318, 3.0423061847686768]
['UV', 72, 'BV', 53, 'find', 'ssh', 'V0', 'V2', 0.8348338058004423, 8.445281744003296]
['BV', 18, 'UV', 53, 'sort', 'readelf', 'V3', 'V1', 0.2014809041309431, 0.24537038803100586]
['UV', 37, 'CV', 140, 'locate', 'tty', 'V3', 'V3', 0.5758028379387603, 0.11511039733886719]
['UV', 1, 'BV', 39, 'xargs', 'svn', 'V2', 'V1', 0.5902486277042299, 0.6935174465179443]
['BV', 52, 'CV', 277, 'libSDL2-2.0.so', 'dd', 'V2', 'V1', 0.918298308559713, 5.267627239227295]
['CV', 273, 'BV', 10, 'stty', 'gvmap', 'V1', 'V2', 0.6777713957495692, 0.160660982131958]
['UV', 67, 'CV', 314, 'cmp', 'tty', 'V0', 'V1', 0.35611510791366907, 0.025192737579345703]
['BV', 57, 'CV', 183, 'svn', 'users', 'V2', 'V0', 0.8376259798432251, 0.43692803382873535]
['UV', 59, 'CV', 5, 'ld', 'mkdir', 'V1', 'V2', 0.906085695292198, 2.008155107498169]
['BV', 33, 'CV', 87, 'openssl', 'touch', 'V0', 'V3', 0.9473391175242426, 7.6129865646362305]
['CV', 100, 'BV', 20, 'join', 'sort', 'V3', 'V1', 0.13601532567049812, 0.0635523796081543]
['CV', 236, 'UV', 2, 'unexpand', 'find', 'V0', 'V2', 0.7873995333160487, 0.20542693138122559]
['UV', 67, 'BV', 18, 'cmp', 'sort', 'V0', 'V3', 0.47901491501907734, 0.12279367446899414]
['BV', 23, 'CV', 109, 'diff', 'kill', 'V3', 'V3', 0.5462012320328542, 0.11225318908691406]
['UV', 31, 'CV', 216, 'gprof', 'dircolors', 'V3', 'V0', 0.9188775510204081, 1.2425029277801514]
['CV', 89, 'BV', 43, 'unlink', 'lua', 'V3', 'V0', 0.8078117339434548, 0.3921654224395752]
['BV', 82, 'CV', 39, 'gvmap', 'whoami', 'V1', 'V2', 0.7172251616696061, 0.13294649124145508]
['CV', 143, 'BV', 29, 'yes', 'perl', 'V3', 'V3', 0.9583303755235323, 3.4208359718322754]
['CV', 253, 'UV', 78, 'fold', 'c++filt', 'V0', 'V0', 0.9213321848980763, 1.1458477973937988]
['UV', 19, 'BV', 11, 'elfedit', 'bash', 'V2', 'V1', 0.9371766789392739, 3.441835403442383]
['CV', 226, 'BV', 7, 'logname', 'libSDL2-2.0.so', 'V0', 'V0', 0.9504596168689916, 4.014641046524048]
['CV', 161, 'BV', 71, 'pathchk', 'ruby', 'V3', 'V1', 0.7594771241830065, 0.010442018508911133]
['CV', 171, 'UV', 7, 'rmdir', 'nm', 'V3', 'V2', 0.877866574009729, 1.3816440105438232]
['CV', 331, 'BV', 8, 'vdir', 'cluster', 'V1', 'V2', 0.37001711910002444, 0.2341010570526123]
['UV', 86, 'CV', 146, 'size', 'head', 'V0', 'V3', 0.872883358273608, 1.0703613758087158]
['UV', 65, 'CV', 61, 'objdump', 'ginstall', 'V1', 'V2', 0.8022450441843803, 2.2490828037261963]
['UV', 24, 'CV', 39, 'readelf', 'whoami', 'V3', 'V2', 0.8433579929237697, 0.2770986557006836]
['BV', 63, 'CV', 317, 'ruby', 'yes', 'V0', 'V1', 0.9856528553630993, 11.7839674949646]
['BV', 51, 'CV', 142, 'cp', 'nohup', 'V0', 'V3', 0.24721603563474392, 0.05060291290283203]
