['UV', 72, 'CV', 210, 'find', 'chroot', 'V0', 'V0', 0.757455268389662, 0.1304323673248291]
['CV', 27, 'BV', 5, 'expr', 'libvlccore.so', 'V2', 'V0', 0.8558775745506001, 4.584303855895996]
['UV', 82, 'CV', 239, 'gprof', 'env', 'V0', 'V0', 0.9385073580939033, 1.0887136459350586]
['CV', 221, 'UV', 34, 'od', 'elfedit', 'V0', 'V3', 0.1338697878566204, 0.03529715538024902]
['CV', 287, 'UV', 10, 'date', 'as', 'V1', 'V2', 0.926232333678042, 2.5075812339782715]
['BV', 30, 'CV', 178, 'bash', 'basename', 'V0', 'V0', 0.9644502303224515, 2.4871554374694824]
['BV', 44, 'CV', 46, 'make', 'cut', 'V0', 'V2', 0.7101816645542881, 0.21665215492248535]
['CV', 88, 'UV', 35, 'stat', 'size', 'V3', 'V3', 0.7838528359734287, 1.6361441612243652]
['CV', 26, 'UV', 65, 'date', 'objdump', 'V2', 'V1', 0.906638873097088, 2.240814208984375]
['UV', 67, 'CV', 27, 'cmp', 'expr', 'V0', 'V2', 0.3047977422389464, 0.05614423751831055]
['UV', 50, 'BV', 69, 'find', 'gvmap', 'V1', 'V0', 0.17170715584200957, 0.40822434425354004]
['CV', 164, 'UV', 9, 'nl', 'readelf', 'V3', 'V2', 0.6634817058960615, 0.16035771369934082]
['UV', 32, 'CV', 42, 'addr2line', 'dircolors', 'V3', 'V2', 0.9004187147278354, 1.1538262367248535]
['UV', 44, 'CV', 58, 'diff3', 'readlink', 'V1', 'V2', 0.20901889092017067, 0.04180788993835449]
['CV', 21, 'UV', 40, 'chgrp', 'diff3', 'V2', 'V3', 0.0607843137254902, 0.060324907302856445]
['BV', 2, 'CV', 192, 'cmp', 'pwd', 'V1', 'V0', 0.26, 0.028848648071289062]
['BV', 57, 'CV', 188, 'svn', 'dirname', 'V2', 'V0', 0.8647727272727272, 0.4313340187072754]
['BV', 5, 'UV', 48, 'libvlccore.so', 'locate', 'V0', 'V1', 0.810726519760724, 4.172290325164795]
['CV', 72, 'UV', 73, 'id', 'nm', 'V2', 'V0', 0.8952276467361492, 1.2087476253509521]
['CV', 296, 'UV', 29, 'sum', 'objcopy', 'V1', 'V3', 0.9244596131968146, 1.6600284576416016]
['CV', 274, 'BV', 53, 'join', 'ssh', 'V1', 'V2', 0.9585674857845908, 5.435338497161865]
['CV', 55, 'BV', 27, 'nohup', 'libSDL2-2.0.so', 'V2', 'V1', 0.9374585635359116, 5.187753677368164]
['CV', 322, 'BV', 55, 'ginstall', 'codeblocks', 'V1', 'V3', 0.9351915841204024, 20.480623483657837]
['BV', 23, 'CV', 102, 'diff', 'uptime', 'V3', 'V3', 0.45320038597619816, 0.12584304809570312]
['CV', 326, 'BV', 12, 'env', 'sort', 'V1', 'V2', 0.6311767702496179, 0.06164288520812988]
['BV', 33, 'CV', 170, 'openssl', 'tac', 'V0', 'V3', 0.9624538270912236, 7.431679725646973]
['UV', 44, 'CV', 83, 'diff3', 'tac', 'V1', 'V2', 0.15364806866952785, 0.0676412582397461]
['CV', 56, 'BV', 3, 'yes', 'diff', 'V2', 'V1', 0.6131756756756757, 0.0801396369934082]
['UV', 48, 'CV', 302, 'locate', 'nice', 'V1', 'V1', 0.6456483126110124, 0.14471793174743652]
['BV', 50, 'CV', 140, 'sort', 'tty', 'V0', 'V3', 0.2555036691127418, 0.07791733741760254]
['UV', 55, 'BV', 53, 'ranlib', 'ssh', 'V1', 'V2', 0.4443545817709482, 16.2325439453125]
['UV', 46, 'BV', 13, 'diff', 'cp', 'V1', 'V2', 0.22217111315547378, 0.2047126293182373]
['UV', 16, 'CV', 140, 'gprof', 'tty', 'V2', 'V3', 0.9039787357753967, 1.2642033100128174]
['UV', 12, 'BV', 20, 'c++filt', 'sort', 'V2', 'V1', 0.8085620576557915, 1.2795958518981934]
['CV', 286, 'BV', 54, 'expand', 'lua', 'V1', 'V3', 0.8853154509374572, 0.4973442554473877]
['CV', 52, 'BV', 45, 'logname', 'svn', 'V2', 'V3', 0.8648264086511098, 0.8201541900634766]
['CV', 93, 'BV', 18, 'fmt', 'sort', 'V3', 'V3', 0.49299719887955185, 0.1130228042602539]
['CV', 105, 'BV', 53, 'pwd', 'ssh', 'V3', 'V2', 0.9529177718832891, 5.770193576812744]
['BV', 32, 'CV', 115, 'perl', 'chown', 'V0', 'V3', 0.899233654002935, 2.7093613147735596]
['UV', 36, 'CV', 10, 'objdump', 'ptx', 'V3', 'V2', 0.8163198247535597, 2.5371880531311035]
['CV', 16, 'UV', 51, 'dd', 'nm', 'V2', 'V1', 0.8356926188068756, 1.4862232208251953]
['BV', 13, 'UV', 82, 'cp', 'gprof', 'V2', 'V0', 0.733489827856025, 1.7976984977722168]
['CV', 39, 'UV', 60, 'whoami', 'gprof', 'V2', 'V1', 0.9193575095214439, 1.3534986972808838]
['CV', 317, 'BV', 81, 'yes', 'dot', 'V1', 'V1', 0.2989690721649485, 0.010662317276000977]
['CV', 242, 'BV', 24, 'cat', 'git', 'V0', 'V0', 0.9777965685605957, 4.924882888793945]
['UV', 30, 'BV', 50, 'ld', 'sort', 'V3', 'V0', 0.8917298536413331, 2.4136834144592285]
['BV', 27, 'CV', 267, 'libSDL2-2.0.so', 'fmt', 'V1', 'V1', 0.9502808520104555, 4.671311616897583]
['BV', 13, 'CV', 42, 'cp', 'dircolors', 'V2', 'V2', 0.5163572060123784, 0.07159829139709473]
['CV', 67, 'BV', 3, 'uname', 'diff', 'V2', 'V1', 0.5989953955629971, 0.08094978332519531]
['BV', 70, 'UV', 15, 'ssh', 'ld', 'V0', 'V2', 0.2871712534768549, 11.490133047103882]
['CV', 101, 'BV', 19, 'dirname', 'cp', 'V3', 'V3', 0.5646568069776261, 0.10555410385131836]
['CV', 260, 'BV', 31, 'ln', 'codeblocks', 'V0', 'V0', 0.968520461699895, 14.512989282608032]
['UV', 31, 'BV', 6, 'gprof', 'libvlc.so', 'V3', 'V0', 0.5120938023450586, 2.3351919651031494]
['UV', 39, 'BV', 83, 'find', 'git', 'V3', 'V2', 0.8214525342279445, 19.049501419067383]
['BV', 71, 'CV', 319, 'ruby', 'readlink', 'V1', 'V1', 0.6461538461538462, 0.007416248321533203]
