['CO', 38, 'BO', 33, 'sha1sum', 'sort', 'O3', 'O2', 0.4474971772675951, 0.1469714641571045]
['CO', 231, 'UO', 54, 'pr', 'addr2line', 'O2', 'O3', 0.8164810690423162, 1.393707275390625]
['UO', 21, 'CO', 412, 'sdiff', 'tac', 'O1', 'O0', 0.08613445378151263, 0.13685894012451172]
['UO', 64, 'CO', 173, 'diff', 'who', 'O3', 'O1', 0.47598823913753674, 0.13076472282409668]
['UO', 5, 'CO', 289, 'readelf', 'cat', 'O1', 'O2', 0.8359447004608295, 0.3546123504638672]
['CO', 315, 'UO', 8, 'unlink', 'c++filt', 'O0', 'O1', 0.8910882378815871, 1.524683952331543]
['CO', 344, 'UO', 82, 'expr', 'cmp', 'O0', 'O0', 0.08800823468862584, 0.08107304573059082]
['CO', 255, 'BO', 44, 'numfmt', 'cmp', 'O2', 'O2', 0.044973544973545, 0.042939186096191406]
['CO', 254, 'BO', 78, 'whoami', 'ssh', 'O2', 'O0', 0.9523833852756348, 2.954076051712036]
['CO', 359, 'UO', 41, 'numfmt', 'locate', 'O0', 'O2', 0.32700859768751855, 0.20541858673095703]
['BO', 40, 'CO', 7, 'lua', 'fmt', 'O0', 'O3', 0.8539805036555645, 0.8906590938568115]
['CO', 31, 'UO', 1, 'date', 'xargs', 'O3', 'O1', 0.17932405566600396, 0.10844087600708008]
['CO', 129, 'UO', 78, 'chgrp', 'elfedit', 'O1', 'O0', 0.2126063031515758, 0.07442522048950195]
['CO', 46, 'BO', 54, 'whoami', 'lua', 'O3', 'O3', 0.8404589536948505, 0.4399139881134033]
['CO', 169, 'BO', 11, 'false', 'ssh', 'O1', 'O1', 0.93353705118411, 2.1591804027557373]
['CO', 301, 'BO', 83, 'nl', 'lua', 'O2', 'O2', 0.8414812841348075, 0.5612187385559082]
['UO', 68, 'CO', 341, 'readelf', 'nproc', 'O0', 'O0', 0.8456132645217964, 0.7188897132873535]
['CO', 96, 'BO', 68, 'fold', 'git', 'O3', 'O3', 0.9735636235459993, 9.355177402496338]
['CO', 310, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9781602222293176, 41.63846182823181]
['UO', 21, 'CO', 77, 'sdiff', 'env', 'O1', 'O3', 0.26194797338173026, 0.045699357986450195]
['BO', 39, 'CO', 43, 'codeblocks', 'chroot', 'O3', 'O3', 0.9602425358814951, 14.5133535861969]
