['BO', 74, 'UO', 25, 'dot', 'sdiff', 'O1', 'O2', 0.6336386344712739, 0.030987024307250977]
['BO', 59, 'UO', 71, 'libgeany.so.0.0.0', 'c++filt', 'O3', 'O0', 0.5934028522072453, 61.711971044540405]
['BO', 31, 'UO', 75, 'bash', 'gprof', 'O2', 'O0', 0.17523147014157647, 11.651446342468262]
['UO', 15, 'CO', 318, 'elfedit', 'mkdir', 'O1', 'O0', 0.42390035033086804, 0.13799476623535156]
['UO', 72, 'CO', 334, 'strings', 'pwd', 'O0', 'O0', 0.9087917254348848, 2.9072721004486084]
['BO', 44, 'CO', 402, 'cmp', 'tr', 'O2', 'O0', 0.17391304347826086, 0.06302261352539062]
['CO', 171, 'UO', 36, 'nohup', 'addr2line', 'O1', 'O2', 0.8842960288808664, 1.3677220344543457]
['UO', 17, 'CO', 127, 'objdump', 'pr', 'O1', 'O1', 0.8759808195292066, 2.8666794300079346]
['UO', 18, 'CO', 51, 'diff3', 'realpath', 'O1', 'O3', 0.17485472794506074, 0.058598995208740234]
['UO', 13, 'CO', 314, 'addr2line', 'stat', 'O1', 'O0', 0.7448987757061695, 1.738201379776001]
['BO', 67, 'CO', 224, 'libSDL2-2.0.so.0.16.0', 'dirname', 'O1', 'O2', 0.9552151429407747, 6.83647894859314]
['UO', 18, 'BO', 46, 'diff3', 'ruby', 'O1', 'O3', 0.968665635332302, 20.04523992538452]
['UO', 47, 'CO', 348, 'as', 'pinky', 'O3', 'O0', 0.8988529718456726, 1.9940063953399658]
['CO', 269, 'UO', 1, 'cksum', 'xargs', 'O2', 'O1', 0.4731759656652361, 0.07874751091003418]
['BO', 51, 'UO', 56, 'lua', 'elfedit', 'O1', 'O3', 0.8217451004868306, 0.550055742263794]
['BO', 72, 'UO', 49, 'make', 'c++filt', 'O2', 'O3', 0.3681864235055725, 2.3412880897521973]
['BO', 61, 'CO', 406, 'git', 'rm', 'O1', 'O0', 0.9410643092390363, 9.533313989639282]
['CO', 245, 'UO', 39, 'truncate', 'size', 'O2', 'O2', 0.9046926154965442, 1.3171088695526123]
['UO', 11, 'CO', 348, 'ld', 'pinky', 'O1', 'O0', 0.8996147875582131, 2.787353515625]
['CO', 197, 'BO', 60, 'nl', 'openssl', 'O1', 'O0', 0.9458996613863698, 14.646533727645874]
['BO', 75, 'CO', 171, 'gvmap', 'nohup', 'O1', 'O1', 0.6415306696679798, 0.16986513137817383]
['CO', 180, 'BO', 51, 'md5sum', 'lua', 'O1', 'O1', 0.821972534332085, 0.6634383201599121]
['CO', 278, 'UO', 28, 'b2sum', 'readelf', 'O2', 'O2', 0.7652856922839981, 0.37720632553100586]
['UO', 36, 'BO', 21, 'addr2line', 'cp', 'O2', 'O1', 0.6785685629463211, 1.6237456798553467]
['UO', 62, 'CO', 15, 'diff3', 'join', 'O3', 'O3', 0.08279623202776398, 0.05403280258178711]
['UO', 59, 'CO', 381, 'locate', 'who', 'O3', 'O0', 0.3873933026920551, 0.16556406021118164]
['BO', 56, 'CO', 69, 'libvlc.so.12.0.0', 'who', 'O3', 'O3', 0.6951930080116533, 0.5308048725128174]
['CO', 14, 'UO', 66, 'stty', 'nm', 'O3', 'O0', 0.8980351721372515, 3.3996644020080566]
['CO', 30, 'BO', 7, 'expand', 'sort', 'O3', 'O0', 0.5865988632964403, 0.207442045211792]
['BO', 26, 'UO', 0, 'gvmap', 'locate', 'O3', 'O1', 0.12589718719689624, 0.3350653648376465]
['CO', 90, 'UO', 52, 'tr', 'ld', 'O3', 'O3', 0.9060210827228873, 2.4561688899993896]
