['BO', 66, 'CO', 116, 'svn', 'ptx', 'O2', 'O1', 0.6678614097968937, 0.758136510848999]
['CO', 337, 'UO', 13, 'chgrp', 'addr2line', 'O0', 'O1', 0.7702549115116091, 2.0906643867492676]
['UO', 49, 'CO', 220, 'c++filt', 'ptx', 'O3', 'O2', 0.8128380815001803, 1.111541509628296]
['BO', 46, 'UO', 32, 'ruby', 'strings', 'O3', 'O2', 0.724004197048784, 26.88137173652649]
['CO', 91, 'UO', 67, 'comm', 'strip', 'O3', 'O0', 0.9243856332703214, 4.059918642044067]
['UO', 61, 'CO', 38, 'find', 'sha1sum', 'O3', 'O3', 0.7396825396825397, 0.3903484344482422]
['CO', 244, 'UO', 67, 'pinky', 'strip', 'O2', 'O0', 0.9343934393439344, 4.013116121292114]
['CO', 355, 'UO', 63, 'chroot', 'cmp', 'O0', 'O3', 0.13048855905998757, 0.05907177925109863]
['UO', 5, 'CO', 169, 'readelf', 'false', 'O1', 'O1', 0.8393351800554016, 0.35674595832824707]
['CO', 43, 'UO', 86, 'chroot', 'xargs', 'O3', 'O0', 0.3738626964433416, 0.12392830848693848]
['CO', 219, 'UO', 67, 'groups', 'strip', 'O2', 'O0', 0.944603629417383, 3.9706950187683105]
['CO', 138, 'BO', 24, 'tail', 'cluster', 'O1', 'O3', 0.40290758047767394, 0.2074601650238037]
['CO', 104, 'BO', 6, 'sha384sum', 'codeblocks', 'O1', 'O0', 0.9725453095145343, 45.968109130859375]
['UO', 39, 'CO', 326, 'size', 'stty', 'O2', 'O0', 0.8293300724954145, 1.3231594562530518]
['BO', 32, 'CO', 68, 'ruby', 'yes', 'O2', 'O3', 0.9799907964481107, 20.28564476966858]
['CO', 76, 'UO', 17, 'md5sum', 'objdump', 'O3', 'O1', 0.9158597662771285, 2.9290153980255127]
['CO', 313, 'BO', 62, 'touch', 'bash', 'O0', 'O1', 0.8963210702341137, 5.08063268661499]
['CO', 169, 'UO', 61, 'false', 'find', 'O1', 'O3', 0.8089990817263545, 0.4275658130645752]
['UO', 66, 'CO', 71, 'nm', 'readlink', 'O0', 'O3', 0.9080909876187734, 3.0276408195495605]
['UO', 19, 'CO', 148, 'cmp', 'seq', 'O1', 'O1', 0.06961178045515393, 0.04605722427368164]
['CO', 308, 'BO', 76, 'tac', 'openssl', 'O2', 'O2', 0.9444587297505785, 11.962539434432983]
['UO', 75, 'CO', 334, 'gprof', 'pwd', 'O0', 'O0', 0.913257321708026, 3.125749111175537]
['BO', 17, 'CO', 183, 'codeblocks', 'link', 'O2', 'O1', 0.9713704630788486, 14.773973226547241]
['CO', 280, 'UO', 79, 'head', 'size', 'O2', 'O0', 0.9197320484193208, 3.2856550216674805]
['UO', 3, 'CO', 222, 'nm', 'stty', 'O1', 'O2', 0.871909543498439, 1.4819207191467285]
['CO', 335, 'UO', 11, 'pr', 'ld', 'O0', 'O1', 0.8488053270661966, 3.7969086170196533]
['CO', 323, 'BO', 6, 'groups', 'codeblocks', 'O0', 'O0', 0.9720697329376855, 45.32454490661621]
['CO', 51, 'UO', 70, 'realpath', 'ranlib', 'O3', 'O0', 0.9039481766906796, 3.5622382164001465]
['CO', 240, 'UO', 43, 'expr', 'find', 'O2', 'O2', 0.7311039071830746, 0.5529298782348633]
['UO', 53, 'BO', 11, 'gprof', 'ssh', 'O3', 'O1', 0.17213208627600685, 6.24187159538269]
['CO', 130, 'BO', 47, 'kill', 'libvlc.so.12.0.0', 'O1', 'O0', 0.784657254635142, 0.8919491767883301]
['UO', 45, 'CO', 119, 'strip', 'join', 'O3', 'O1', 0.8719507618404263, 1.4035685062408447]
['CO', 370, 'BO', 82, 'df', 'cp', 'O0', 'O3', 0.1071428571428571, 0.22437071800231934]
['BO', 20, 'CO', 411, 'sort', 'sort', 'O1', 'O0', 0.1504386903488123, 0.38243794441223145]
['UO', 72, 'CO', 67, 'strings', 'nohup', 'O0', 'O3', 0.9187145557655955, 2.8295023441314697]
['BO', 37, 'UO', 10, 'gvmap', 'objcopy', 'O2', 'O1', 0.643483709273183, 3.0563743114471436]
['CO', 387, 'BO', 31, 'mv', 'bash', 'O0', 'O2', 0.760534620382402, 7.246412992477417]
['BO', 39, 'CO', 49, 'codeblocks', 'nice', 'O3', 'O3', 0.9688054063776755, 14.548736333847046]
